ID,Make,Model,Model Version,Price,Mileage,Gearbox,First Registration,Fuel Type,Power,Seller,Gears,Engine Size,Cylinders,Weight,Other Fuel Types,Fuel Consumption,CO2 Emissions,Emission Class,Link,Data,Site,Portugal
724fe147882444618ee2faccb9b49d69,BMW,316,d* SPORT EDITION*GARANTIE 12MOIS*,"€ 14,490.-","131,000 km",Manual,04/2016,Diesel,85 kW (116 hp),Dealer,6,"1,995 cc",4,"1,495 kg",,3.9 l/100 km (comb.)4.6 l/100 km (city)3.5 l/100 km (country),109 g/km (comb.),Euro 6,https://www.autoscout24.com/offers/bmw-316-d-sport-edition-garantie-12mois-diesel-blue-724fe147-8824-4461-8ee2-faccb9b49d69,2023-10-21,AutoScout24,No
1380e8f60e4e478eb3ee7b319f45cc7f,BMW,X1,2.0 d sDrive18,"€ 14,400.-","122,164 km",Manual,01/2016,Diesel,110 kW (150 hp),Dealer,6,"1,995 cc",4,"1,505 kg",,,,Euro 6c,https://www.autoscout24.com/offers/bmw-x1-2-0-d-sdrive18-diesel-white-1380e8f6-0e4e-478e-b3ee-7b319f45cc7f,2023-10-21,AutoScout24,No
ac15871a126740f591e3db8b96dca379,BMW,316,i Sport ** 84.610km ** Carplay - Airco - Euro 6,"€ 14,390.-","84,613 km",Manual,06/2013,Gasoline,100 kW (136 hp),Dealer,6,"1,598 cc",4,"1,460 kg",,,,Euro 6,https://www.autoscout24.com/offers/bmw-316-i-sport-84-610km-carplay-airco-euro-6-gasoline-black-ac15871a-1267-40f5-91e3-db8b96dca379,2023-10-21,AutoScout24,No
6d90601ecf0646caa9882d2a06ac1d26,BMW,320,d Touring Business Advantage aut. *DESCRIZIONE*,"€ 8,900.-1","143,500 km",Automatic,06/2016,Diesel,103 kW (140 hp),Dealer,8,"1,995 cc",4,,,4.3 l/100 km (comb.)5.1 l/100 km (city)3.9 l/100 km (country),,Euro 6,https://www.autoscout24.com/offers/bmw-320-d-touring-business-advantage-aut-descrizione-diesel-black-6d90601e-cf06-46ca-a988-2d2a06ac1d26,2023-10-21,AutoScout24,No
6b916817d1ee4ffea7066f754134a0df,Volkswagen,Golf,"VII GTD 2.0 TDI *Sport& Sound, AHK, Xenon, Navi,","€ 13,890.-","142,900 km",Manual,09/2014,Diesel,135 kW (184 hp),Dealer,6,"1,968 cc",4,"1,377 kg",,4.2 l/100 km (comb.)5.1 l/100 km (city)3.8 l/100 km (country),109 g/km (comb.),Euro 6,https://www.autoscout24.com/offers/volkswagen-golf-vii-gtd-2-0-tdi-sport-sound-ahk-xenon-navi-diesel-grey-6b916817-d1ee-4ffe-a706-6f754134a0df,2023-10-21,AutoScout24,No
72c1ae328cc14bd8b4d5b352e02e47d6,Audi,A3,Sportback Ambition 1.4 TFSI 90(122) kW(PS) 6-,"€ 12,890.-","105,600 km",Manual,03/2013,Gasoline,90 kW (122 hp),Dealer,,"1,395 cc",4,,,5.3 l/100 km (comb.)6.6 l/100 km (city)4.6 l/100 km (country),123 g/km (comb.),Euro 5,https://www.autoscout24.com/offers/audi-a3-sportback-ambition-1-4-tfsi-90-122-kw-ps-6-gasoline-black-72c1ae32-8cc1-4bd8-b4d5-b352e02e47d6,2023-10-21,AutoScout24,No
144ee829c0394a719199726b32dedf10,BMW,118,i 5tg Sport Line PDC+Xenon+Winterpak,"€ 12,490.-","80,250 km",Manual,09/2011,Gasoline,125 kW (170 hp),Dealer,6,"1,598 cc",,,,5.9 l/100 km (comb.)7.7 l/100 km (city)4.8 l/100 km (country),137 g/km (comb.),Euro 5,https://www.autoscout24.com/offers/bmw-118-i-5tg-sport-line-pdc-xenon-winterpak-gasoline-black-144ee829-c039-4a71-9199-726b32dedf10,2023-10-21,AutoScout24,No
e97f72cb66484aac91d3121cafb2fac4,Audi,A4,2.0TDI quattro DPF 170,"€ 11,800.-","118,000 km",Manual,09/2010,Diesel,125 kW (170 hp),Dealer,6,"1,968 cc",4,"1,635 kg",,5.7 l/100 km (comb.)7.1 l/100 km (city)4.9 l/100 km (country),,,https://www.autoscout24.com/offers/audi-a4-2-0tdi-quattro-dpf-170-diesel-white-e97f72cb-6648-4aac-91d3-121cafb2fac4,2023-10-21,AutoScout24,No
1efd8048a0a64203a66c542f9fdc4726,BMW,320,"320i Sportline 170Pk (SCHUIFDAK, NAVIGATIE, XENON,","€ 9,945.-","149,821 km",Manual,01/2010,Gasoline,125 kW (170 hp),Dealer,6,"1,995 cc",4,"1,345 kg",,6.4 l/100 km (comb.)8.3 l/100 km (city)5.3 l/100 km (country),148 g/km (comb.),Euro 5,https://www.autoscout24.com/offers/bmw-320-320i-sportline-170pk-schuifdak-navigatie-xenon-gasoline-grey-1efd8048-a0a6-4203-a66c-542f9fdc4726,2023-10-21,AutoScout24,No
f74a8a1c004f4da791349514805548dd,Volvo,V40,D2,"€ 12,990.-","107,032 km",Manual,04/2018,Diesel,88 kW (120 hp),Dealer,,"1,969 cc",,,,,,,https://www.autoscout24.com/offers/volvo-v40-d2-diesel-silver-f74a8a1c-004f-4da7-9134-9514805548dd,2023-10-21,AutoScout24,No
