Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Possibilidade de financiamento,IVA Discriminado,IVA dedutível,Consumo Urbano,Autonomia,Consumo,Bateria,Autonomia Máxima,Filtro de partículas,Emissões CO2,Consumo Extra Urbano,Consumo Combinado,Garantia de Fábrica até,Inspecção válida até,ou até,Capacidade da bateria,Clássico,Site,Portugal
Profissional,MINI,One,Sport Edition,Gasolina,Janeiro,2020,68 000 km,1 499 cm3,102 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,3,4,Classe 1,Tracção dianteira,"180,34 €",18 Meses,1,Nacional,Sim,Sim,Sim,Usados,25 900        EUR,8089064131,3 Julho 2023,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,114,d Line Sport Shadow,Diesel,Fevereiro,2018,198 500 km,1 496 cm3,95 cv,Sim,Sim,Citadino,Azul,,Manual,6,5,5,Classe 1,,,18 Meses,2,,,Sim,Sim,Usados,14 990        EUR,8089330023,3 Julho 2023,Série 1,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Zen,Diesel,Julho,2018,136 000 km,1 461 cm3,90 cv,,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,,,18 Meses,1,,Sim,Sim,Sim,Usados,14 999        EUR,8089839337,2 Julho 2023,,Sim,Sim,Sim,"4,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,iX3,M Sport Impressive,Eléctrico,Maio,2022,5 800 km,,286 cv,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,,24 Meses,,,Sim,Sim,Sim,Usados,73 890        EUR,8089364171,3 Julho 2023,Série X,Sim,Sim,Sim,,453 km,"18,80 kWh/100km",Própria,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,Janeiro,2015,117 500 km,1 461 cm3,110 cv,,,SUV / TT,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,,,,,Usados,13 900        EUR,8087116954,3 Julho 2023,,Sim,,,,,,,900 km,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,Tucson,1.6 T-GDi Premium,Gasolina,Novembro,2022,6 500 km,1 598 cm3,150 cv,,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,,36 Meses,1,Importado,Sim,Sim,Sim,Usados,29 750        EUR,8089913221,3 Julho 2023,,Sim,,,"7,50 l/100km",,,,,,153 g/km,"5,50 l/100km",,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,1.5 dCi Sport,Diesel,Janeiro,2014,134 500 km,1 461 cm3,90 cv,,,Citadino,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,,36 Meses,,,Sim,Sim,Sim,Usados,12 500        EUR,8089510801,3 Julho 2023,,Sim,,,4 l/100km,,,,950 km,Sim,,4 l/100km,4 l/100km,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,1.6 BlueHDi Allure J17,Diesel,Maio,2014,140 500 km,1 560 cm3,120 cv,,,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,,Sim,Sim,Sim,Usados,14 500        EUR,8088829760,3 Julho 2023,,Sim,,,4 l/100km,,,,950 km,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,1.5 dCi Tekna Premium Pele,Diesel,Setembro,2016,137 550 km,1 461 cm3,110 cv,,,SUV / TT,Preto,,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,,Sim,Sim,Sim,Usados,16 900        EUR,8082175813,3 Julho 2023,,Sim,,,4 l/100km,,,,800 km,,,5 l/100km,5 l/100km,,,,,,StandVirtual,Yes
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Março,2017,103 000 km,1 461 cm3,90 cv,,Sim,SUV / TT,Preto,,Manual,5,5,5,Classe 1,,,36 Meses,1,,Sim,Sim,Sim,Usados,15 750        EUR,8089344006,3 Julho 2023,,Sim,,,,,,,,Sim,,,,,,,,,StandVirtual,Yes
