Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Inspecção válida até,Garantia de Stand (incl. no preço),Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,IVA dedutível,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,IVA Discriminado,Tipo de cor,Valor Fixo,Garantia de Fábrica até,Filtro de partículas,ou até,Autonomia Máxima,IUC,Sub-modelo,Consumo Combinado,Autonomia,Consumo,Bateria,Capacidade da bateria,Site,Portugal
Profissional,Renault,Clio Sport Tourer,0.9 TCe Limited,Gasolina,Agosto,2019,92 000 km,898 cm3,90 cv,Sim,Sim,Carrinha,Cinzento,Manual,5,5,5,Classe 1,01/08/2023,18 Meses,Sim,Sim,Usados,14 990        EUR,8089784113,4 Julho 2023,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Abril,2018,118 000 km,1 461 cm3,90 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,5,Classe 1,,18 Meses,Sim,Sim,Usados,11 980        EUR,8089936807,3 Julho 2023,Sim,Tracção dianteira,127 g/km,1,Nacional,Sim,"4,30 l/100km","3,60 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus,,Gasolina,Setembro,2015,88 000 km,998 cm3,100 cv,Sim,Sim,Utilitário,Azul,Manual,5,5,5,Classe 1,01/09/2023,18 Meses,Sim,Sim,Usados,12 990        EUR,8089507850,4 Julho 2023,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.0 Hybrid Lounge,Gasolina,Dezembro,2020,60 000 km,999 cm3,70 cv,Sim,Sim,Citadino,Azul,Manual,,3,5,,,18 Meses,Sim,Sim,Usados,13 900        EUR,8089552707,4 Julho 2023,,,,,Nacional,Sim,,,Sim,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
Particular,Audi,A3 Sportback,1.6 TDI Advance Ultra,Diesel,Setembro,2014,245 000 km,1 598 cm3,110 cv,,,Utilitário,Branco,Manual,6,5,5,Classe 1,,,,,Usados,12 800        EUR,8089628629,4 Julho 2023,,Tracção dianteira,,,,,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Pulsar,1.5 dCi Acenta,Diesel,Março,2017,101 000 km,1 461 cm3,110 cv,Sim,Sim,Utilitário,Preto,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Usados,13 950        EUR,8089955530,4 Julho 2023,,Tracção dianteira,,1,Nacional,Sim,"4,10 l/100km",,,Metalizado,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Pop,Gasolina,Junho,2014,92 000 km,1 242 cm3,69 cv,,Sim,Utilitário,Preto,Manual,5,3,4,Classe 1,27/06/2024,18 Meses,Sim,,Usados,8 799        EUR,8089956977,4 Julho 2023,,Tracção dianteira,129 g/km,1,Nacional,,"5,90 l/100km","4,40 l/100km",,Metalizado,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 HDi Sport,Diesel,Fevereiro,2010,258 636 km,1 560 cm3,110 cv,Sim,,Utilitário,Cinzento,Manual,6,5,5,Classe 1,,36 Meses,,,Usados,8 950        EUR,8089959164,4 Julho 2023,,,,1,Nacional,,,,,Metalizado,,01/01/0001,,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Sandero,Blue dCi 95 Comfort,Diesel,Setembro,2020,43 000 km,1 461 cm3,95 cv,Sim,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,,18 Meses,Sim,Sim,Usados,14 499        EUR,8089959163,4 Julho 2023,,Tracção dianteira,94 g/km,1,Importado,Sim,"4,10 l/100km","3,20 l/100km",,Metalizado,,,Sim,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Passat Variant,2.0 TDi Confortline Navig,Diesel,Março,2014,191 000 km,1 968 cm3,140 cv,Sim,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,,18 Meses,,Sim,Usados,13 950        EUR,8089955357,4 Julho 2023,,Tracção dianteira,120 g/km,,Nacional,,"5,60 l/100km",4 l/100km,,,Sim,,,,,,,,,,,,StandVirtual,Yes
