Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Valor Fixo,Tipo de cor,Tracção,Emissões CO2,Origem,Consumo Urbano,Consumo Extra Urbano,IUC,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Consumo Combinado,Garantia de Fábrica até,ou até,Consumo,Clássico,Site,Portugal
Profissional,Peugeot,308 SW,Diesel,Dezembro,2015,124 000 km,1 560 cm3,120 cv,Sim,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,Sim,01/12/2023,18 Meses,1,Sim,Sim,Sim,Usados,13 990        EUR,8089371660,6 Julho 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,Gasolina,Fevereiro,2019,15 300 km,1 242 cm3,69 cv,Sim,Sim,Utilitário,Branco,Manual,5,3,4,Classe 1,,,18 Meses,1,,Sim,Sim,Usados,14 900        EUR,8089832246,6 Julho 2023,1.2 Lounge S&S,Sim,Metalizado,Tracção dianteira,99 g/km,Nacional,"6,20 l/100km","4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,Diesel,Março,2017,151 000 km,1 422 cm3,90 cv,Sim,Sim,Citadino,Cinzento,Manual,5,5,5,Classe 1,,01/03/2025,18 Meses,,,Sim,Sim,Usados,13 990        EUR,8089797770,6 Julho 2023,1.4 TDi Connect,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,208,Diesel,Agosto,2016,85 000 km,1 560 cm3,120 cv,,,Citadino,Preto,Manual,6,5,5,Classe 1,,,,,,,,Usados,13 450        EUR,8089584596,6 Julho 2023,1.6 BlueHDi GT Line,,Mate,Tracção dianteira,,,"4,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Diesel,Novembro,2017,82 100 km,1 461 cm3,90 cv,,Sim,Citadino,Preto,Manual,,5,,,,,18 Meses,,,,,Usados,14 999        EUR,8089989326,6 Julho 2023,1.5 dCi Limited EDition,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,Diesel,Dezembro,2015,230 000 km,1 560 cm3,120 cv,Sim,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,,,18 Meses,,Sim,Sim,Sim,Usados,9 500        EUR,8089848933,6 Julho 2023,1.6 BlueHDi Allure J17,,Metalizado,Tracção dianteira,82 g/km,,"4,70 l/100km","3,50 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Diesel,Julho,2017,56 778 km,1 248 cm3,95 cv,,Sim,Citadino,Branco,Manual,,3,,,,,18 Meses,,,,,Usados,13 699        EUR,8089989324,6 Julho 2023,1.3 CDTi Dynamic,Sim,,,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Gasolina,Maio,2011,113 000 km,1 598 cm3,192 cv,Sim,Sim,Citadino,Preto,Manual,6,3,5,Classe 1,,,18 Meses,,Sim,Sim,Sim,Usados,13 750        EUR,8089602384,6 Julho 2023,1.6 Turbo OPC,,,Tracção dianteira,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Insignia Sports Tourer,Diesel,Maio,2017,169 000 km,1 598 cm3,110 cv,Sim,Sim,Carrinha,Branco,Manual,6,5,5,Classe 1,,,18 Meses,,Sim,Sim,Sim,Usados,12 990        EUR,8089252438,6 Julho 2023,1.6 CDTi Business Edition,,Metalizado,Tracção dianteira,,,"5,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,Diesel,Março,2014,155 000 km,1 598 cm3,105 cv,Sim,Sim,Carrinha,Preto,Manual,5,5,5,Classe 1,,,36 Meses,1,Sim,Sim,,Usados,12 900        EUR,8089644635,6 Julho 2023,1.6 TDi Sportline,Sim,Metalizado,Tracção dianteira,,Nacional,"4,90 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Grand Picasso,Diesel,Fevereiro,2010,280 000 km,1 560 cm3,109 cv,Sim,Sim,Monovolume,Cinzento,Automática,5,5,7,Classe 1,,,18 Meses,1,,Sim,Sim,Usados,5 999        EUR,8089286334,6 Julho 2023,1.6 HDi FAP EGS6 Provence,Sim,Metalizado,Tracção dianteira,,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,Diesel,Agosto,2010,226 250 km,1 560 cm3,110 cv,Sim,Sim,SUV / TT,Preto,Manual,,5,,,,,18 Meses,2,,Sim,Sim,Usados,8 750        EUR,8089441254,6 Julho 2023,1.6 HDi Sport,,Metalizado,,,Nacional,"6,50 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Yaris,Gasolina,Janeiro,2017,30 713 km,998 cm3,69 cv,Sim,Sim,Utilitário,Cinzento,Manual,5,5,5,Classe 1,,24/01/2025,18 Meses,1,Sim,Sim,Sim,Usados,14 990        EUR,8089989320,6 Julho 2023,1.0 VVT-i Exclusive,Sim,Metalizado,Tracção dianteira,99 g/km,Nacional,"5,20 l/100km","3,80 l/100km","108,32 €",,,,,,,,,,,,,StandVirtual,Yes
