Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Possibilidade de financiamento,Tipo de cor,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Valor Fixo,Emissões CO2,IUC,Filtro de partículas,Consumo Extra Urbano,Sub-modelo,Garantia de Fábrica até,Consumo Combinado,IVA Discriminado,IVA dedutível,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,ou até,Consumo,Clássico,Site,Portugal
Particular,Hyundai,i10,1.0 Comfort,Gasolina,Abril,2018,10 900 km,998 cm3,66 cv,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,Nacional,Sim,Sim,Sim,"6,60 l/100km",Usados,10 990        EUR,8089198878,7 Julho 2023,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Junho,2015,153 061 km,1 560 cm3,120 cv,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,,Sim,Sim,Sim,,Usados,12 800        EUR,8089988646,6 Julho 2023,Sim,Metalizado,Tracção dianteira,18/06/2024,18 Meses,1,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,,Diesel,Junho,2015,130 000 km,1 248 cm3,95 cv,Sim,Pequeno citadino,Vermelho,Manual,,3,,,,,,,,Usados,11 950        EUR,8088882491,6 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,GTI 200 THP,Gasolina,Janeiro,2013,150 000 km,1 598 cm3,200 cv,Sim,Utilitário,Preto,Manual,6,3,5,Classe 1,Importado,Sim,Sim,Sim,"8,20 l/100km",Usados,13 500        EUR,8089389905,8 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,,Sim,139 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,D,Diesel,Junho,2014,135 000 km,1 496 cm3,116 cv,Sim,Utilitário,Bege,Manual,6,3,4,Classe 1,Nacional,Sim,Sim,Sim,"4,40 l/100km",Usados,13 950        EUR,8089444788,10 Julho 2023,Sim,Metalizado,Tracção dianteira,,18 Meses,1,,95 g/km,147 €,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,Ceed,1.6 CRDi ECO,Diesel,Julho,2015,133 071 km,1 582 cm3,128 cv,Sim,Utilitário,Cinzento,Manual,6,5,5,Classe 1,Nacional,Sim,Sim,Sim,,Usados,14 990        EUR,8089879679,10 Julho 2023,Sim,Metalizado,,,18 Meses,1,Sim,99 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,D,Diesel,Novembro,2010,189 371 km,1 560 cm3,110 cv,Sim,Utilitário,Preto,Manual,6,3,4,Classe 1,,Sim,Sim,Sim,,Usados,11 750        EUR,8089773983,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,99 g/km,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.6 THP GTi,Gasolina,Junho,2013,128 323 km,1 598 cm3,200 cv,Sim,Citadino,Cinzento,Manual,5,3,5,Classe 1,Importado,,,Sim,"8,20 l/100km",Usados,14 490        EUR,8089336739,10 Julho 2023,Sim,Metalizado,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Sportback,1.6 TDI Sport,Diesel,Abril,2011,139 768 km,1 598 cm3,105 cv,,Sedan,Azul,Manual,,5,5,,Importado,,,,,Usados,12 990        EUR,8088682965,10 Julho 2023,Sim,,,,18 Meses,,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,VW,Cross Up!,1.0,Gasolina,Abril,2018,84 300 km,999 cm3,75 cv,,Citadino,Branco,Manual,5,5,4,Classe 1,Nacional,Sim,,Sim,"5,20 l/100km",Usados,12 850        EUR,8089863689,10 Julho 2023,,,Tracção dianteira,30/04/2024,,,,127 g/km,,,"4,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes
