Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Emissões CO2,IUC,Filtro de partículas,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Sub-modelo,Valor Fixo,Consumo Combinado,Autonomia,Bateria,IVA Discriminado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,ou até,Capacidade da bateria,Consumo,Valor sem ISV,Clássico,Site,Portugal
Profissional,VW,New Beetle,1.6 TDi Design,Diesel,Janeiro,2012,120 000 km,1 598 cm3,105 cv,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,14 480        EUR,8085480381,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Clio,1.5 dCi 90 FAP Dynamique,Diesel,Maio,2012,88 500 km,1 461 cm3,88 cv,,,Utilitário,Branco,Pérola,Manual,,5,5,Classe 1,,,2,Importado,,Sim,Sim,Usados,6 900        EUR,8089379959,11 Julho 2023,89 g/km,154 €,Sim,10/05/2024,"4,90 l/100km",,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra,1.0 Edition S/S,Gasolina,Abril,2018,80 000 km,999 cm3,105 cv,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,36 Meses,,Nacional,,Sim,Sim,Usados,14 750        EUR,8089588163,11 Julho 2023,129 g/km,,,,"5,50 l/100km","4,10 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,316,d Touring,Diesel,Junho,2010,197 000 km,1 995 cm3,115 cv,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,,,18 Meses,,Nacional,,,,Usados,11 950        EUR,8088904680,6 Julho 2023,119 g/km,,,,"5,40 l/100km",,Série 3,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,,GPL,Setembro,2011,65 525 km,1 198 cm3,80 cv,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,2,Nacional,Sim,Sim,Sim,Usados,8 600        EUR,8089103418,11 Julho 2023,115 g/km,,,,"6,10 l/100km",,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 Passion 71,Gasolina,Julho,2016,87 000 km,999 cm3,71 cv,Sim,,Pequeno citadino,Cinzento,Metalizado,Manual,,3,2,Classe 1,,18 Meses,,Importado,,Sim,Sim,Usados,9 800        EUR,8087731091,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 71 Aut.,Gasolina,Março,2018,85 000 km,999 cm3,71 cv,Sim,Sim,Pequeno citadino,Branco,,Automática,,3,2,Classe 1,,18 Meses,,Importado,,Sim,Sim,Usados,12 300        EUR,8088212219,11 Julho 2023,94 g/km,,,,"4,70 l/100km","3,70 l/100km",,,"4,10 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,1.0 Passion 71 Aut.,Gasolina,Agosto,2016,60 000 km,999 cm3,71 cv,Sim,Sim,Citadino,Branco,,Automática,,5,4,Classe 1,,18 Meses,,Importado,Sim,Sim,Sim,Usados,13 540        EUR,8089628574,11 Julho 2023,96 g/km,,,,,,,,"4,20 l/100km",,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Passion 71,Gasolina,Janeiro,2011,108 000 km,999 cm3,71 cv,Sim,Sim,Pequeno citadino,Preto,,Automática,,3,2,Classe 1,,18 Meses,,Importado,Sim,Sim,Sim,Usados,7 050        EUR,8089628576,11 Julho 2023,100 g/km,,,,47 l/100km,41 l/100km,,,44 l/100km,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Passion 71,Gasolina,Janeiro,2011,128 000 km,999 cm3,71 cv,Sim,Sim,Pequeno citadino,Cinzento,,Automática,,3,2,Classe 1,,18 Meses,,Importado,Sim,Sim,Sim,Usados,7 050        EUR,8089898396,11 Julho 2023,100 g/km,,,,47 l/100km,41 l/100km,,,44 l/100km,,,,,,,,,,,,StandVirtual,Yes
