Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Garantia de Fábrica até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Versão,Origem,Registo(s),Tracção,Emissões CO2,IUC,Inspecção válida até,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Filtro de partículas,Sub-modelo,IVA Discriminado,IVA dedutível,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,Valor sem ISV,ou até,Consumo,Clássico,Site,Portugal
Profissional,Hyundai,i10,Gasolina,Janeiro,2019,19 990 km,998 cm3,67 cv,Sim,Sim,Sim,Pequeno citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,01/01/0001,36 Meses,Sim,Sim,Sim,Usados,13 900        EUR,8088087915,12 Julho 2023,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Alfa Romeo,Giulietta,Diesel,Julho,2011,189 741 km,1 956 cm3,170 cv,,Sim,Sim,Utilitário,Vermelho,,Manual,6,5,5,Classe 1,,18 Meses,,,Sim,Usados,12 500        EUR,8089844008,10 Julho 2023,2.0 JTDm Progression,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Sandero,Gasolina,Abril,2015,105 268 km,898 cm3,75 cv,,Sim,Sim,SUV / TT,Cinzento,,Manual,5,5,5,,,18 Meses,,,Sim,Usados,10 899        EUR,8089851589,12 Julho 2023,,,1,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,Diesel,Novembro,2016,112 000 km,1 560 cm3,75 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,10 990        EUR,8089518150,12 Julho 2023,1.6 BlueHDi Feel,,1,Tracção dianteira,90 g/km,"154,12 €",01/11/2024,"4,30 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,Diesel,Maio,2016,108 000 km,1 560 cm3,120 cv,,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,14 700        EUR,8090032063,12 Julho 2023,1.6 BlueHDi Allure,,,Tracção dianteira,84 g/km,,,"4,40 l/100km","3,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,Diesel,Dezembro,2015,117 000 km,1 560 cm3,120 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,12 750        EUR,8083772884,12 Julho 2023,1.6 BlueHDi Allure J17,,1,Tracção dianteira,82 g/km,,,"4,70 l/100km","3,50 l/100km","3,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,Gasolina,Dezembro,2018,38 000 km,999 cm3,71 cv,Sim,Sim,Sim,Citadino,Preto,Metalizado,Automática,6,5,4,,,18 Meses,,,Sim,Usados,14 500        EUR,8089580210,12 Julho 2023,1.0 Passion 71 Aut.,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Up!,Gasolina,Janeiro,2018,27 323 km,999 cm3,60 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,6,5,4,,,18 Meses,Sim,Sim,Sim,Usados,12 600        EUR,8089989410,12 Julho 2023,1.0 BMT Move,,,,,,,,,"4,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C1,Gasolina,Junho,2011,105 000 km,998 cm3,68 cv,,Sim,Sim,Pequeno citadino,Cinzento,Metalizado,Manual,5,5,4,Classe 1,,18 Meses,,Sim,Sim,Usados,6 650        EUR,8088339568,12 Julho 2023,1.0 SX Airdream,,,,,,,"5,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Grande Punto,Diesel,Abril,2010,141 000 km,1 248 cm3,75 cv,,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,7 200        EUR,8089372062,12 Julho 2023,1.3 M-Jet Dynamic,Nacional,,,109 g/km,,,"6,20 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Diesel,Julho,2011,137 000 km,1 248 cm3,75 cv,,Sim,Sim,Citadino,Branco,Metalizado,Manual,,3,5,Classe 1,,18 Meses,,Sim,Sim,Usados,7 300        EUR,8088915805,12 Julho 2023,1.3 CDTi Enjoy ecoFLEX,,,Tracção dianteira,,,,"5,80 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,Gasolina,Setembro,2011,111 000 km,1 197 cm3,105 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,3,5,Classe 1,,18 Meses,,Sim,Sim,Usados,8 700        EUR,8089372083,12 Julho 2023,SC 1.2 TSi Sport,Nacional,,,,,,"6,80 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Aygo,Gasolina,Março,2014,92 000 km,998 cm3,68 cv,,Sim,Sim,Citadino,Branco,Metalizado,Manual,,3,4,Classe 1,,18 Meses,,Sim,Sim,Usados,8 150        EUR,8088120623,12 Julho 2023,1.0 Power Pack+AC,,,,,,,"5,30 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,Diesel,Janeiro,2014,138 000 km,1 199 cm3,75 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,10 000        EUR,8088780473,12 Julho 2023,1.2 TDi BlueMotion,Importado,,Tracção dianteira,,,,"4,10 l/100km",,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Gasolina,Setembro,2020,42 000 km,898 cm3,90 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,5,,Classe 1,,36 Meses,Sim,Sim,Sim,Usados,14 900        EUR,8089860133,12 Julho 2023,TCe 90 Limited,Importado,1,Tracção dianteira,114 g/km,,11/09/2024,"6,20 l/100km","4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,Diesel,Abril,2018,116 000 km,1 560 cm3,100 cv,Sim,Sim,Sim,Citadino,Branco,Pérola,Manual,5,5,1,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,13 800        EUR,8089849916,12 Julho 2023,1.6 BlueHDi Allure,,1,Tracção dianteira,90 g/km,140 €,,"3,80 l/100km","3,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Yaris,Gasolina,Janeiro,2017,30 713 km,998 cm3,69 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,18 Meses,Sim,Sim,Sim,Usados,14 990        EUR,8089989320,12 Julho 2023,1.0 VVT-i Exclusive,Nacional,1,Tracção dianteira,99 g/km,"108,32 €",24/01/2025,"5,20 l/100km","3,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,116,Diesel,Fevereiro,2016,208 000 km,1 496 cm3,116 cv,,Sim,Sim,Utilitário,Branco,Pérola,Manual,6,5,5,Classe 1,,18 Meses,,,,Usados,14 500        EUR,8090032047,12 Julho 2023,d EfficientDynamics,Importado,1,Tracção traseira,89 g/km,160 €,01/02/2024,"3,90 l/100km","3,10 l/100km",,Sim,Série 1,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,107,Gasolina,Junho,2013,95 000 km,998 cm3,68 cv,,Sim,Sim,Pequeno citadino,Branco,Metalizado,Manual,5,3,,Classe 1,,18 Meses,,Sim,Sim,Usados,7 200        EUR,8087779318,12 Julho 2023,1.0 Urban,,,,,,,"5,50 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Panda,Gasolina,Outubro,2014,76 000 km,875 cm3,85 cv,,Sim,Sim,Citadino,Vermelho,Metalizado,Manual,6,5,5,Classe 1,,18 Meses,,Sim,Sim,Usados,7 990        EUR,8089790907,12 Julho 2023,0.9 8V TwinAir Lounge S&S,Importado,1,Tracção dianteira,126 g/km,,15/10/2024,"6,80 l/100km","4,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
