Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,IUC,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Emissões CO2,Livro de Revisões completo,Não fumador,Consumo Extra Urbano,Sub-modelo,Autonomia,Capacidade da bateria,Bateria,ou até,IVA Discriminado,IVA dedutível,Consumo Combinado,Garantia de Fábrica até,Consumo,Site,Portugal
Profissional,Peugeot,208,1.6 BlueHDi Allure,Diesel,Março,2017,170 000 km,1 560 cm3,75 cv,Sim,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,950 km,145 €,Sim,24/03/2024,18 Meses,1,Nacional,Sim,"4,20 l/100km",Usados,10 950        EUR,8089781830,26 Julho 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,208,1.2 PureTech Style,Gasolina,Junho,2018,45 000 km,1 199 cm3,82 cv,,,,Utilitário,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,110 €,,30/06/2024,,1,Nacional,Sim,"5,50 l/100km",Usados,12 990        EUR,8090102753,26 Julho 2023,104 g/km,Sim,Sim,"3,90 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,318,d Touring,Diesel,Setembro,2012,216 499 km,1 995 cm3,143 cv,,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,1,Nacional,Sim,,Usados,12 450        EUR,8090068573,25 Julho 2023,,,,,Série 3,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,5008,2.0 HDi Executive,Diesel,Março,2010,172 000 km,1 997 cm3,150 cv,,Sim,Sim,Monovolume,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,1,,Sim,,Usados,9 950        EUR,8088829669,21 Julho 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V40,2.0 D2 Momentum Eco,Diesel,Novembro,2017,176 000 km,1 969 cm3,120 cv,Sim,,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,1,Nacional,Sim,,Usados,14 990        EUR,8089308950,26 Julho 2023,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Intens,Eléctrico,Abril,2015,86 993 km,,88 cv,Sim,Sim,Sim,Citadino,Branco,,Automática,,5,5,,Tracção dianteira,,,,,18 Meses,,Importado,Sim,,Usados,14 900        EUR,8089916763,26 Julho 2023,,,,,,170 km,22 kWh,Própria,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,Standard,Gasolina,Outubro,2010,170 723 km,1 598 cm3,122 cv,Sim,Sim,Sim,Pequeno citadino,Verde,,Manual,6,3,,,,,,,,18 Meses,,,Sim,"6,90 l/100km",Usados,10 900        EUR,8090077686,26 Julho 2023,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,70 000 km,1 242 cm3,69 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,5,3,4,,,,,,,18 Meses,,Nacional,Sim,,Usados,12 900        EUR,8088496439,26 Julho 2023,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,208,1.6 BlueHDi Style,Diesel,Maio,2017,117 258 km,1 560 cm3,100 cv,Sim,,,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,,,,Sim,"3,80 l/100km",Usados,11 600        EUR,8089918281,26 Julho 2023,79 g/km,Sim,Sim,"3,20 l/100km",,,,,150 000 km,,,,,,StandVirtual,Yes
Particular,Volvo,XC 60,2.4 D5 Summum AWD Start/Stop,Diesel,Março,2010,325 000 km,2 400 cm3,205 cv,,,,SUV / TT,Preto,,Manual,,5,,,,,,,31/03/2024,,,,Sim,"8,90 l/100km",Usados,9 900        EUR,8090069735,26 Julho 2023,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,2008,1.6 BlueHDi Allure,Diesel,Janeiro,2015,70 000 km,1 560 cm3,100 cv,Sim,,,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,1 000 km,,,07/01/2024,,,Nacional,Sim,"3,90 l/100km",Usados,13 999        EUR,8089851891,26 Julho 2023,97 g/km,Sim,Sim,"3,30 l/100km",,,,,,,,,,,StandVirtual,Yes
Particular,Citroën,C4 Grand Picasso,,Diesel,Novembro,2010,224 000 km,1 997 cm3,138 cv,Sim,,,Monovolume,Cinzento,Metalizado,Automática,,5,7,,Tracção dianteira,,,,,,,,Sim,,Usados,8 000        EUR,8090032623,24 Julho 2023,135 g/km,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,D,Diesel,Setembro,2014,79 548 km,1 496 cm3,95 cv,,Sim,Sim,Citadino,Vermelho,,Manual,6,3,4,Classe 1,Tracção dianteira,,,,,18 Meses,1,Nacional,Sim,"4,30 l/100km",Usados,13 999        EUR,8088708020,26 Julho 2023,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Maio,2019,65 000 km,898 cm3,90 cv,,Sim,Sim,Utilitário,Branco,,Manual,5,5,5,Classe 1,Tracção dianteira,,108 €,,,18 Meses,1,Nacional,Sim,"6,30 l/100km",Usados,13 950        EUR,8090079084,26 Julho 2023,,Sim,Sim,"4,20 l/100km",,,,,,Sim,,,,,StandVirtual,Yes
Profissional,BMW,318,d Navigation,Diesel,Setembro,2011,145 545 km,1 995 cm3,143 cv,Sim,Sim,Sim,Sedan,Preto,Metalizado,Manual,6,4,5,Classe 1,Tracção traseira,,,,,18 Meses,1,Nacional,Sim,,Usados,14 990        EUR,8090115155,26 Julho 2023,,Sim,Sim,,Série 3,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech Signature,Gasolina,Maio,2019,56 932 km,1 199 cm3,82 cv,,Sim,Sim,Citadino,Cinzento,,Manual,5,5,5,,Tracção dianteira,,,,,18 Meses,,,,"5,80 l/100km",Usados,14 980        EUR,8089806022,26 Julho 2023,132 g/km,,,"4,20 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,1.3 TCe Limited,Gasolina,Junho,2019,40 900 km,1 332 cm3,115 cv,Sim,Sim,Sim,Carrinha,Azul,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,,Nacional,Sim,,Usados,20 250        EUR,8087107462,26 Julho 2023,,,Sim,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Arona,1.0 TGI Xcellence,GNC,Setembro,2020,23 166 km,999 cm3,90 cv,,Sim,Sim,SUV / TT,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,18 Meses,,,Sim,,Usados,17 980        EUR,8089850455,26 Julho 2023,,Sim,Sim,,,,,,,Sim,Sim,,,,StandVirtual,Yes
Particular,BMW,420 Gran Coupé,d Line Sport,Diesel,Abril,2016,89 500 km,1 995 cm3,190 cv,,,,Sedan,Branco,,Manual,7,5,5,Classe 1,,,235 €,,15/04/2024,,1,Nacional,Sim,,Usados,26 500        EUR,8088707739,24 Julho 2023,,Sim,Sim,,Série 4,,,,,,,,,,StandVirtual,Yes
Particular,VW,Sharan,2.0 TDI Blue Highline DSG,Diesel,Fevereiro,2017,108 000 km,1 968 cm3,150 cv,,,,Monovolume,Cinzento,Metalizado,Automática,6,5,7,Classe 1,Tracção dianteira,,,,27/02/2025,,2,Nacional,Sim,"5,90 l/100km",Usados,29 500        EUR,8090109060,24 Julho 2023,137 g/km,Sim,Sim,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes
Particular,Mercedes-Benz,GLA 45 AMG,4Matic 7G-DCT Edition 1,Gasolina,Dezembro,2014,162 000 km,1 991 cm3,360 cv,Sim,,,SUV / TT,Cinzento,Mate,Automática,7,5,5,Classe 1,Integral,56 km,239 €,,31/12/2024,,2,Importado,Sim,"11,30 l/100km",Usados,30 000        EUR,8089362746,26 Julho 2023,175 g/km,Sim,,6 l/100km,Classe GLA,,,,,,,7 l/100km,,,StandVirtual,Yes
Profissional,Mercedes-Benz,CLS 250,CDi BlueEfficiency Shooting Brake,Diesel,Outubro,2012,242 498 km,2 143 cm3,204 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Automática,7,5,5,Classe 1,Tracção dianteira,,250 €,Sim,,18 Meses,2,Nacional,Sim,"6,30 l/100km",Usados,23 890        EUR,8088611392,26 Julho 2023,143 g/km,Sim,Sim,,Classe CLS,,,,,,,,,,StandVirtual,Yes
