Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Aceita retoma,Tipo de cor,Número de Mudanças,Classe do veículo,IUC,Filtro de partículas,2º Chave,Consumo Urbano,Inspecção válida até,Consumo Extra Urbano,Sub-modelo,Consumo Combinado,Autonomia,Bateria,Autonomia Máxima,Clássico,Garantia de Fábrica até,ou até,Consumo,Capacidade da bateria,Site,Portugal
Profissional,Nissan,Micra,1.5 DCi Acenta S/S,Diesel,Junho,2017,135 703 km,1 461 cm3,90 cv,Sim,Sim,Sim,Sim,Utilitário,Branco,Manual,5,5,Tracção dianteira,85 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,13 990        EUR,8089336736,29 Julho 2023,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,D,Diesel,Junho,2014,135 000 km,1 496 cm3,116 cv,,,,Sim,Utilitário,Bege,Manual,3,4,Tracção dianteira,95 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,13 950        EUR,8089444788,29 Julho 2023,Sim,Metalizado,6,Classe 1,147 €,Sim,Sim,"4,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Zafira,2.0 CDTi Cosmo S/S,Diesel,Dezembro,2012,269 900 km,1 956 cm3,165 cv,Sim,,,,Carrinha,Cinzento,Manual,5,7,,,18 Meses,,Nacional,Sim,,Usados,12 900        EUR,8088189552,29 Julho 2023,,,,,,,Sim,,01/12/2023,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech Signature,Gasolina,Fevereiro,2019,81 292 km,1 199 cm3,82 cv,Sim,,,Sim,Citadino,Preto,Manual,5,5,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,14 490        EUR,8088319431,29 Julho 2023,Sim,Metalizado,,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Qashqai,,Diesel,Dezembro,2010,163 540 km,1 461 cm3,110 cv,,,,Sim,SUV / TT,Branco,Manual,5,5,,130 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,11 300        EUR,8089937371,30 Julho 2023,Sim,Metalizado,6,Classe 1,,,Sim,,10/12/2023,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Astra Sports Tourer,1.5 D GS Line Aut. S/S,Diesel,Novembro,2020,154 000 km,1 496 cm3,122 cv,,Sim,,Sim,Carrinha,Cinzento,Automática,5,5,Tracção dianteira,134 g/km,18 Meses,,,Sim,,Usados,12 500        EUR,8090102934,30 Julho 2023,Sim,Metalizado,9,,,,Sim,"5,90 l/100km",,"3,90 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,320,d,Diesel,Junho,2012,341 000 km,1 995 cm3,184 cv,,,,Sim,Coupé,Preto,Manual,2,4,Tracção traseira,125 g/km,18 Meses,,Nacional,,,Usados,11 750        EUR,8089640345,30 Julho 2023,Sim,Metalizado,6,Classe 1,,Sim,,"5,90 l/100km",,4 l/100km,Série 3,,,,,,,,,,StandVirtual,Yes
Particular,Mitsubishi,Space Star,1.2 Intense,Gasolina,Abril,2018,81 300 km,1 193 cm3,80 cv,Sim,,,,Monovolume,Cinzento,Manual,5,5,Tracção dianteira,121 g/km,,1,Nacional,,,Usados,9 990        EUR,8090090473,30 Julho 2023,,Metalizado,5,Classe 1,,,Sim,"5,30 l/100km",04/04/2024,"4,40 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,,Gasolina,Abril,2019,92 330 km,898 cm3,90 cv,Sim,,,Sim,Citadino,Preto,Manual,5,5,,,18 Meses,,,,,Usados,14 370        EUR,8087777410,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,MINI,Cabrio,Cooper D,Diesel,Março,2012,143 350 km,1 598 cm3,112 cv,Sim,,,,Cabrio,Preto,Manual,3,4,Tracção dianteira,105 g/km,,,,Sim,Sim,Usados,12 900        EUR,8090000382,30 Julho 2023,,Metalizado,6,Classe 1,"148,58 €",,Sim,"4,50 l/100km",06/03/2024,"3,70 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf,1.6 TDi Confortline,Diesel,Outubro,2014,149 000 km,1 598 cm3,90 cv,Sim,,,Sim,Utilitário,Prateado,Manual,5,5,,,18 Meses,,Nacional,,Sim,Usados,13 750        EUR,8089917329,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,BMW,320,d Efficient Dynamic Edition Advantage,Diesel,Agosto,2011,191 000 km,1 995 cm3,163 cv,Sim,,,Sim,Sedan,Preto,Manual,4,5,Tracção traseira,115 g/km,18 Meses,2,,,,Usados,12 990        EUR,8090127276,30 Julho 2023,Sim,Metalizado,6,Classe 1,,Sim,Sim,"5,20 l/100km",,"3,90 l/100km",Série 3,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508 SW,2.0 BlueHDi Allure J18,Diesel,Abril,2015,173 000 km,1 997 cm3,150 cv,,,,Sim,Carrinha,Preto,Manual,5,5,Tracção dianteira,,18 Meses,,Nacional,Sim,Sim,Usados,14 250        EUR,8090111414,30 Julho 2023,Sim,Metalizado,,,,,Sim,,01/04/2024,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi GPS Edition,Diesel,Fevereiro,2016,139 350 km,1 598 cm3,110 cv,,,,Sim,Carrinha,Prateado,Manual,5,5,Tracção dianteira,102 g/km,18 Meses,1,Nacional,Sim,,Usados,14 750        EUR,8089355305,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,"4,70 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.6 e-HDi Allure,Diesel,Dezembro,2012,234 356 km,1 560 cm3,92 cv,,,,Sim,Citadino,Preto,Manual,5,5,Tracção dianteira,98 g/km,18 Meses,1,Importado,Sim,,Usados,10 450        EUR,8089447246,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,"4,50 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Julho,2018,101 000 km,999 cm3,75 cv,,,,Sim,Utilitário,Branco,Manual,5,5,Tracção dianteira,112 g/km,18 Meses,1,Nacional,Sim,,Usados,12 900        EUR,8089945297,30 Julho 2023,Sim,Metalizado,5,Classe 1,,,Sim,6 l/100km,02/07/2024,"4,30 l/100km",,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 Perfect 71,Gasolina,Maio,2018,110 000 km,999 cm3,71 cv,Sim,,,,Pequeno citadino,Preto,Manual,3,2,,,18 Meses,,Nacional,,Sim,Usados,10 900        EUR,8088870848,30 Julho 2023,Sim,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308,,Diesel,Dezembro,2017,147 000 km,1 560 cm3,120 cv,,,,,Citadino,Branco,Manual,5,5,,,18 Meses,,Importado,,Sim,Usados,14 900        EUR,8089957998,30 Julho 2023,Sim,,,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.5 BlueHDi Signature,Diesel,Janeiro,2019,79 000 km,1 499 cm3,102 cv,Sim,,,Sim,Citadino,Branco,Manual,5,5,,,18 Meses,,Importado,,Sim,Usados,14 900        EUR,8088680305,30 Julho 2023,Sim,,,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Coupe,1.6 dCi Bose Edition SS,Diesel,Agosto,2014,160 000 km,1 598 cm3,130 cv,,,,Sim,Coupé,Branco,Manual,2,,,,36 Meses,,,,,Usados,13 250        EUR,8089642886,30 Julho 2023,Sim,Pérola,,,,Sim,,"4,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,Cooper,D,Diesel,Maio,2012,177 000 km,1 598 cm3,112 cv,,,,Sim,Utilitário,Preto,Manual,3,,,,36 Meses,,,,,Usados,11 990        EUR,8089700662,30 Julho 2023,Sim,Metalizado,,,,Sim,,"4,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,Março,2017,138 000 km,1 461 cm3,110 cv,,,,Sim,SUV / TT,Preto,Manual,5,5,,,36 Meses,,,,,Usados,14 850        EUR,8089286100,30 Julho 2023,Sim,Metalizado,,Classe 1,,,,"4,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes
