Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Tipo de cor,Inspecção válida até,2º Chave,Consumo Urbano,Consumo Extra Urbano,IUC,Filtro de partículas,Autonomia Máxima,Gancho de Reboque,Sub-modelo,Autonomia,Capacidade da bateria,Bateria,Garantia de Fábrica até,Consumo Combinado,Clássico,Consumo,ou até,Site,Portugal,Data
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Zen,Diesel,Março,2017,164 568 km,1 461 cm3,110 cv,Sim,Sim,Sim,Carrinha,Azul,Manual,6,5,5,Classe 1,Tracção dianteira,95 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,11 490        EUR,8087356707,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-zen-ID8PjIWd.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Ford,Fiesta,1.5 TDCi Active+,Diesel,Maio,2019,160 000 km,1 499 cm3,85 cv,,Sim,Sim,Citadino,Cinzento,Manual,,5,5,,,,18 Meses,,,Sim,Sim,Usados,14 500        EUR,8087996236,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-active-ID8Pmpic.html,Sim,Metalizado,01/05/2025,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Fiat,Punto,1.2 Pop Start&Stop,Gasolina,Junho,2018,59 987 km,1 242 cm3,69 cv,,,,Citadino,Branco,Manual,5,5,5,,Tracção dianteira,119 g/km,18 Meses,1,Nacional,Sim,,Usados,11 750        EUR,8089638902,10 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-punto-1-2-pop-start-stop-ID8PtiCO.html,,Metalizado,,Sim,"6,60 l/100km","4,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Lancia,Ypsilon,1.2 Oro S&S,Gasolina,Abril,2011,64 715 km,1 242 cm3,69 cv,,,,Citadino,Cinzento,Manual,5,3,5,,Tracção dianteira,114 g/km,18 Meses,,,,,Usados,8 500        EUR,8090378817,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/lancia-ypsilon-1-2-oro-s-s-ID8Pvp6W.html,,Metalizado,,Sim,"6,50 l/100km",4 l/100km,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Abril,2014,280 559 km,1 598 cm3,105 cv,Sim,,Sim,Carrinha,Cinzento,Manual,,5,5,,,,18 Meses,,Nacional,,,Usados,11 000        EUR,8088784390,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PpIkm.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,SEAT,Ibiza ST,1.2 TDi Reference E-Ecomotive,Diesel,Janeiro,2012,262 376 km,1 199 cm3,75 cv,Sim,,Sim,Carrinha,Vermelho,Manual,,5,5,,,,18 Meses,,Importado,,,Usados,7 950        EUR,8088030533,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-2-tdi-reference-e-ecomotive-ID8Pmydn.html,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,SEAT,Ibiza,,Diesel,Junho,2011,198 690 km,1 199 cm3,75 cv,,,Sim,Citadino,Preto,Manual,,5,5,,,,36 Meses,,,,,Usados,6 580        EUR,8090138158,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-ID8Pwowk.html,,Metalizado,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Junho,2015,99 000 km,999 cm3,71 cv,Sim,,Sim,Citadino,Azul,Manual,5,3,2,Classe 1,,,18 Meses,,,,Sim,Usados,10 450        EUR,8090536161,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8Px42J.html,Sim,Metalizado,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Dacia,Sandero,1.0 SCe Comfort,Gasolina,Julho,2018,91 200 km,999 cm3,75 cv,,,Sim,Utilitário,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,130 g/km,36 Meses,1,Nacional,,Sim,Usados,12 350        EUR,8090056378,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-0-sce-comfort-ID8Pw3ei.html,Sim,,,Sim,6 l/100km,"4,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Dacia,Sandero,1.0 SCe Comfort,Gasolina,Outubro,2017,47 700 km,999 cm3,75 cv,,,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,130 g/km,36 Meses,1,Nacional,,Sim,Usados,12 950        EUR,8090056424,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-0-sce-comfort-ID8Pw3f2.html,Sim,,,Sim,6 l/100km,"4,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,208,1.2 PureTech GT Line,Gasolina,Setembro,2015,112 871 km,1 199 cm3,110 cv,,,,Utilitário,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,103 g/km,18 Meses,,Nacional,,Sim,Usados,14 190        EUR,8090099626,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-gt-line-ID8PwetQ.html,Sim,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,MINI,Cabrio,Cooper S,Gasolina,Maio,2012,157 000 km,1 598 cm3,184 cv,,,Sim,Cabrio,Preto,Manual,6,3,,Classe 1,Tracção dianteira,,18 Meses,,Importado,Sim,Sim,Usados,13 990        EUR,8090604223,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-s-ID8PxlKw.html,,Metalizado,14/05/2024,Sim,"7,50 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Peugeot,2008,1.6 BlueHDi Active,Diesel,Junho,2016,157 497 km,1 560 cm3,75 cv,Sim,,Sim,SUV / TT,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,,Importado,Sim,Sim,Usados,13 900        EUR,8087841156,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-active-ID8PlKVU.html,Sim,,01/06/2024,Sim,"4,40 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
Profissional,Opel,Insignia Sports Tourer,,Diesel,Abril,2014,181 480 km,1 956 cm3,140 cv,,,Sim,Carrinha,Cinzento,Manual,,5,5,,,,36 Meses,,,,,Usados,12 860        EUR,8090153986,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-ID8PwsCC.html,,Metalizado,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-14
