Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Valor Fixo,Tracção,IUC,Filtro de partículas,Consumo Urbano,Emissões CO2,Registo(s),IVA Discriminado,Autonomia Máxima,Consumo Extra Urbano,Inspecção válida até,Consumo Combinado,Sub-modelo,Gancho de Reboque,Clássico,Garantia de Fábrica até,Autonomia,Capacidade da bateria,Bateria,Consumo,ou até,Valor sem ISV,Site,Portugal,Data
Profissional,Hyundai,i20,Diesel,Junho,2018,60 000 km,1 120 cm3,75 cv,Sim,Sim,Utilitário,Branco,Metalizado,Manual,6,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Sim,Usados,14 900        EUR,8087511306,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i20-ID8Pkn8K.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Particular,Renault,Mégane,Diesel,Dezembro,2017,148 000 km,1 461 cm3,106 cv,,,Utilitário,Branco,,Manual,6,5,,Classe 1,,,,,,Usados,13 500        EUR,8090574084,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-dci-110-fap-bose-edition-ID8PxdUo.html,dCi 110 FAP BOSE Edition,Sim,Tracção dianteira,143 €,Sim,"5,80 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio,Gasolina,Novembro,2019,74 500 km,999 cm3,100 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,18 Meses,,,Sim,Sim,Usados,14 900        EUR,8090493117,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-exclusive-ID8PvSQt.html,1.0 TCe Exclusive,Sim,Tracção dianteira,,,,119 g/km,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Nissan,Micra,Diesel,Junho,2017,135 703 km,1 461 cm3,90 cv,,Sim,Utilitário,Branco,,Manual,,5,5,,18 Meses,Nacional,Sim,Sim,,Usados,13 490        EUR,8089336736,14 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-acenta-s-s-ID8Ps21a.html,1.5 DCi Acenta S/S,Sim,Tracção dianteira,,,,85 g/km,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Audi,A1 Sportback,Gasolina,Dezembro,2017,120 000 km,999 cm3,95 cv,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,18 Meses,Importado,Sim,Sim,Sim,Usados,14 990        EUR,8088912667,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-0-tfsi-sport-ID8PqfHl.html,1.0 TFSI Sport,Sim,Tracção dianteira,100 €,,5 l/100km,95 g/km,1,,800 km,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Volvo,S80,Diesel,Março,2011,244 967 km,1 984 cm3,163 cv,Sim,Sim,Sedan,Preto,,Automática,,4,5,,18 Meses,,,,,Usados,14 990        EUR,8088642541,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-s80-2-0-d3-momentum-geatronic-ID8Pp7qt.html,2.0 D3 Momentum Geatronic,,,,,"7,80 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Mégane Sport Tourer,Gasolina,Agosto,2018,116 000 km,1 197 cm3,100 cv,Sim,Sim,Carrinha,Branco,Metalizado,Manual,6,5,5,Classe 1,18 Meses,,Sim,Sim,Sim,Usados,14 900        EUR,8087732668,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-2-tce-zen-ID8PliJ6.html,1.2 TCE Zen,,Tracção dianteira,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Renault,Clio,Diesel,Abril,2016,96 014 km,1 461 cm3,90 cv,,,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,36 Meses,,,,,Usados,12 300        EUR,8090473937,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-energy-dci-90-start-stop-intens-ID8PvNR7.html,(Energy) dCi 90 Start & Stop INTENS,,Tracção dianteira,,Sim,"4,30 l/100km",104 g/km,,,,"3,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Citroën,C4 Picasso,Diesel,Setembro,2014,107 350 km,1 560 cm3,115 cv,,,Monovolume,Branco,Metalizado,Manual,6,5,5,Classe 1,36 Meses,,,,,Usados,12 900        EUR,8090460780,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-picasso-1-6-e-hdi-intensive-ID8PvKqU.html,1.6 e-HDi Intensive,,Tracção dianteira,,,"4,50 l/100km",105 g/km,,,,"3,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
Profissional,Nissan,Micra,Gasolina,Fevereiro,2020,55 537 km,999 cm3,100 cv,Sim,Sim,Citadino,Cinzento,,Manual,,5,5,,18 Meses,,,,,Usados,14 280        EUR,8090540214,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-n-tec-ID8Px566.html,1.0 IG-T N-Tec,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-15
