Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Filtro de partículas,Garantia de Fábrica até,ou até,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Aceita retoma,Não fumador,Emissões CO2,Consumo Extra Urbano,Autonomia,Valor Fixo,IUC,Consumo Combinado,Sub-modelo,Autonomia Máxima,Bateria,Consumo,Capacidade da bateria,Gancho de Reboque,Clássico,Site,Portugal,Data
Profissional,VW,Polo,1.4 TDi BlueMotion,Diesel,Fevereiro,2016,138 000 km,1 422 cm3,75 cv,Sim,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,Sim,01/08/2025,250 000 km,01/08/2024,24 Meses,1,Nacional,Sim,Sim,4 l/100km,Usados,11 900        EUR,8090447468,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-4-tdi-bluemotion-ID8PvGYc.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Zen,Diesel,Julho,2018,132 500 km,1 461 cm3,90 cv,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,,18 Meses,1,,Sim,Sim,"4,30 l/100km",Usados,13 999        EUR,8089839337,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-zen-ID8Pu8LD.html,Sim,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Renault,Mégane Sport Tourer,1.5 dCi GT Line SS,Diesel,Março,2014,182 116 km,1 461 cm3,110 cv,Sim,Utilitário,Azul,,Manual,6,5,,,Tracção dianteira,Sim,,,06/03/2024,18 Meses,,,Sim,Sim,"3,90 l/100km",Usados,12 990        EUR,8090596662,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-ss-ID8PxjMy.html,,Sim,,93 g/km,"3,40 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Particular,Smart,ForTwo Coupé,coupe EQ passion,Eléctrico,Maio,2020,42 000 km,,82 cv,,Pequeno citadino,Preto,Metalizado,Automática,,2,2,Classe 1,,,31/05/2025,,,,,Importado,,Sim,,Usados,14 800        EUR,8090325528,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-coupe-eq-passion-ID8Pvbfq.html,,,,,,160 km,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
Particular,Skoda,Scala,1.0 TSI Ambition,Gasolina,Junho,2019,37 500 km,999 cm3,116 cv,,Utilitário,Cinzento,,Manual,6,5,5,,Tracção dianteira,,,,28/08/2025,,1,,Sim,Sim,,Usados,14 500        EUR,8090229353,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/skoda-scala-1-0-tsi-ambition-ID8PwMed.html,,,Sim,125 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Renault,Mégane Coupe,1.5 dCi GT Line EDC,Diesel,Abril,2013,185 000 km,1 461 cm3,110 cv,,Coupé,Preto,,Automática,6,2,5,Classe 1,Tracção dianteira,Sim,,,,18 Meses,1,Importado,Sim,Sim,"5,10 l/100km",Usados,11 950        EUR,8090412118,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-coupe-1-5-dci-gt-line-edc-ID8PvxM2.html,,,Sim,110 g/km,"3,70 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Peugeot,208,1.2 PureTech Style,Gasolina,Junho,2016,59 565 km,1 199 cm3,82 cv,,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,18 Meses,,Nacional,,Sim,"5,50 l/100km",Usados,10 500        EUR,8090596129,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-style-ID8PxjDX.html,,,Sim,104 g/km,"3,90 l/100km",,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Panda,,Híbrido (Gasolina),Junho,2021,30 528 km,1 000 cm3,69 cv,Sim,Utilitário,Branco,,Manual,,5,5,,,,,,,36 Meses,,,,Sim,,Usados,13 900        EUR,8090182790,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-ID8PwA7c.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Fiat,Panda,,Gasolina,Setembro,2018,56 187 km,1 200 cm3,69 cv,Sim,Utilitário,Branco,,Manual,,5,5,,,,,,,36 Meses,,,,Sim,,Usados,11 450        EUR,8090182745,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-panda-ID8PwA6t.html,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-16
Profissional,Opel,Mokka,,Diesel,Fevereiro,2014,171 263 km,1 700 cm3,130 cv,Sim,Utilitário,Azul,,Manual,,5,5,,,,,,,36 Meses,,,,Sim,,Usados,13 650        EUR,8090182682,16 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-mokka-ID8PwA5s.html,,Sim,Sim,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-16
