Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Potência,Autonomia,Capacidade da bateria,Bateria,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Autonomia Máxima,Condição,Preco,ID Anuncio,Data Anuncio,Link,Cilindrada,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Valor Fixo,Emissões CO2,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Registo(s),IVA Discriminado,Inspecção válida até,IUC,Filtro de partículas,Gancho de Reboque,Clássico,Consumo,Consumo Combinado,Sub-modelo,Garantia de Fábrica até,ou até,Site,Portugal,Data
Particular,Renault,Zoe,(c/ Bateria) 22 kwh Life,Eléctrico,Abril,2015,96 000 km,88 cv,150 km,22 kWh,Própria,Citadino,Branco,Automática,1,5,5,Tracção dianteira,170 km,Usados,10 999        EUR,8090596876,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-zoe-c-bateria-22-kwh-life-ID8PxjQ0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,MINI,Clubman,,Diesel,Janeiro,2014,124 000 km,143 cv,,,,Carrinha,Bege,Manual,6,5,4,Tracção traseira,,Usados,13 200        EUR,8089829611,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-ID8Pu6eL.html,1 995 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,Importado,Sim,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Citroën,C4 Cactus,,Gasolina,Junho,2017,80 393 km,82 cv,,,,SUV / TT,Preto,Automática,6,5,5,Tracção dianteira,,Usados,12 690        EUR,8090573945,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-ID8PxdS9.html,1 199 cm3,,,Metalizado,,,,Sim,Sim,Sim,100 g/km,Sim,"6,40 l/100km","4,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,Abarth,Punto Evo,1.4 T-Jet SuperSport,Gasolina,Junho,2013,156 000 km,180 cv,,,,Citadino,Cinzento,Manual,5,3,,Tracção dianteira,,Usados,14 490        EUR,8090542995,15 Setembro 2023,https://www.standvirtual.com/carros/anuncio/abarth-punto-evo-1-4-t-jet-supersport-ID8Px5OX.html,1 368 cm3,,,,,,,,,Sim,142 g/km,,8 l/100km,5 l/100km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Particular,VW,Golf,1.6 TDi BlueMotion Confortline,Diesel,Junho,2014,167 009 km,110 cv,,,,Utilitário,Preto,Manual,6,5,5,Tracção dianteira,,Usados,14 500        EUR,8090537323,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-bluemotion-confortline-ID8Px4lt.html,1 598 cm3,,,,,,,,,,85 g/km,,"3,90 l/100km","3,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Abril,2015,61 000 km,90 cv,,,,SUV / TT,Castanho,Manual,5,5,5,Tracção dianteira,,Usados,14 900        EUR,8087857207,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-0-9-tce-exclusive-ID8PlP7N.html,898 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,,Sim,Sim,,,Sim,6 l/100km,,1,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Citroën,DS3,1.6 e-HDi So Chic,Diesel,Março,2014,170 000 km,92 cv,,,,Cabrio,Vermelho,Manual,5,3,5,Tracção dianteira,,Usados,13 900        EUR,8087876909,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-e-hdi-so-chic-ID8PlUfz.html,1 560 cm3,Sim,Sim,Metalizado,Classe 1,18 Meses,,Sim,Sim,,,Sim,"4,40 l/100km",,1,,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Toyota,Yaris,1.0 VVT-i ACtive,Gasolina,Março,2018,132 522 km,69 cv,,,,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,,Usados,12 990        EUR,8089920679,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-yaris-1-0-vvt-i-active-ID8PutWB.html,998 cm3,,Sim,,Classe 1,18 Meses,Nacional,Sim,,Sim,99 g/km,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Audi,A3 Sportback,1.6 TDI,Diesel,Dezembro,2017,226 190 km,116 cv,,,,Utilitário,Cinzento,Manual,,5,5,Tracção dianteira,,Usados,14 990        EUR,8089865443,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-ID8PufyH.html,1 598 cm3,,Sim,,,18 Meses,Nacional,Sim,,Sim,106 g/km,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
Profissional,Citroën,C4 Cactus,1.5 BlueHDi Feel,Diesel,Dezembro,2019,153 327 km,102 cv,,,,Utilitário,Cinzento,Manual,,5,5,Tracção dianteira,,Usados,13 990        EUR,8089194955,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-5-bluehdi-feel-ID8Prr8n.html,1 499 cm3,,Sim,,,18 Meses,Nacional,Sim,,Sim,,Sim,,,1,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-17
