Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Emissões CO2,Sub-modelo,Tipo de cor,Filtro de partículas,Consumo Urbano,Registo(s),2º Chave,Consumo Extra Urbano,Consumo Combinado,IUC,Gancho de Reboque,Inspecção válida até,Autonomia Máxima,Autonomia,Bateria,Garantia de Fábrica até,Capacidade da bateria,Valor sem ISV,Clássico,Consumo,ou até,Site,Portugal,Data
Profissional,Citroën,C1 Airscape,1.0 VTi Shine,Gasolina,Janeiro,2018,84 456 km,998 cm3,68 cv,Sim,Sim,Sim,Cabrio,Vermelho,Manual,5,5,4,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,12 090        EUR,8090617724,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-airscape-1-0-vti-shine-ID8Pxpgg.html,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,2008,1.2 PureTech Style,Gasolina,Março,2016,86 760 km,1 199 cm3,82 cv,Sim,,Sim,Citadino,Cinzento,Manual,,5,5,,,18 Meses,Nacional,,Sim,Usados,13 500        EUR,8090099351,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-puretech-style-ID8Pwepp.html,Sim,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,Fevereiro,2022,21 472 km,1 193 cm3,71 cv,,,,Utilitário,Preto,Manual,5,5,5,,Tracção dianteira,36 Meses,,,,Usados,14 990        EUR,8090617883,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-ID8PxpiP.html,,116 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,BMW,116,d EfficientDynamics Edition Sport Line,Diesel,Setembro,2012,240 000 km,1 598 cm3,116 cv,,,,Utilitário,Branco,Manual,,5,,,,,,,,Usados,12 750        EUR,8090611559,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-edition-sport-line-ID8PxnEP.html,,,Série 1,Metalizado,Sim,"4,40 l/100km",,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Clio,1.0 SCe Zen,Gasolina,Abril,2020,30 131 km,999 cm3,75 cv,,,Sim,Citadino,Branco,Manual,,5,5,Classe 1,,18 Meses,,,,Usados,13 740        EUR,8090675013,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-sce-zen-ID8PxEah.html,Sim,,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Abril,2018,150 646 km,1 461 cm3,75 cv,,,Sim,Citadino,Branco,Manual,,5,5,Classe 1,,18 Meses,,,Sim,Usados,10 980        EUR,8090675018,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PxEam.html,Sim,,,,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,SEAT,Ibiza,1.4 TDI Ecomotive Style,Diesel,Janeiro,2010,220 000 km,1 422 cm3,75 cv,,,,Citadino,Branco,Manual,5,5,5,,Tracção dianteira,36 Meses,,,,Usados,6 990        EUR,8090675002,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-4-tdi-ecomotive-style-ID8PxEa6.html,,88 g/km,,,Sim,4 l/100km,,,"3,10 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Mercedes-Benz,180,,Diesel,Outubro,2014,179 260 km,1 461 cm3,109 cv,,,,Citadino,Preto,Manual,,5,5,,,,,,,Usados,14 980        EUR,8090671992,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-180-ID8PxDny.html,,102 g/km,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Clio,1.5 dCi Confort,Diesel,Maio,2014,78 600 km,1 461 cm3,90 cv,Sim,,,Carrinha,Cinzento,Manual,,5,,,,36 Meses,,,,Usados,9 990        EUR,8090251918,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-confort-ID8PwS6a.html,,,,,,"3,30 l/100km",,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Smart,ForTwo Coupé,0.9 Passion 90 Aut,Gasolina,Fevereiro,2019,95 769 km,898 cm3,90 cv,,,Sim,Pequeno citadino,Branco,Automática,6,3,2,,Tracção traseira,18 Meses,,,,Usados,13 980        EUR,8090545768,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-0-9-passion-90-aut-ID8Px6xG.html,Sim,96 g/km,,,,5 l/100km,,,"3,60 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Smart,ForFour,,Gasolina,Maio,2015,89 000 km,999 cm3,71 cv,,,Sim,Citadino,Prateado,Manual,,5,,,,36 Meses,,,,Usados,10 950        EUR,8090422377,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-ID8PvArw.html,Sim,,,Metalizado,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Citroën,C4 Cactus,1.2 PureTech Feel,Gasolina,Julho,2016,35 980 km,1 199 cm3,82 cv,Sim,,Sim,Sedan,Vermelho,Manual,5,5,5,,,18 Meses,,,,Usados,13 500        EUR,8090408274,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-feel-ID8PvvM2.html,,107 g/km,,,,"5,60 l/100km",,,4 l/100km,"4,60 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,Focus SW,1.5 TDCi EcoBlue Titanium,Diesel,Junho,2018,219 674 km,1 499 cm3,120 cv,Sim,Sim,Sim,Carrinha,Branco,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Usados,11 990        EUR,8090154590,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-ecoblue-titanium-ID8PwsMm.html,,99 g/km,,,,,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,SEAT,Ibiza,1.0 Reference,Gasolina,Novembro,2015,184 324 km,999 cm3,75 cv,,,Sim,Utilitário,Preto,Manual,5,5,5,Classe 1,,18 Meses,Nacional,Sim,Sim,Usados,9 900        EUR,8090240292,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-reference-ID8PwP4E.html,,109 g/km,,Metalizado,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Abril,2018,61 562 km,998 cm3,69 cv,,,Sim,Pequeno citadino,Vermelho,Manual,5,3,4,Classe 1,,18 Meses,,Sim,Sim,Usados,9 900        EUR,8090473675,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PvNMT.html,Sim,,,,,,1,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Kia,Rio,1.2 CVVT LX,Gasolina,Junho,2016,106 500 km,1 248 cm3,85 cv,Sim,,,Utilitário,Castanho,Manual,,5,5,,,18 Meses,Nacional,,,Usados,11 990        EUR,8090349120,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/kia-rio-1-2-cvvt-lx-ID8PvhnV.html,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Maio,2019,76 290 km,998 cm3,68 cv,Sim,,Sim,Pequeno citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,24 Meses,Nacional,,Sim,Usados,11 900        EUR,8088992731,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8PqAvH.html,Sim,116 g/km,,Metalizado,,5 l/100km,1,Sim,,,"108,12 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Smart,ForTwo Coupé,,Gasolina,Maio,2017,55 000 km,999 cm3,71 cv,Sim,,Sim,Citadino,Outra,Automática,,2,,,,,,,,Usados,11 500        EUR,8090660738,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-ID8PxAs2.html,Sim,,,Pérola,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Abarth,Punto Evo,1.4 T-Jet SuperSport,Gasolina,Junho,2013,156 000 km,1 368 cm3,180 cv,Sim,,,Citadino,Cinzento,Manual,5,3,,,Tracção dianteira,,,,,Usados,14 490        EUR,8090542995,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/abarth-punto-evo-1-4-t-jet-supersport-ID8Px5OX.html,,142 g/km,,,,8 l/100km,,,5 l/100km,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Ford,Focus SW,1.0 SCTi Titanium,Gasolina,Maio,2015,101 000 km,998 cm3,125 cv,,,,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Usados,12 750        EUR,8090287695,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-scti-titanium-ID8Pv1pd.html,,110 g/km,,,,"5,80 l/100km",1,Sim,"4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Particular,Mercedes-Benz,C 200,CDi Avantgarde BlueEfficiency,Diesel,Novembro,2012,256 300 km,2 143 cm3,136 cv,,,,Carrinha,Azul,Manual,6,5,5,,Tracção traseira,,Importado,,,Usados,13 000        EUR,8090668037,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-cdi-avantgarde-blueefficiency-ID8PxClL.html,,137 g/km,Classe C,Metalizado,,"6,70 l/100km",1,Sim,"4,40 l/100km",,,1,01/10/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Mégane CC,1.5 dCi GT Line SS,Diesel,Janeiro,2012,198 000 km,1 461 cm3,110 cv,,,Sim,Cabrio,Preto,Manual,6,2,,,Tracção dianteira,36 Meses,,,,Usados,11 990        EUR,8090576965,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-cc-1-5-dci-gt-line-ss-ID8PxeER.html,Sim,115 g/km,,,,"4,90 l/100km",,,"4,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Abarth,595,1.4 T-Jet Custom MTA,Gasolina,Outubro,2012,141 000 km,1 368 cm3,140 cv,,,Sim,Citadino,Vermelho,Automática,5,3,4,,Tracção dianteira,36 Meses,,,,Usados,14 490        EUR,8090576856,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-custom-mta-ID8PxeD6.html,Sim,134 g/km,,,,"8,40 l/100km",,,"5,40 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Renault,Clio Break,1.5 dCi Dynamique,Diesel,Maio,2010,249 000 km,1 461 cm3,85 cv,,,Sim,Carrinha,Cinzento,Manual,,5,5,Classe 1,,18 Meses,Nacional,Sim,Sim,Usados,6 490        EUR,8090609362,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-break-1-5-dci-dynamique-ID8Pxn5o.html,Sim,,,Metalizado,,,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,208,1.5 BlueHDi Active,Diesel,Novembro,2018,125 180 km,1 499 cm3,102 cv,Sim,Sim,Sim,Utilitário,Cinzento,Manual,6,5,5,Classe 1,,18 Meses,Nacional,Sim,Sim,Usados,13 990        EUR,8089342045,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-active-ID8Ps3oN.html,Sim,97 g/km,,Metalizado,,"4,30 l/100km",1,Sim,,,"154,12 €",,21/11/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Peugeot,308 SW,1.6 BlueHDi Business Line,Diesel,Agosto,2018,350 000 km,1 560 cm3,100 cv,Sim,Sim,Sim,Carrinha,Branco,Manual,6,5,5,Classe 1,,18 Meses,Importado,,,Usados,8 900        EUR,8090674819,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-business-line-ID8PxE79.html,,,,Metalizado,,"4,30 l/100km",2,Sim,,,,,20/08/2024,,,,,,,,,,StandVirtual,Yes,2023-09-22
Profissional,Citroën,C4 Grand Picasso,,Diesel,Outubro,2015,353 466 km,1 560 cm3,120 cv,,,,Monovolume,Branco,Automática,6,5,7,,Tracção dianteira,18 Meses,,,,Usados,11 000        EUR,8090366356,22 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-grand-picasso-ID8PvlRV.html,,105 g/km,,,,"4,60 l/100km",,,"3,80 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-22
