Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Aceita retoma,2º Chave,IUC,Consumo Combinado,Inspecção válida até,Sub-modelo,Autonomia Máxima,Autonomia,Bateria,ou até,Garantia de Fábrica até,Clássico,Consumo,Gancho de Reboque,Capacidade da bateria,Valor sem ISV,Site,Portugal,Data
Profissional,Renault,Clio,1.5 dCi Limited,Diesel,Fevereiro,2019,111 735 km,1 461 cm3,90 cv,Sim,Sim,Sim,Utilitário,Branco,Manual,5,5,5,Classe 1,Tracção dianteira,127 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,14 690        EUR,8090618200,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-ID8PxpnV.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Peugeot,508 RXH,2.0 HDi Hybrid4 Limited Edition 2-Tronic,Híbrido (Diesel),Outubro,2013,192 000 km,1 997 cm3,200 cv,,,,Carrinha,Preto,Automática,,5,5,Classe 1,Integral,,,,,,,Usados,12 990        EUR,8088547990,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-rxh-2-0-hdi-hybrid4-limited-edition-2-tronic-ID8PoIPs.html,Metalizado,"4,20 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Honda,Accord,2.2 i-DTEC Executive Top Automatic,Diesel,Fevereiro,2010,160 000 km,2 199 cm3,150 cv,,,,Sedan,Preto,Automática,5,4,,,Tracção dianteira,,,,,,,Usados,10 850        EUR,8090611337,24 Setembro 2023,https://www.standvirtual.com/carros/anuncio/honda-accord-2-2-i-dtec-executive-top-automatic-ID8PxnBf.html,,"8,40 l/100km","5,30 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Dacia,Duster,1.5 Blue dCi Prestige,Diesel,Agosto,2019,179 000 km,1 461 cm3,115 cv,,,,SUV / TT,Dourado,Manual,6,5,,,Tracção dianteira,127 g/km,,,Importado,,,Usados,14 500        EUR,8090613730,18 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-5-blue-dci-prestige-ID8PxodQ.html,,"4,70 l/100km","3,90 l/100km",Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,308 SW,1.6 BlueHDi Style,Diesel,Maio,2016,140 000 km,1 560 cm3,100 cv,,,,Carrinha,Branco,Manual,,5,5,Classe 1,,,18 Meses,,Nacional,,Sim,Usados,14 250        EUR,8087792512,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-style-ID8Plyik.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Opel,Astra Sports Tourer,1.0 Edition S/S,Gasolina,Junho,2017,98 000 km,999 cm3,105 cv,,,Sim,Carrinha,Branco,Manual,,5,5,,,,18 Meses,,Nacional,Sim,Sim,Usados,14 750        EUR,8088887902,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-0-edition-s-s-ID8Pq9fU.html,,"5,40 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Renault,Mégane,1.5 dCi Bose Edition,Diesel,Novembro,2015,170 000 km,1 461 cm3,110 cv,,,Sim,Carrinha,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,,Sim,Usados,10 980        EUR,8090609982,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-bose-edition-ID8Pxnfo.html,Metalizado,,,Sim,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Shine Ed.Midnight,Diesel,Fevereiro,2015,128 000 km,1 560 cm3,100 cv,Sim,,Sim,Utilitário,Amarelo,Manual,6,5,5,Classe 1,Tracção dianteira,87 g/km,18 Meses,1,Importado,Sim,Sim,Usados,13 500        EUR,8090097310,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-bluehdi-shine-ed-midnight-ID8PwdSu.html,Metalizado,6 l/100km,4 l/100km,Sim,Sim,Sim,156 €,"4,30 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Up!,1.0 BMT Move,Gasolina,Janeiro,2018,27 323 km,999 cm3,60 cv,Sim,,Sim,Citadino,Cinzento,Manual,6,5,4,,,,18 Meses,,,Sim,Sim,Usados,12 600        EUR,8089989410,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-up-1-0-bmt-move-ID8PuLOa.html,Metalizado,,,,Sim,Sim,,"4,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,Tipo,1.3 M-Jet Easy,Diesel,Abril,2019,110 137 km,1 248 cm3,95 cv,Sim,,Sim,Carrinha,Preto,Manual,,5,5,,,,18 Meses,,Nacional,,,Usados,13 690        EUR,8090584740,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-easy-ID8PxgGg.html,,"5,30 l/100km","3,50 l/100km",,Sim,,,"4,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Setembro,2015,84 000 km,1 242 cm3,69 cv,,,Sim,Pequeno citadino,Cinzento,Manual,,3,4,Classe 1,,117 g/km,18 Meses,,,,,Usados,10 900        EUR,8089114700,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-s-s-ID8Pr6fV.html,Metalizado,"6,20 l/100km",,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Opel,Astra,,Diesel,Julho,2011,211 000 km,1 248 cm3,95 cv,,,,Utilitário,Cinzento,Manual,5,5,5,,Tracção dianteira,,,2,Nacional,,,Usados,6 699        EUR,8090525204,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-ID8Px1c0.html,,5 l/100km,,Sim,,Sim,,,31/07/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Smart,ForTwo Coupé,,Gasolina,Janeiro,2019,52 297 km,898 cm3,90 cv,Sim,,Sim,Citadino,Preto,Automática,,3,2,,,96 g/km,18 Meses,,Nacional,,,Usados,13 990        EUR,8090691343,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-ID8PxIpF.html,,"4,90 l/100km","3,70 l/100km",,Sim,,,"4,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
