Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Origem,Aceita retoma,Possibilidade de financiamento,Registo(s),IUC,Consumo Combinado,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Autonomia,Capacidade da bateria,ou até,Bateria,Consumo,Gancho de Reboque,Site,Portugal,Data
Profissional,Dacia,Sandero,Stepway dCi 90 Prestige,Diesel,Julho,2014,118 097 km,1 461 cm3,90 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,105 g/km,Sim,01/07/2024,18 Meses,Sim,Sim,Sim,"4,60 l/100km","3,70 l/100km",Usados,9 690        EUR,8090654703,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-stepway-dci-90-prestige-ID8PxySH.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Particular,Renault,Captur,1.5 dCi Expression,Diesel,Março,2015,127 100 km,1 461 cm3,90 cv,SUV / TT,Azul,Metalizado,Manual,,5,5,,Tracção dianteira,95 g/km,,,,,Sim,Sim,,,Usados,12 500        EUR,8090527272,23 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-expression-ID8Px1Jm.html,Sim,Nacional,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Maio,2015,116 000 km,1 560 cm3,120 cv,Carrinha,Branco,Metalizado,Manual,,5,5,,,,,20/05/2024,18 Meses,Sim,Sim,Sim,,,Usados,13 500        EUR,8090665892,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8PxBNa.html,,Nacional,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,500,1.2 Lounge,Gasolina,Julho,2019,90 764 km,1 242 cm3,69 cv,Citadino,Branco,,Manual,5,3,4,,,,,,18 Meses,,,Sim,,,Usados,11 400        EUR,8090619769,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PxpNf.html,,Nacional,Sim,Sim,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Renault,Fluence,1.5 dCi Exclusive EDC,Diesel,Fevereiro,2011,120 000 km,1 461 cm3,110 cv,Sedan,Cinzento,Metalizado,Automática,6,4,5,Classe 1,Tracção dianteira,,Sim,21/02/2024,18 Meses,Sim,Sim,Sim,,,Usados,8 998        EUR,8090634206,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-fluence-1-5-dci-exclusive-edc-ID8Pxty6.html,Sim,Nacional,Sim,Sim,1,149 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,SEAT,Ibiza ST,1.2 12V Style,Gasolina,Março,2011,160 000 km,1 198 cm3,70 cv,Carrinha,Preto,,Manual,5,5,5,Classe 1,Tracção dianteira,128 g/km,,,18 Meses,Sim,Sim,Sim,"7,30 l/100km","4,50 l/100km",Usados,7 350        EUR,8090293502,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-2-12v-style-ID8Pv2US.html,,Nacional,,,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,SEAT,Leon,1.2 TSI Style S/S,Gasolina,Janeiro,2016,103 326 km,1 197 cm3,110 cv,Citadino,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,20/01/2024,18 Meses,Sim,Sim,Sim,"5,90 l/100km",,Usados,14 999        EUR,8088727471,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-1-2-tsi-style-s-s-ID8Pptvj.html,,,Sim,Sim,2,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Shine,Diesel,Julho,2014,104 214 km,1 560 cm3,100 cv,SUV / TT,Roxo,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,90 g/km,,,18 Meses,Sim,Sim,Sim,4 l/100km,"3,10 l/100km",Usados,11 950        EUR,8090701036,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-6-bluehdi-shine-ID8PxKV0.html,Sim,Nacional,Sim,Sim,,"235,26 €","3,40 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Fiat,500,1.2 8V Lounge,Gasolina,Janeiro,2014,48 313 km,1 242 cm3,69 cv,Citadino,Cinzento,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,115 g/km,,14/01/2024,18 Meses,,Sim,Sim,"6,20 l/100km","4,20 l/100km",Usados,10 900        EUR,8090641478,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-8v-lounge-ID8Pxwro.html,,,,,2,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
Profissional,Ford,Fiesta,1.0 T EcoBoost Titanium,Gasolina,Fevereiro,2014,67 109 km,998 cm3,100 cv,Utilitário,Cinzento,,Manual,,5,5,,,,,,18 Meses,Sim,Sim,Sim,,,Usados,10 950        EUR,8089958701,26 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-t-ecoboost-titanium-ID8PuDOR.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-26
