Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,Inspecção válida até,Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Aceita retoma,Possibilidade de financiamento,Garantia de Fábrica até,Garantia de Stand (incl. no preço),Filtro de partículas,IUC,IVA Discriminado,Sub-modelo,Clássico,ou até,Consumo Combinado,Gancho de Reboque,Autonomia,Bateria,Consumo,Valor sem ISV,Capacidade da bateria,Site,Portugal,Data
Particular,VW,Golf,1.6 TDi BlueMotion Confortline,Diesel,Agosto,2015,112 000 km,1 598 cm3,110 cv,Sim,Utilitário,Prateado,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,1 100 km,89 g/km,24/08/2024,1,Nacional,Sim,Sim,Sim,"3,90 l/100km","3,20 l/100km",Usados,14 900        EUR,8089618698,27 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-1-6-tdi-bluemotion-confortline-ID8PtdmV.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Particular,Fiat,Doblo,Combi 1.3 Multijet,Diesel,Junho,2016,77 200 km,1 248 cm3,75 cv,,Carrinha,Branco,Metalizado,Manual,,5,2,,,,,,,,,,,,,Usados,10 600        EUR,8090702704,27 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-doblo-combi-1-3-multijet-ID8PxLmU.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,VW,Polo,1.2 TSi Confortline Nav,Gasolina,Novembro,2016,116 261 km,1 197 cm3,90 cv,,Utilitário,Branco,,Manual,5,5,5,Classe 1,,,,,,Nacional,,Sim,,,,Usados,14 250        EUR,8090624783,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-2-tsi-confortline-nav-ID8Pxr67.html,Sim,Sim,01/01/0001,36 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,500,1.2 Lounge,Gasolina,Abril,2018,91 578 km,1 242 cm3,69 cv,,Citadino,Cinzento,,Manual,5,3,4,Classe 1,Tracção dianteira,,129 g/km,,1,Nacional,Sim,Sim,Sim,"5,90 l/100km","4,40 l/100km",Usados,12 990        EUR,8090365959,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PvlLx.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Volvo,V40,1.6 D2 Eco R-Design,Diesel,Outubro,2013,181 000 km,1 560 cm3,115 cv,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,,1,,Sim,Sim,Sim,4 l/100km,,Usados,12 499        EUR,8090000201,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-v40-1-6-d2-eco-r-design-ID8PuOCd.html,Sim,Sim,,36 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Peugeot,2008,PureTech 110 Stop&Start EAT6 Allure,Gasolina,Abril,2016,44 000 km,1 199 cm3,110 cv,,SUV / TT,Cinzento,Metalizado,Automática,6,5,5,Classe 1,Tracção dianteira,,129 g/km,,,,Sim,,Sim,"6,60 l/100km",5 l/100km,Usados,14 900        EUR,8090716104,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-2008-puretech-110-stop-start-eat6-allure-ID8PxOR2.html,Sim,Sim,,18 Meses,,108 €,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,MINI,Cabrio,Cooper,Gasolina,Março,2010,143 353 km,1 598 cm3,122 cv,Sim,Cabrio,Preto,Metalizado,Manual,6,3,4,Classe 1,Tracção dianteira,,133 g/km,,,,,,,"7,20 l/100km","4,90 l/100km",Usados,11 850        EUR,8090357876,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-cabrio-cooper-ID8PvjFa.html,Sim,Sim,,36 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Smart,ForTwo Coupé,1.0 Passion 71 Aut.,Gasolina,Maio,2015,23 000 km,999 cm3,71 cv,Sim,Pequeno citadino,Preto,Metalizado,Automática,,3,2,Classe 1,,,,,,Nacional,Sim,Sim,Sim,,,Usados,12 700        EUR,8090716045,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-aut-ID8PxOQ5.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,VW,Golf Variant,1.0 TSI Confortline,Gasolina,Janeiro,2020,266 164 km,999 cm3,115 cv,Sim,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,,,,,Nacional,Sim,Sim,,,,Usados,13 490        EUR,8088904666,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-0-tsi-confortline-ID8PqdCi.html,,Sim,,18 Meses,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge Tech J17,Diesel,Agosto,2019,87 000 km,1 248 cm3,95 cv,,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,1,Nacional,,Sim,Sim,"5,30 l/100km",,Usados,14 999        EUR,8090662321,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-tech-j17-ID8PxARz.html,,Sim,,18 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Mégane,ENERGY TCe 115 Start & Stop Dynamique,Gasolina,Fevereiro,2013,158 000 km,1 198 cm3,115 cv,,Utilitário,Branco,,Manual,6,5,5,,Tracção dianteira,,119 g/km,,,Importado,,Sim,,"6,40 l/100km","4,60 l/100km",Usados,9 950        EUR,8089847667,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-energy-tce-115-start-stop-dynamique-ID8PuaWZ.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Renault,Clio,1.5 dCi Fairway,Diesel,Março,2011,204 000 km,1 461 cm3,75 cv,,Citadino,Branco,,Manual,5,5,,Classe 1,Tracção dianteira,,106 g/km,,,Nacional,,Sim,,"5,30 l/100km","4,10 l/100km",Usados,7 490        EUR,8089548384,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-fairway-ID8PsW4Q.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Alfa Romeo,MiTo,1.4 T MultiAir Distinctive,Gasolina,Fevereiro,2010,182 000 km,1 368 cm3,135 cv,,Utilitário,Branco,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,,129 g/km,,,Importado,,Sim,Sim,"7,40 l/100km",,Usados,8 490        EUR,8089189090,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-4-t-multiair-distinctive-ID8PrpBM.html,Sim,Sim,,18 Meses,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Toyota,Auris,,Diesel,Abril,2011,253 848 km,1 364 cm3,90 cv,,Sedan,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,18/04/2024,1,,Sim,,Sim,,,Usados,9 500        EUR,8089774083,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-auris-ID8PtRN9.html,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
Profissional,Ford,Focus,1.6 TDCi Trend Easy Econetic,Diesel,Fevereiro,2014,193 619 km,1 560 cm3,105 cv,,Utilitário,Prateado,,Manual,6,5,5,Classe 1,Tracção dianteira,,88 g/km,19/02/2024,1,,Sim,Sim,Sim,,,Usados,11 500        EUR,8089510638,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-1-6-tdci-trend-easy-econetic-ID8PsLg2.html,Sim,Sim,,18 Meses,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-09-28
