Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Origem,Não fumador,2º Chave,Inspecção válida até,Livro de Revisões completo,Sub-modelo,IUC,IVA Discriminado,Filtro de partículas,Autonomia,Bateria,Gancho de Reboque,Consumo,Capacidade da bateria,Autonomia Máxima,Consumo Combinado,Garantia de Fábrica até,ou até,Site,Portugal,Data
Particular,Ford,Fiesta,1.5 TDCi Titanium,Diesel,Janeiro,2014,150 000 km,1 499 cm3,75 cv,Citadino,Preto,Manual,5,5,5,Tracção dianteira,89 g/km,"4,40 l/100km","3,30 l/100km",Usados,8 999        EUR,8090659289,28 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-titanium-ID8PxA4F.html,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Fiat,500C,1.2 Lounge,Gasolina,Março,2011,114 000 km,1 242 cm3,69 cv,Cabrio,Cinzento,Manual,5,2,4,Tracção dianteira,131 g/km,"5,90 l/100km","4,40 l/100km",Usados,9 500        EUR,8090156725,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-ID8PwtkN.html,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,1,Nacional,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Renault,Clio Sport Tourer,1.5 dCi Dynamique S,Diesel,Março,2015,172 793 km,1 461 cm3,90 cv,Carrinha,Preto,Manual,5,5,5,,90 g/km,,,Usados,9 950        EUR,8090656269,27 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-dynamique-s-ID8PxzhX.html,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,Sim,01/03/2024,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Peugeot,108,1.0 VTi Allure,Gasolina,Fevereiro,2015,110 000 km,998 cm3,69 cv,Citadino,Branco,Manual,,5,4,,,,,Usados,9 950        EUR,8090093407,29 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-allure-ID8PwcRx.html,,Sim,Sim,,,18 Meses,,Nacional,Sim,Sim,20/02/2024,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Fiat,Doblo,Combi 1.3 Multijet Maxi,Diesel,Junho,2016,59 200 km,1 248 cm3,95 cv,Carrinha,Branco,Manual,5,5,3,Tracção dianteira,,,,Usados,13 690        EUR,8090666981,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-doblo-combi-1-3-multijet-maxi-ID8PxC4J.html,Sim,Sim,,,Classe 1,18 Meses,1,Nacional,Sim,Sim,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,SEAT,Ibiza ST,1.2 TDi Style DPF,Diesel,Agosto,2011,161 253 km,1 199 cm3,75 cv,Carrinha,Castanho,Manual,5,5,5,,,,,Usados,8 590        EUR,8090625500,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-2-tdi-style-dpf-ID8PxrhG.html,Sim,Sim,,Metalizado,Classe 1,18 Meses,2,Nacional,Sim,Sim,,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Mercedes-Benz,C 200,CDi Elegance,Diesel,Outubro,2010,207 290 km,2 148 cm3,136 cv,Sedan,Preto,Manual,6,5,5,Tracção traseira,,,,Usados,11 500        EUR,8090411976,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-cdi-elegance-ID8PvxJK.html,Sim,Sim,,Metalizado,Classe 1,18 Meses,1,,Sim,Sim,13/10/2024,,Classe C,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Renault,Clio,0.9 TCE Limited,Gasolina,Dezembro,2015,92 000 km,898 cm3,90 cv,Utilitário,Cinzento,Manual,5,5,5,,,,,Usados,12 950        EUR,8089554514,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PsVFI.html,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,1,Nacional,Sim,Sim,,Sim,,"144,05 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Fiat,Tipo,1.3 M-Jet Lounge Tech J17,Diesel,Abril,2019,103 000 km,1 248 cm3,95 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,,,,Usados,14 900        EUR,8090488781,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-tech-j17-ID8PvRIx.html,,Sim,Sim,,Classe 1,18 Meses,1,Nacional,Sim,Sim,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Mitsubishi,Space Star,1.2 Intense ClearTec,Gasolina,Março,2015,50 056 km,1 193 cm3,80 cv,Utilitário,Cinzento,Manual,5,5,5,Tracção dianteira,100 g/km,5 l/100km,"3,90 l/100km",Usados,12 850        EUR,8089951368,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-cleartec-ID8PuBUA.html,,,,,,18 Meses,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Mazda,CX-5,2.2 D Evolve HS HT Navi,Diesel,Maio,2013,168 000 km,2 191 cm3,150 cv,SUV / TT,Branco,Manual,6,5,5,Tracção dianteira,119 g/km,"5,40 l/100km",,Usados,14 250        EUR,8089288798,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mazda-cx-5-2-2-d-evolve-hs-ht-navi-ID8PrPxY.html,Sim,,Sim,Pérola,Classe 1,18 Meses,2,Nacional,Sim,Sim,30/05/2024,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Citroën,C3,1.4 HDi Attraction,Diesel,Outubro,2013,175 825 km,1 398 cm3,70 cv,Utilitário,Prateado,Manual,5,5,5,Tracção dianteira,99 g/km,"4,50 l/100km","3,40 l/100km",Usados,7 499        EUR,8090526516,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-4-hdi-attraction-ID8Px1xa.html,,,,Metalizado,Classe 1,18 Meses,,Nacional,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Particular,BMW,118,d Line Sport,Diesel,Fevereiro,2012,256 600 km,1 995 cm3,143 cv,Utilitário,Cinzento,Manual,6,5,,Tracção traseira,,"5,30 l/100km","3,90 l/100km",Usados,14 000        EUR,8090609921,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-118-d-line-sport-ID8Pxnep.html,,,,Metalizado,Classe 1,,,Nacional,Sim,Sim,,Sim,Série 1,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Suzuki,Swift,1.2 VVT GLX A-Stop,Gasolina,Dezembro,2010,256 000 km,1 242 cm3,94 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,113 g/km,"5,80 l/100km","4,40 l/100km",Usados,6 700        EUR,8090679780,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/suzuki-swift-1-2-vvt-glx-a-stop-ID8PxFpa.html,,,,Pérola,Classe 1,18 Meses,1,Nacional,Sim,Sim,27/12/2023,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Outubro,2017,139 900 km,1 199 cm3,82 cv,Utilitário,Branco,Manual,5,5,5,,,,,Usados,13 500        EUR,8090730565,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-feel-ID8PxSCh.html,Sim,Sim,Sim,,Classe 1,18 Meses,1,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Nissan,Qashqai,,Diesel,Abril,2013,190 000 km,1 598 cm3,130 cv,SUV / TT,Cinzento,Manual,,5,5,,,,,Usados,13 890        EUR,8086445454,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-ID8PfTRA.html,,Sim,Sim,,,18 Meses,,,Sim,Sim,,,,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Chevrolet,Spark,1.2 LT Bi-Fuel,GPL,Novembro,2011,153 000 km,1 206 cm3,81 cv,Citadino,Preto,Manual,5,5,5,Tracção dianteira,119 g/km,"6,60 l/100km","4,20 l/100km",Usados,7 500        EUR,8089954473,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/chevrolet-spark-1-2-lt-bi-fuel-ID8PuCIF.html,,Sim,Sim,,,18 Meses,,Nacional,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Toyota,Aygo,1.0,Gasolina,Julho,2019,27 500 km,998 cm3,72 cv,Utilitário,Branco,Manual,5,5,4,Tracção dianteira,112 g/km,"4,90 l/100km","3,60 l/100km",Usados,13 500        EUR,8089954532,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-ID8PuCJC.html,,Sim,Sim,,,18 Meses,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-30
Profissional,Peugeot,208,1.6 BlueHDi Allure,Diesel,Abril,2018,138 900 km,1 560 cm3,75 cv,Carrinha,Branco,Manual,6,5,5,,,,,Usados,12 990        EUR,8089252092,30 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-allure-ID8PrFZV.html,Sim,Sim,Sim,,Classe 1,18 Meses,1,,Sim,Sim,,Sim,,"154,34 €",,,,,,,,,,,,StandVirtual,Yes,2023-09-30
