Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Autonomia,Capacidade da bateria,Valor Fixo,Autonomia Máxima,Origem,Sub-modelo,Classe do veículo,Registo(s),Garantia de Fábrica até,ou até,Consumo Combinado,Filtro de partículas,IUC,Gancho de Reboque,Consumo,Bateria,Clássico,Site,Portugal,Data
Particular,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Dezembro,2017,145 442 km,1 560 cm3,100 cv,Carrinha,Azul,Manual,5,5,5,Tracção dianteira,95 g/km,"4,30 l/100km","3,20 l/100km",Usados,11 700        EUR,8090339576,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8PveU0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Particular,Renault,Mégane Sport Tourer,1.5 dCi GT Line EDC,Diesel,Março,2014,144 000 km,1 461 cm3,110 cv,Carrinha,Preto,Automática,6,5,5,Tracção dianteira,95 g/km,4 l/100km,"3,50 l/100km",Usados,9 600        EUR,8090804538,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-edc-ID8PybRo.html,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Ford,Fiesta,1.5 TDCi Active+,Diesel,Maio,2019,160 000 km,1 499 cm3,85 cv,Citadino,Cinzento,Manual,,5,5,,,,,Usados,14 500        EUR,8087996236,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-active-ID8Pmpic.html,Sim,Sim,Sim,Metalizado,01/05/2025,18 Meses,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,MINI,Cooper,D,Diesel,Abril,2013,175 000 km,1 598 cm3,112 cv,Citadino,Azul,Manual,,3,4,,,,,Usados,10 950        EUR,8090441112,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PvFjG.html,,Sim,Sim,Metalizado,30/04/2024,18 Meses,Sim,Sim,Sim,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Twizy,80 Intens Black,Eléctrico,Abril,2017,15 310 km,,17 cv,Pequeno citadino,Preto,Automática,,2,2,,,,,Usados,7 890        EUR,8089694725,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twizy-80-intens-black-ID8Ptx9b.html,Sim,Sim,Sim,Metalizado,,18 Meses,,,,70 km,13 kWh,Sim,70 km,Importado,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,BMW,216 Active Tourer,d Advantage,Diesel,Agosto,2015,179 895 km,1 496 cm3,116 cv,Utilitário,Preto,Manual,6,5,5,,,,,Usados,14 490        EUR,8088185311,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-advantage-ID8PnctN.html,,Sim,Sim,Metalizado,,18 Meses,,,,,,Sim,,,Série 2,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Renault,Talisman Sport Tourer,1.5 dCi Zen,Diesel,Junho,2017,197 114 km,1 461 cm3,110 cv,Carrinha,Preto,Manual,,5,5,,,"4,20 l/100km",,Usados,14 890        EUR,8090119897,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-talisman-sport-tourer-1-5-dci-zen-ID8PwjKN.html,,Sim,Sim,Metalizado,,18 Meses,Sim,,Sim,,,,,Nacional,,Classe 1,1,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Ford,Fiesta,1.0 Ti-VCT Titanium,Gasolina,Fevereiro,2017,69 170 km,998 cm3,80 cv,Citadino,Branco,Manual,5,5,5,,99 g/km,"5,10 l/100km",,Usados,13 750        EUR,8088904060,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ti-vct-titanium-ID8Pqdsv.html,,Sim,Sim,,,18 Meses,,Sim,Sim,,,,,Nacional,,Classe 1,,12/02/2024,140 000 km,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Peugeot,508 SW,1.6 e-HDi Active 2-Tronic 105g,Diesel,Março,2015,158 941 km,1 560 cm3,115 cv,Carrinha,Preto,Automática,,5,5,,,,,Usados,13 890        EUR,8090610911,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-e-hdi-active-2-tronic-105g-ID8Pxnun.html,,Sim,Sim,Metalizado,,18 Meses,,,,,,Sim,,Importado,,,,,,,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Audi,A1,1.6 TDi S-line,Diesel,Junho,2013,127 000 km,1 598 cm3,105 cv,Citadino,Branco,Manual,5,3,5,Tracção dianteira,,4 l/100km,5 l/100km,Usados,13 900        EUR,8088829701,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/audi-a1-1-6-tdi-s-line-ID8PpU7b.html,,,Sim,Pérola,,18 Meses,Sim,Sim,Sim,,,,950 km,,,Classe 1,,,,4 l/100km,,,,,,,StandVirtual,Yes,2023-10-12
Profissional,Citroën,DS3,1.6 BlueHDi Sport Chic,Diesel,Julho,2016,151 500 km,1 560 cm3,120 cv,Citadino,Branco,Manual,6,3,5,Tracção dianteira,,"4,40 l/100km",,Usados,14 500        EUR,8090687673,12 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-ds3-1-6-bluehdi-sport-chic-ID8PxHst.html,,,Sim,Pérola,,36 Meses,Sim,Sim,Sim,,,,950 km,,,Classe 1,,,,,Sim,,,,,,StandVirtual,Yes,2023-10-12
