Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Número de Mudanças,Tracção,Emissões CO2,Registo(s),Consumo Urbano,Consumo Extra Urbano,Tipo de cor,Filtro de partículas,IUC,Livro de Revisões completo,Possibilidade de financiamento,IVA Discriminado,Garantia de Fábrica até,Inspecção válida até,Autonomia Máxima,Clássico,Gancho de Reboque,ou até,Autonomia,Consumo,Capacidade da bateria,Bateria,Consumo Combinado,Site,Portugal,Data
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,Junho,2013,146 701 km,1 461 cm3,110 cv,Sim,Sim,SUV / TT,Prateado,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,13 400        EUR,8090829503,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-premium-ID8Pyim3.html,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,BMW,116,d EfficientDynamics Edition Advantage,Diesel,Novembro,2015,187 000 km,1 496 cm3,116 cv,,,Utilitário,Branco,Manual,5,5,,,,,,Usados,13 750        EUR,8090740724,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-edition-advantage-ID8PxWg8.html,Série 1,6,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Dezembro,2016,98 000 km,1 248 cm3,95 cv,,,Utilitário,Cinzento,Manual,5,5,Classe 1,,Nacional,,Sim,Usados,14 500        EUR,8090439562,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PvEUG.html,,5,Tracção dianteira,120 g/km,2,"5,30 l/100km","3,60 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,BMW,116,d Pack M,Diesel,Maio,2011,295 000 km,1 995 cm3,116 cv,,,Utilitário,Branco,Manual,3,5,Classe 1,18 Meses,Importado,,,Usados,11 450        EUR,8090222502,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-m-ID8PwKrI.html,Série 1,6,Tracção traseira,119 g/km,2,"5,30 l/100km","3,80 l/100km",Metalizado,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Particular,Skoda,Fabia,1.2 TSI Elegance,Gasolina,Julho,2011,99 500 km,1 197 cm3,85 cv,,,Citadino,Cinzento,Manual,5,5,Classe 1,,,,,Usados,7 000        EUR,8090593202,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/skoda-fabia-1-2-tsi-elegance-ID8PxiSK.html,,5,Tracção dianteira,124 g/km,,"6,80 l/100km","4,50 l/100km",Metalizado,,150 €,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,500X,1.3 MJ Cross Plus S&S,Diesel,Agosto,2017,105 000 km,1 248 cm3,95 cv,,,SUV / TT,Branco,Manual,5,,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,14 950        EUR,8090893441,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-cross-plus-s-s-ID8PyyZj.html,,5,Tracção dianteira,107 g/km,1,"4,70 l/100km","3,80 l/100km",Metalizado,,103 €,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Dynamic Sport,Diesel,Junho,2018,145 941 km,1 598 cm3,110 cv,,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,12 480        EUR,8090460348,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-sport-ID8PvKjV.html,,,,,1,,,Metalizado,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Janeiro,2018,120 000 km,1 248 cm3,95 cv,,Sim,Carrinha,Azul,Manual,5,5,Classe 1,18 Meses,Nacional,Sim,Sim,Usados,13 900        EUR,8090893420,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PyyYY.html,,5,Tracção dianteira,,1,,,,,,,Sim,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Fiat,500X,1.4 MA Pop Star S&S,Gasolina,Dezembro,2016,132 000 km,1 368 cm3,140 cv,Sim,Sim,SUV / TT,Cinzento,Manual,5,5,,18 Meses,,,Sim,Usados,12 950        EUR,8090298570,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-4-ma-pop-star-s-s-ID8Pv4eC.html,,6,,,,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
Profissional,Renault,Twingo,1.0 SCe Dynamique,Gasolina,Dezembro,2015,122 000 km,999 cm3,70 cv,Sim,Sim,Citadino,Vermelho,Manual,5,5,,18 Meses,,,Sim,Usados,8 950        EUR,8090298492,21 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-dynamique-ID8Pv4dm.html,,5,,,1,,,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2023-10-21
