Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Possibilidade de financiamento,Não fumador,Inspecção válida até,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,IUC,IVA Discriminado,Consumo Combinado,Sub-modelo,Garantia de Fábrica até,ou até,Consumo,Site,Portugal,Data
Profissional,Mazda,3,1.5 Sky-D Excellence Pack Leather Navi,Diesel,Janeiro,2018,159 000 km,1 499 cm3,105 cv,Sedan,Azul,Metalizado,Manual,6,4,5,Classe 1,Tracção dianteira,99 g/km,18 Meses,1,Nacional,Sim,Sim,"4,30 l/100km","3,50 l/100km",Usados,Mostrar VIN,14 950,8091562042,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/mazda-3-1-5-sky-d-excellence-pack-leather-navi-ID8PBmWc.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Dacia,Duster,1.5 dCi Prestige,Diesel,Outubro,2017,184 000 km,1 461 cm3,110 cv,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,,Tracção dianteira,115 g/km,36 Meses,,,,,"4,50 l/100km","4,40 l/100km",Usados,,14 950,8091384526,28 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-5-dci-prestige-ID8PACK2.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Março,2022,30 000 km,999 cm3,70 cv,Citadino,Cinzento,Metalizado,Manual,,3,5,,,,36 Meses,,Nacional,Sim,Sim,,,Usados,,13 750,8091877199,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCGUn.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Smart,ForFour,0.9 Passion 90,Gasolina,Junho,2019,27 000 km,898 cm3,90 cv,Utilitário,Preto,Metalizado,Manual,5,5,4,Classe 1,,,18 Meses,,Nacional,Sim,Sim,,,Usados,,13 990,8088333650,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-0-9-passion-90-ID8PnP4m.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Nissan,Qashqai,1.5 dCi Acenta,Diesel,Junho,2015,160 000 km,1 461 cm3,110 cv,SUV / TT,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,99 g/km,18 Meses,1,Nacional,Sim,Sim,,,Usados,Mostrar VIN,13 980,8091751565,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-acenta-ID8PCae1.html,,Sim,Sim,29 Junho 2024,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Zoe,Life 40 Q90,Eléctrico,Janeiro,2018,68 000 km,,88 cv,Citadino,Branco,,Automática,1,5,5,Classe 1,Tracção traseira,,18 Meses,1,,Sim,Sim,,,Usados,,13 850,8091892781,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-zoe-life-40-q90-ID8PCKXH.html,,Sim,Sim,1 Janeiro 2026,312 km,40 kWh,Própria,312 km,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Zen ECO,Diesel,Dezembro,2016,131 000 km,1 461 cm3,110 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,90 g/km,18 Meses,1,Importado,Sim,Sim,"3,70 l/100km","3,20 l/100km",Usados,Mostrar VIN,13 980,8091523064,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-zen-eco-ID8PBcMv.html,,,Sim,15 Dezembro 2024,,,,1 000 km,158 €,,,,,,,StandVirtual,Yes,2024-02-29
Particular,Kia,Picanto,1.0 CVVT EX 4AT,Gasolina,Junho,2018,41 000 km,998 cm3,67 cv,Citadino,Cinzento,Metalizado,Automática,,5,5,,,,,,,Sim,Sim,"5,30 l/100km",,Usados,,14 550,8091674538,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-picanto-1-0-cvvt-ex-4at-ID8PBQbE.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Crossland X,1.2 T Edition,Gasolina,Março,2019,67 000 km,1 199 cm3,110 cv,SUV / TT,Prateado,Metalizado,Manual,6,5,5,Classe 1,,,24 Meses,,Nacional,,Sim,,,Usados,,13 990,8091892753,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-crossland-x-1-2-t-edition-ID8PCKXf.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Ford,KA,1.2 1st Edition,Gasolina,Abril,2015,68 000 km,1 242 cm3,69 cv,Citadino,Bege,,Manual,,3,4,Classe 1,,,24 Meses,,Nacional,,Sim,,,Usados,,6 990,8091892751,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-ka-1-2-1st-edition-ID8PCKXd.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Particular,SEAT,Ibiza ST,1.6 TDi FR 30 Anos,Diesel,Agosto,2015,137 000 km,1 598 cm3,90 cv,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,109 g/km,,1,Nacional,,Sim,"5,10 l/100km","3,60 l/100km",Usados,Mostrar VIN,12 750,8091652032,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-st-1-6-tdi-fr-30-anos-ID8PBKkE.html,,,,3 Agosto 2024,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,Panda,1.0 Hybrid City Life,Gasolina,Março,2022,50 388 km,999 cm3,70 cv,Citadino,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,125 g/km,24 Meses,1,Nacional,,Sim,,,Usados,Mostrar VIN,13 250,8091814518,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-1-0-hybrid-city-life-ID8PCqBo.html,Sim,Sim,,,,,,,109 €,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited EDition,Diesel,Agosto,2019,131 000 km,1 461 cm3,90 cv,Carrinha,Preto,Metalizado,Manual,5,5,5,Classe 1,,85 g/km,18 Meses,,Nacional,Sim,Sim,,,Usados,,13 990,8091587258,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-edition-ID8PBttU.html,Sim,Sim,Sim,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Alfa Romeo,MiTo,1.3 JTDM Urban,Diesel,Abril,2018,46 345 km,1 248 cm3,95 cv,Utilitário,Branco,,Manual,5,3,5,Classe 1,Tracção dianteira,89 g/km,48 Meses,1,Nacional,Sim,Sim,"4,30 l/100km","2,90 l/100km",Usados,Mostrar VIN,14 800,8089641295,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-urban-ID8Ptjfp.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,500C,1.2 Sport,Gasolina,Dezembro,2016,120 000 km,1 242 cm3,69 cv,Cabrio,Preto,Metalizado,Manual,,2,4,,,,18 Meses,1,Importado,,Sim,,,Usados,,11 950,8088850207,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-sport-ID8PpZrW.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Twingo,1.0 SCe Limited,Gasolina,Fevereiro,2019,72 883 km,999 cm3,70 cv,Citadino,Preto,Metalizado,Manual,5,5,4,Classe 1,Tracção dianteira,,24 Meses,1,Nacional,,Sim,,,Usados,Mostrar VIN,11 900,8091022165,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-1-0-sce-limited-ID8Pz6tw.html,Sim,Sim,,,,,,,108 €,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Nissan,Micra,1.2 Naru Edition,Gasolina,Dezembro,2015,108 124 km,1 198 cm3,80 cv,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,115 g/km,18 Meses,1,Nacional,Sim,Sim,"6,10 l/100km","4,30 l/100km",Usados,,9 850,8091867683,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-2-naru-edition-ID8PCEqT.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C3,1.5 BlueHDi Feel,Diesel,Novembro,2019,64 528 km,1 499 cm3,102 cv,Citadino,Branco,,Manual,,5,5,,,,18 Meses,,Nacional,,,,,Usados,,14 750,8091737650,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-feel-ID8PC6BA.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Astra,1.6 CDTI Business Edition S/S,Diesel,Janeiro,2016,235 914 km,1 598 cm3,110 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,36 Meses,,Nacional,,Sim,,,Usados,,9 000,8085319142,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-6-cdti-business-edition-s-s-ID8PbaRg.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Grand Scénic,1.5 dCi Bose Edition SS,Diesel,Dezembro,2014,257 000 km,1 461 cm3,110 cv,Monovolume,Cinzento,,Manual,6,5,7,Classe 1,Tracção dianteira,,36 Meses,,,Sim,Sim,,,Usados,,9 450,8088685433,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-bose-edition-ss-ID8PpiAh.html,,Sim,Sim,,,,,,145 €,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Zafira,1.6 CDTi Cosmo,Diesel,Fevereiro,2016,170 000 km,1 598 cm3,136 cv,Monovolume,Cinzento,,Manual,6,5,7,Classe 1,,,18 Meses,,Nacional,,Sim,,,Usados,Mostrar VIN,12 900,8091763716,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-zafira-1-6-cdti-cosmo-ID8PCdo0.html,Sim,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,208,1.2 PureTech Style,Gasolina,Janeiro,2017,54 445 km,1 199 cm3,82 cv,Citadino,Vermelho,Metalizado,Manual,5,5,5,Classe 1,,,18 Meses,,,,Sim,,,Usados,,12 900,8090691162,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-style-ID8PxImK.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Peugeot,208,1.6 BlueHDi Active,Diesel,Agosto,2017,134 078 km,1 560 cm3,75 cv,Utilitário,Branco,,Manual,,5,5,Classe 1,Tracção dianteira,90 g/km,18 Meses,,Nacional,,Sim,"4,20 l/100km",,Usados,Mostrar VIN,11 900,8089107061,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-6-bluehdi-active-ID8Pr4gJ.html,,Sim,,,,,,,150 €,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,500C,1.2 New Lounge,Gasolina,Junho,2016,79 884 km,1 242 cm3,69 cv,Cabrio,Cinzento,Metalizado,Manual,5,2,4,Classe 1,Tracção dianteira,117 g/km,18 Meses,,Nacional,,Sim,"6,30 l/100km","4,30 l/100km",Usados,,11 900,8091229471,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-new-lounge-ID8PzYp9.html,,Sim,,,,,,,130 €,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Astra,1.4 T Dynamic S/S,Gasolina,Fevereiro,2016,88 690 km,1 399 cm3,150 cv,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,117 g/km,18 Meses,,Nacional,,Sim,"6,70 l/100km","4,60 l/100km",Usados,Mostrar VIN,13 900,8091563847,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-1-4-t-dynamic-s-s-ID8PBnoj.html,,Sim,,,,,,,170 €,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Citroën,C3,1.2 PureTech Seduction,Gasolina,Dezembro,2015,126 800 km,1 199 cm3,82 cv,Citadino,Preto,,Manual,,5,5,Classe 1,,107 g/km,18 Meses,,,,Sim,,,Usados,,9 990,8091498847,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-seduction-ID8PB6tW.html,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Volvo,V40,1.6 D2 Momentum,Diesel,Julho,2014,188 112 km,1 560 cm3,115 cv,Utilitário,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,96 g/km,18 Meses,,,Sim,Sim,"4,10 l/100km","3,40 l/100km",Usados,Mostrar VIN,14 250,8090769238,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/volvo-v40-1-6-d2-momentum-ID8Py2G2.html,,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited EDC,Diesel,Agosto,2017,149 000 km,1 461 cm3,110 cv,Carrinha,Azul,,Automática,,5,5,Classe 1,,,18 Meses,,,,Sim,,,Usados,,14 990,8090326018,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-edc-ID8Pvbnk.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Nissan,Micra,0.9 IG-T Tekna S/S,Gasolina,Junho,2018,81 000 km,898 cm3,90 cv,Citadino,Prateado,,Manual,5,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,,13 990,8090617255,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-0-9-ig-t-tekna-s-s-ID8Pxp8H.html,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Dynamic Sport,Diesel,Junho,2018,146 000 km,1 598 cm3,110 cv,Carrinha,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,95 g/km,18 Meses,1,Nacional,,,,,Usados,,14 890,8087852099,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-sport-ID8PlNNp.html,,Sim,Sim,,,,,,,Sim,,,,,,StandVirtual,Yes,2024-02-29
Profissional,Fiat,Panda,,Gasolina,Outubro,2021,50 437 km,999 cm3,69 cv,Utilitário,Cinzento,,Manual,6,5,4,,Tracção dianteira,,18 Meses,,Importado,,,,,Usados,Mostrar VIN,13 950,8090916714,29 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-panda-ID8PyF2G.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-29
