Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Sub-modelo,Valor Fixo,Aceita retoma,Não fumador,Tracção,Filtro de partículas,Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,ou até,Autonomia Máxima,Inspecção válida até,IUC,Consumo Combinado,Autonomia,Consumo
Profissional,VW,Passat Variant,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Fevereiro,2018,130 000 km,1 395 cm3,218 cv,Sim,Sim,Sim,Carrinha,Branco,Metalizado,Automática,6,5,5,Classe 1,40 g/km,18 Meses,1,Importado,Sim,Usados,27 900        EUR,8088033551,1 Junho 2023,,,,,,,,,,,,,,,,,
Profissional,Mercedes-Benz,E 300,Bluetec Hybrid Avantgarde,Híbrido (Diesel),Dezembro,2014,270 400 km,2 143 cm3,231 cv,,,Sim,Sedan,Prateado,,Automática,,4,5,Classe 1,,18 Meses,2,Nacional,Sim,Usados,19 900        EUR,8089642059,31 Maio 2023,Classe E,Sim,Sim,Sim,,,,,,,,,,,,,
Particular,Mercedes-Benz,C 300,,Híbrido (Diesel),Janeiro,2018,136 000 km,2 143 cm3,231 cv,,,,Carrinha,Branco,,Automática,7,5,5,,104 g/km,,,,Sim,Usados,35 500        EUR,8089645987,31 Maio 2023,Classe C,Sim,,,Tracção traseira,Sim,Sim,4 l/100km,"3,70 l/100km",,,,,,,,
Profissional,Porsche,Cayenne,E-Hybrid,Híbrido (Gasolina),Junho,2020,46 000 km,2 995 cm3,462 cv,,,,SUV / TT,Preto,,Automática,,5,5,,,36 Meses,1,Nacional,Sim,Usados,105 900        EUR,8088787837,29 Maio 2023,,Sim,,,,,Sim,,,01/01/0001,,,,,,,
Profissional,Land Rover,Range Rover Sport,2.0 Si4 PHEV HSE,Híbrido (Gasolina),Agosto,2019,110 000 km,1 997 cm3,404 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,,,,36 Meses,,,,Usados,82 990        EUR,8089603190,1 Junho 2023,,Sim,Sim,,,,,,,,,,,,,,
Profissional,Porsche,Panamera,4S E-Hybrid,Híbrido (Gasolina),Outubro,2021,16 500 km,2 894 cm3,560 cv,,,Sim,Sedan,Preto,,Automática,,5,5,,,18 Meses,,,,Usados,140 000        EUR,8088985751,1 Junho 2023,,Sim,Sim,,,,,,,,,,,,,,
Profissional,Jaguar,F-Pace,2.0 P400e AWD R-Dynamic HSE,Híbrido (Gasolina),Fevereiro,2022,9 000 km,1 997 cm3,404 cv,,,Sim,SUV / TT,Azul,Metalizado,Automática,,5,5,,,24 Meses,,Nacional,Sim,Usados,94 990        EUR,8088178221,1 Junho 2023,,Sim,Sim,,,,Sim,,,01/02/2027,150 000 km,,,,,,
Profissional,VW,Passat,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Maio,2017,123 964 km,1 395 cm3,218 cv,,,Sim,Sedan,Preto,,Automática,,4,5,,40 g/km,36 Meses,,,,Usados,25 980        EUR,8089339083,1 Junho 2023,,,Sim,,,,,,,,,,,,,,
Profissional,Land Rover,Discovery Sport,1.5 I3 P300e R-Dynamic S AWD,Híbrido (Gasolina),Novembro,2022,3 000 km,1 498 cm3,309 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,,5,,Classe 1,,24 Meses,,Nacional,Sim,Usados,61 500        EUR,8088071352,1 Junho 2023,,Sim,Sim,,,,Sim,,,01/11/2025,,,,,,,
Particular,Mercedes-Benz,E 300,De AMG Line,Híbrido (Diesel),Dezembro,2019,45 000 km,1 950 cm3,306 cv,Sim,Sim,,Carrinha,Cinzento,Metalizado,Automática,9,5,5,Classe 1,44 g/km,,1,,Sim,Usados,51 500        EUR,8089035316,1 Junho 2023,Classe E,,Sim,Sim,Tracção traseira,,Sim,,,22/02/2025,,1 000 km,01/12/2025,,,,
