ID,Make,Model,Model Version,Price,Mileage,Gearbox,First Registration,Fuel Type,Power,Seller,Gears,Engine Size,Cylinders,Weight,Other Fuel Types,Fuel Consumption,CO2 Emissions,Emission Class,Site,Portugal
81a398a26d414d2a8ca9de2a554f186e,Lexus,GS 450h,GS 450 h Leder Navi Sitzbelüftung RFK ParkAss.,"€ 18,890.-","216,635 km",Automatic,02/2014,Electric/Gasoline,254 kW (345 hp),Dealer,1,"3,456 cc",6,"1,820 kg",Electricity,5.9 l/100 km (comb.),137 g/km (comb.),Euro 5,AutoScout24,No
833be2b096f54216bd8d1571d706307e,Volkswagen,Golf GTI,2.0 TFSI | 260 Pk | Stage 1+,"€ 4,444.-","214,759 km",Manual,08/2005,Gasoline,192 kW (261 hp),Dealer,6,"1,984 cc",4,"1,303 kg",,,,Euro 4,AutoScout24,No
ca9fc4914587452ca8b8fd337cb16ad8,Mercedes-Benz,CLA 45 AMG,4-Matic * Camera * LED * Pano * Garmin * Designo,"€ 33,995.-","85,449 km",Automatic,03/2017,Gasoline,280 kW (381 hp),Dealer,7,"1,991 cc",4,"1,585 kg",,6.9 l/100 km (comb.)9.2 l/100 km (city)5.6 l/100 km (country),162 g/km (comb.),Euro 6,AutoScout24,No
8c7e30aed8824028800e66eb29e0e983,BMW,2002,1802 Touring,"€ 14,950.-","15,017 km",Manual,08/1973,Gasoline,66 kW (90 hp),Dealer,,"1,766 cc",4,"1,000 kg",,,,Euro 1,AutoScout24,No
4f976d9082044ff999a7f523b803ac2d,Nissan,Qashqai,1.5 VC-T e-Power N-Connecta WP*Business,"€ 39,800.-1",0 km,Automatic,-,Electric/Gasoline,140 kW (190 hp),Dealer,,"1,500 cc",4,,Electricity,5.3 l/100 km (comb.),109 g/km (comb.),Euro 6d,AutoScout24,No
892177a7310a4788b074fef3b3d0e5eb,Audi,RS4,4.2 V8 QUATTRO LIMOUSINE 420 PK YOUNGTIMER,"€ 27,950.-","285,166 km",Manual,05/2006,Gasoline,309 kW (420 hp),Dealer,6,"4,163 cc",8,"1,719 kg",,13.5 l/100 km (comb.)20.7 l/100 km (city)9.4 l/100 km (country),324 g/km (comb.),Euro 4,AutoScout24,No
bb9ebe3e75e1483cb04b9f5c7f12e778,Mercedes-Benz,G 500,5.5 V8 Benzine Autom. - Lichte Vracht - Topstaat!,"€ 49,990.-1","173,786 km",Automatic,08/2010,Gasoline,285 kW (387 hp),Dealer,,"5,461 cc",8,,,,,Euro 4,AutoScout24,No
0c4c7f8d4cf94526851c341e10f74372,Volvo,V40,2.0 D4 Momentum Camera/Lmv/Cruise/Trekhaak,"€ 7,850.-","205,591 km",Manual,07/2014,Diesel,140 kW (190 hp),Dealer,6,"1,969 cc",4,"1,364 kg",,3.3 l/100 km (comb.)3.8 l/100 km (city)3 l/100 km (country),85 g/km (comb.),Euro 5,AutoScout24,No
4f9a2b921ed948a1bf79303fbecfea82,Skoda,Yeti,1.6 CR TDi schade zie foto's,"€ 6,700.-","169,000 km",Manual,01/2015,Diesel,77 kW (105 hp),Dealer,5,"1,598 cc",4,"1,410 kg",,,,Euro 5,AutoScout24,No
a491fcafb4dd4b5ba53067b3bee35ad9,Lynk & Co,01,"1.5 Luxury 262Pk Automaat (PANORAMADAK, APPLE CARP","€ 31,745.-1","27,249 km",Automatic,10/2021,Electric/Gasoline,192 kW (261 hp),Dealer,7,"1,477 cc",3,"1,854 kg",Electricity,1.2 l/100 km (comb.),39 g/km (comb.),Euro 6,AutoScout24,No
b7a99a0960c1429fa7af27fe2b0bbc4e,Chevrolet,Camaro,V8 2SS 2024 Final Call 3 J. Garantie RFK,"€ 72,890.-1",10 km,Automatic,-,Gasoline,333 kW (453 hp),Dealer,,"6,162 cc",,,,11.1 l/100 km (comb.)17 l/100 km (city)7.7 l/100 km (country),252 g/km (comb.),Euro 6,AutoScout24,No
