ID,Make,Model,Model Version,Price,Mileage,Gearbox,First Registration,Fuel Type,Power,Seller,Gears,Engine Size,Cylinders,Weight,Other Fuel Types,Fuel Consumption,CO2 Emissions,Emission Class,Site,Data,Portugal
c46fc0f24b14431bb1485cb9731247be,Audi,A3,Cabriolet 1.2 TFSI /NAVI/BIXENON/LEDER/1.HAND,"€ 12,990.-","98,000 km",Manual,03/2011,Gasoline,77 kW (105 hp),Dealer,,"1,197 cc",,,,5.7 l/100 km (comb.)7 l/100 km (city)5 l/100 km (country),135 g/km (comb.),,AutoScout24,2023-09-06 15:00:08.785730,No
6f01cf32a37d499e89870a93ce26a649,Hyundai,iX35,2.0 CRDi 135 kW Premium 4WD Automatik,"€ 11,450.-","128,000 km",Automatic,10/2011,Diesel,135 kW (184 hp),Dealer,,"1,995 cc",,,,7.2 l/100 km (comb.)9.1 l/100 km (city)6.1 l/100 km (country),189 g/km (comb.),Euro 5,AutoScout24,2023-09-06 15:00:12.255817,No
071d05d8f77c4cbe8ab218da40a746ac,Volkswagen,Golf,Golf VI 2.0 TSI GTI+19ZOLL+XENON+SHZ+WR+KLIMATRO,"€ 14,590.-","129,260 km",Manual,04/2012,Gasoline,155 kW (211 hp),Dealer,6,"1,984 cc",4,,,7.3 l/100 km (comb.)10 l/100 km (city)5.8 l/100 km (country),170 g/km (comb.),Euro 5,AutoScout24,2023-09-06 15:00:16.781987,No
6aa021bb4b0f414d87a17b86d60a3f07,Volvo,V40,D3 Xenon Navi Sheft SHZ Tempomat,"€ 13,999.-","116,000 km",Automatic,11/2014,Diesel,110 kW (150 hp),Dealer,,"1,969 cc",,,,4 l/100 km (comb.)4.6 l/100 km (city)3.7 l/100 km (country),104 g/km (comb.),Euro 6,AutoScout24,2023-09-06 15:00:21.389168,No
eb459d14fe7b4382922658fa8c787bb0,Citroen,C3,YOU! NEW!!,"€ 14,890.-1",6 km,Manual,08/2023,Gasoline,61 kW (83 hp),Dealer,5,"1,199 cc",,,,,,Euro 6,AutoScout24,2023-09-06 15:00:22.712241,No
7621e37e1d284cbc9f8adadb98d064f1,Hyundai,i40,2.0 Style *SITZHZ*PDC*BLUETOOTH*USB*AUX*,"€ 10,900.-","103,893 km",Manual,07/2012,Gasoline,130 kW (177 hp),Dealer,6,"1,999 cc",,,,,,Euro 5,AutoScout24,2023-09-06 15:00:27.203614,No
3acf8033f2254d46871c5adc9891d663,Kia,Ceed / cee'd,1.6 Alu 18 Rkam Tmat Tleder Navi,"€ 13,990.-","59,179 km",Manual,11/2017,Gasoline,150 kW (204 hp),Dealer,6,"1,591 cc",,"1,367 kg",,7.4 l/100 km (comb.)9.7 l/100 km (city)5.9 l/100 km (country),170 g/km (comb.),Euro 6,AutoScout24,2023-09-06 15:00:28.715935,No
4eeefb339abb48be9c9ed4bad64bd2f9,BMW,116,1.6i,"€ 14,400.-","85,138 km",Manual,08/2014,Gasoline,100 kW (136 hp),Dealer,6,"1,598 cc",4,"1,375 kg",,5.4 l/100 km (comb.)7 l/100 km (city)4.5 l/100 km (country),125 g/km (comb.),Euro 6,AutoScout24,2023-09-06 15:00:32.048914,No
8dd731aaa18d402c9a84de7f012297fd,Audi,A4,2.0 TDi  LIM.   110000 km  euro 6b,"€ 14,500.-","110,000 km",Manual,06/2015,Diesel,100 kW (136 hp),Dealer,6,"1,968 cc",4,"1,500 kg",,4.5 l/100 km (comb.)5.4 l/100 km (city)3.9 l/100 km (country),104 g/km (comb.),Euro 6,AutoScout24,2023-09-06 15:00:35.203013,No
9610d61c0f094bfcafb08fe2c1e1cd96,Hyundai,SANTA FE,2.0 CRDi 4WD - Euro 6b - NAVI - CAMERA - LEDER,"€ 12,500.-","141,000 km",Manual,04/2014,Diesel,110 kW (150 hp),Dealer,6,"1,995 cc",4,"1,843 kg",,6.4 l/100 km (comb.)8.4 l/100 km (city)5.2 l/100 km (country),168 g/km (comb.),Euro 6,AutoScout24,2023-09-06 15:00:37.725913,No
