ID;Make;Model;Model Version;Price;Mileage;Gearbox;First Registration;Fuel Type;Power;Seller;Gears;Engine Size;Cylinders;Weight;Other Fuel Types;Fuel Consumption;CO2 Emissions;Emission Class;Link;Data;Site;Portugal
4edb6d592dc745e7a2df4f466c1cc167;Audi;A3;S-LINE Sportpaket;€ 14,900.-;75,000 km;Manual;set/13;Gasoline;132 kW (179 hp);Dealer;;1,798 cc;;;;5.6 l/100 km (comb.)7 l/100 km (city)4.8 l/100 km (country);133 g/km (comb.);Euro 5;https://www.autoscout24.com/offers/audi-a3-s-line-sportpaket-gasoline-white-4edb6d59-2dc7-45e7-a2df-4f466c1cc167;28/01/2024;AutoScout24;No
31a0b65076c7435db591208517da0862;BMW;318;318d |SPORTLINE|SEHR GEPFLEGTER ZUSTAND|;€ 14,960.-;148,429 km;Manual;jun/14;Diesel;105 kW (143 hp);Dealer;6;1,995 cc;;1,485 kg;;4.6 l/100 km (comb.)6.5 l/100 km (city)4.3 l/100 km (country);117 g/km (comb.);;https://www.autoscout24.com/offers/bmw-318-318d-sportline-sehr-gepflegter-zustand-diesel-black-31a0b650-76c7-435d-b591-208517da0862;28/01/2024;AutoScout24;No
cdd97d94c6184227972fc7f04d25d674;BMW;116;116i Executive, M-Sport, Facelift, LED, NAP, Alcan;€ 14,750.-;115,979 km;Manual;mar/15;Gasoline;100 kW (136 hp);Dealer;6;1,598 cc;4;1,275 kg;;5.6 l/100 km (comb.)7.3 l/100 km (city)4.7 l/100 km (country);131 g/km (comb.);Euro 6;https://www.autoscout24.com/offers/bmw-116-116i-executive-m-sport-facelift-led-nap-alcan-gasoline-black-cdd97d94-c618-4227-972f-c7f04d25d674;28/01/2024;AutoScout24;No
78c7e67fa66640b6bfa53356e77df92e;Volkswagen;Golf;TSI 5-Deurs R-LINE Xenon Navi Clima Airco;€ 14,999.-;135,190 km;Manual;out/14;Gasoline;81 kW (110 hp);Dealer;6;1,197 cc;4;1,290 kg;;;;;https://www.autoscout24.com/offers/volkswagen-golf-tsi-5-deurs-r-line-xenon-navi-clima-airco-gasoline-red-78c7e67f-a666-40b6-bfa5-3356e77df92e;28/01/2024;AutoScout24;No
c5a2daeafb934312aac06ee23b19fde5;BMW;316;d **NAVI**XENON**PDC**Sitzheizung**;€ 13,990.-;139,800 km;Manual;mar/15;Diesel;85 kW (116 hp);Dealer;6;1,995 cc;4;1,495 kg;;4.5 l/100 km (comb.)5.5 l/100 km (city)3.9 l/100 km (country);119 g/km (comb.);Euro 5;https://www.autoscout24.com/offers/bmw-316-d-navi-xenon-pdc-sitzheizung-diesel-blue-c5a2daea-fb93-4312-aac0-6ee23b19fde5;28/01/2024;AutoScout24;No
91322d2a4f8a4dceaa945de2efde01d7;Kia;Ceed / cee'd;1.6 CRDi Spirit NAV+LED+SHZ+KAMERA+CARPLAY;€ 13,749.-;138,450 km;Manual;fev/19;Diesel;100 kW (136 hp);Dealer;6;1,598 cc;4;1,425 kg;;3.9 l/100 km (comb.)4.5 l/100 km (city)3.7 l/100 km (country);132 g/km (comb.);Euro 6d-TEMP;https://www.autoscout24.com/offers/kia-ceed-cee-d-1-6-crdi-spirit-nav-led-shz-kamera-carplay-diesel-silver-91322d2a-4f8a-4dce-aa94-5de2efde01d7;28/01/2024;AutoScout24;No
9a82e6fa71834dc1a95529b01c75ec15;BMW;320;Touring 320d xDrive High Executive;€ 14,950.-;149,582 km;Automatic;nov/14;Diesel;135 kW (184 hp);Dealer;8;1,995 cc;4;1,560 kg;;5.1 l/100 km (comb.)6.1 l/100 km (city)4.4 l/100 km (country);133 g/km (comb.);Euro 5;https://www.autoscout24.com/offers/bmw-320-touring-320d-xdrive-high-executive-diesel-grey-9a82e6fa-7183-4dc1-a955-29b01c75ec15;28/01/2024;AutoScout24;No
95311b2420344cc0bd23745d06d5d850;Nissan;Qashqai;1.5 dCi Tekna*T.PANO*NAVI*CAMERA*GARANTIE1AN*;€ 14,500.-;114,000 km;Manual;mai/18;Diesel;81 kW (110 hp);Dealer;6;1,461 cc;4;1,379 kg;;3.8 l/100 km (comb.)4.2 l/100 km (city)3.6 l/100 km (country);99 g/km (comb.);Euro 6;https://www.autoscout24.com/offers/nissan-qashqai-1-5-dci-tekna-t-pano-navi-camera-garantie1an-diesel-grey-95311b24-2034-4cc0-bd23-745d06d5d850;28/01/2024;AutoScout24;No
e03b76668ab84edb95b9f86f0afe981d;Volkswagen;Scirocco;1.4 TSI 122PK Carbon MAXTON Clima Airco;€ 8,999.-;130,376 km;Manual;jul/10;Gasoline;90 kW (122 hp);Dealer;6;1,390 cc;4;1,190 kg;;;;;https://www.autoscout24.com/offers/volkswagen-scirocco-1-4-tsi-122pk-carbon-maxton-clima-airco-gasoline-e03b7666-8ab8-4edb-95b9-f86f0afe981d;28/01/2024;AutoScout24;No
419e0d547f514172bd7ff72061e87694;Audi;A3;1.4 TSI 122PK Sportback Clima Airco CRUISE CONTROL;€ 8,999.-;132,415 km;Manual;ago/10;Gasoline;92 kW (125 hp);Dealer;6;1,390 cc;4;1,290 kg;;;;;https://www.autoscout24.com/offers/audi-a3-1-4-tsi-122pk-sportback-clima-airco-cruise-control-gasoline-black-419e0d54-7f51-4172-bd7f-f72061e87694;28/01/2024;AutoScout24;No
