ID,Make,Model,Model Version,Price,Mileage,Gearbox,First Registration,Fuel Type,Power,Seller,Gears,Engine Size,Cylinders,Weight,Other Fuel Types,Fuel Consumption,CO2 Emissions,Emission Class,Electric Range,Link,Data,Site,Portugal
d7f01e5d35064ab2bc567f36cba23a93,Audi,A3,Sportback Audi A3 Ambition Sportback 1.4 TFSI cyli,"€ 11,950.-","116,661 km",Manual,04/2014,Gasoline,103 kW (140 hp),Dealer,,"1,395 cc",,,,,112 g/km (comb.),Euro 6,,https://www.autoscout24.com/offers/audi-a3-sportback-audi-a3-ambition-sportback-1-4-tfsi-cyli-gasoline-blue-d7f01e5d-3506-4ab2-bc56-7f36cba23a93,2024-03-26,AutoScout24,No
a7375148e7e54b8bab2997ded0954c99,Audi,TT,1.8 TFSI Benzine - Airco - Topstaat! 1Ste Eig!,"€ 14,990.-","122,761 km",Manual,05/2014,Gasoline,118 kW (160 hp),Dealer,6,"1,798 cc",4,,,,149 g/km (comb.),Euro 5,,https://www.autoscout24.com/offers/audi-tt-1-8-tfsi-benzine-airco-topstaat-1ste-eig-gasoline-grey-a7375148-e7e5-4b8b-ab29-97ded0954c99,2024-03-26,AutoScout24,No
e21578c02fea4e86acff4cd12d6fe1bf,Audi,A4,"Avant S line plus,T.Leder,Navi,Xenon,SH,19""LM","€ 13,900.-","119,030 km",Manual,04/2014,Gasoline,125 kW (170 hp),Dealer,,"1,798 cc",,,,,,Euro 6,,https://www.autoscout24.com/offers/audi-a4-avant-s-line-plus-t-leder-navi-xenon-sh-19-lm-gasoline-blue-e21578c0-2fea-4e86-acff-4cd12d6fe1bf,2024-03-26,AutoScout24,No
3ca86e1a8c9d477ba61dec26258563fa,BMW,320,320d 184cv Business auto,"€ 13,900.-","135,000 km",Automatic,04/2015,Diesel,135 kW (184 hp),Dealer,8,"1,995 cc",4,"1,500 kg",,,124 g/km (comb.),Euro 5,,https://www.autoscout24.com/offers/bmw-320-320d-184cv-business-auto-diesel-black-3ca86e1a-8c9d-477b-a61d-ec26258563fa,2024-03-26,AutoScout24,No
e3c093b286914c79b03f65e0ffd700c5,Mercedes-Benz,A 180,*|PACK AMG*XENON*GPS*CUIR*GARANTIE*|,"€ 14,990.-","135,000 km",Manual,05/2016,Gasoline,90 kW (122 hp),Dealer,6,"1,595 cc",4,"1,360 kg",,,120 g/km (comb.),Euro 6,,https://www.autoscout24.com/offers/mercedes-benz-a-180-pack-amg-xenon-gps-cuir-garantie-gasoline-black-e3c093b2-8691-4c79-b03f-65e0ffd700c5,2024-03-26,AutoScout24,No
a0edfe9eafee424f9a7754e02e948555,Audi,A3,Sportback Amb. 2.0 TDI 2.Hd*Bi-Xen*Temp*PDC,"€ 14,590.-","120,000 km",Manual,06/2014,Diesel,110 kW (150 hp),Dealer,6,"1,968 cc",4,"1,385 kg",,,111 g/km (comb.),Euro 5,,https://www.autoscout24.com/offers/audi-a3-sportback-amb-2-0-tdi-2-hd-bi-xen-temp-pdc-diesel-black-a0edfe9e-afee-424f-9a77-54e02e948555,2024-03-26,AutoScout24,No
a43f5e778a0c407db1e2ba36df5a2086,Mercedes-Benz,A 180,✅️1AN GARANTIE✅️AMG PACK✅️TOIT OUVRANT ✅️ CONTROL,"€ 13,999.-","105,491 km",Manual,05/2014,Diesel,80 kW (109 hp),Dealer,6,"1,461 cc",4,"1,395 kg",,,98 g/km (comb.),,,https://www.autoscout24.com/offers/mercedes-benz-a-180-1an-garantieamg-packtoit-ouvrant--control-diesel-red-a43f5e77-8a0c-407d-b1e2-ba36df5a2086,2024-03-26,AutoScout24,No
42c8bf02933e458db0f7899995a8b6f4,BMW,120,"i Advantage SH,PDC,8-fach bereift","€ 12,200.-","127,575 km",Manual,12/2016,Gasoline,135 kW (184 hp),Dealer,,"1,998 cc",,,,,,Euro 6,,https://www.autoscout24.com/offers/bmw-120-i-advantage-sh-pdc-8-fach-bereift-gasoline-black-42c8bf02-933e-458d-b0f7-899995a8b6f4,2024-03-26,AutoScout24,No
4680aac4f7114adf90a9fd90705d0da2,BMW,118,118i Sportline 1HND CARNET BMW CARPASS,"€ 12,850.-1","119,000 km",Manual,05/2018,Gasoline,100 kW (136 hp),Dealer,6,"1,499 cc",3,"1,380 kg",,,116 g/km (comb.),Euro 6,,https://www.autoscout24.com/offers/bmw-118-118i-sportline-1hnd-carnet-bmw-carpass-gasoline-grey-4680aac4-f711-4adf-90a9-fd90705d0da2,2024-03-26,AutoScout24,No
dc5bfd91c8594e67b282059d6dc0585a,Mercedes-Benz,A 180,- W176 Benzina A 180 Sport my16,"€ 13,350.-","143,239 km",Manual,03/2018,Gasoline,90 kW (122 hp),Dealer,6,"1,595 cc",4,"1,295 kg",,,127 g/km (comb.),Euro 6,,https://www.autoscout24.com/offers/mercedes-benz-a-180-w176-benzina-a-180-sport-my16-gasoline-dc5bfd91-c859-4e67-b282-059d6dc0585a,2024-03-26,AutoScout24,No
