ID,Make,Model,Model Version,Price,Mileage,Gearbox,First Registration,Fuel Type,Power,Seller,Gears,Engine Size,Cylinders,Weight,Other Fuel Types,Fuel Consumption,CO2 Emissions,Emission Class,Electric Range,Electric Consumption,Link,Data,Site,Portugal
d7f01e5d35064ab2bc567f36cba23a93,Audi,A3,Sportback Audi A3 Ambition Sportback 1.4 TFSI cyli,"€ 11,950.-","116,661 km",Manual,04/2014,Gasoline,103 kW (140 hp),Dealer,,"1,395 cc",,,,4.8 l/100 km (comb.),112 g/km (comb.),Euro 6,,,https://www.autoscout24.com/offers/audi-a3-sportback-audi-a3-ambition-sportback-1-4-tfsi-cyli-gasoline-blue-d7f01e5d-3506-4ab2-bc56-7f36cba23a93,2024-03-27,AutoScout24,No
a7375148e7e54b8bab2997ded0954c99,Audi,TT,1.8 TFSI Benzine - Airco - Topstaat! 1Ste Eig!,"€ 14,990.-","122,761 km",Manual,05/2014,Gasoline,118 kW (160 hp),Dealer,6,"1,798 cc",4,,,,149 g/km (comb.),Euro 5,,,https://www.autoscout24.com/offers/audi-tt-1-8-tfsi-benzine-airco-topstaat-1ste-eig-gasoline-grey-a7375148-e7e5-4b8b-ab29-97ded0954c99,2024-03-27,AutoScout24,No
e21578c02fea4e86acff4cd12d6fe1bf,Audi,A4,"Avant S line plus,T.Leder,Navi,Xenon,SH,19""LM","€ 13,900.-","119,030 km",Manual,04/2014,Gasoline,125 kW (170 hp),Dealer,,"1,798 cc",,,,,,Euro 6,,,https://www.autoscout24.com/offers/audi-a4-avant-s-line-plus-t-leder-navi-xenon-sh-19-lm-gasoline-blue-e21578c0-2fea-4e86-acff-4cd12d6fe1bf,2024-03-27,AutoScout24,No
5ea2da1b60dd4a7d8abb6be7a4b89c09,BMW,X3,xDrive20d M-Sport AUTOMATICA GARANZIA EUROPEA,"€ 14,750.-","140,066 km",Automatic,04/2014,Diesel,135 kW (184 hp),Dealer,8,"1,995 cc",4,"1,790 kg",,5.6 l/100 km (comb.),149 g/km (comb.),Euro 5,,,https://www.autoscout24.com/offers/bmw-x3-xdrive20d-m-sport-automatica-garanzia-europea-diesel-black-5ea2da1b-60dd-4a7d-8abb-6be7a4b89c09,2024-03-27,AutoScout24,No
e3c093b286914c79b03f65e0ffd700c5,Mercedes-Benz,A 180,*|PACK AMG*XENON*GPS*CUIR*GARANTIE*|,"€ 14,990.-","135,000 km",Manual,05/2016,Gasoline,90 kW (122 hp),Dealer,6,"1,595 cc",4,"1,360 kg",,5.2 l/100 km (comb.),120 g/km (comb.),Euro 6,,,https://www.autoscout24.com/offers/mercedes-benz-a-180-pack-amg-xenon-gps-cuir-garantie-gasoline-black-e3c093b2-8691-4c79-b03f-65e0ffd700c5,2024-03-27,AutoScout24,No
0b5dba9535cc45f481b184313bc822eb,Audi,A3,1.6 TDi * GPS * CLIM AUTO * CRUISE * RADAR AR *,"€ 10,950.-","145,000 km",Manual,01/2015,Diesel,81 kW (110 hp),Dealer,6,"1,598 cc",4,"1,345 kg",,3.3 l/100 km (comb.),88 g/km (comb.),Euro 5,,,https://www.autoscout24.com/offers/audi-a3-1-6-tdi-gps-clim-auto-cruise-radar-ar-diesel-blue-0b5dba95-35cc-45f4-81b1-84313bc822eb,2024-03-27,AutoScout24,No
4680aac4f7114adf90a9fd90705d0da2,BMW,118,118i Sportline 1HND CARNET BMW CARPASS,"€ 12,850.-1","119,000 km",Manual,05/2018,Gasoline,100 kW (136 hp),Dealer,6,"1,499 cc",3,"1,380 kg",,5 l/100 km (comb.),116 g/km (comb.),Euro 6,,,https://www.autoscout24.com/offers/bmw-118-118i-sportline-1hnd-carnet-bmw-carpass-gasoline-grey-4680aac4-f711-4adf-90a9-fd90705d0da2,2024-03-27,AutoScout24,No
5bfb93525a10455aaede588884ad843c,Audi,A6,Avant 2.0 TDI 177 CV Business,"€ 14,890.-","105,000 km",Automatic,07/2014,Diesel,130 kW (177 hp),Dealer,6,"1,968 cc",4,"1,715 kg",,5 l/100 km (comb.),132 g/km (comb.),Euro 5,,,https://www.autoscout24.com/offers/audi-a6-avant-2-0-tdi-177-cv-business-diesel-grey-5bfb9352-5a10-455a-aede-588884ad843c,2024-03-27,AutoScout24,No
3ca86e1a8c9d477ba61dec26258563fa,BMW,320,320d 184cv Business auto,"€ 13,900.-","135,000 km",Automatic,04/2015,Diesel,135 kW (184 hp),Dealer,8,"1,995 cc",4,"1,500 kg",,4.7 l/100 km (comb.),124 g/km (comb.),Euro 5,,,https://www.autoscout24.com/offers/bmw-320-320d-184cv-business-auto-diesel-black-3ca86e1a-8c9d-477b-a61d-ec26258563fa,2024-03-27,AutoScout24,No
dc5bfd91c8594e67b282059d6dc0585a,Mercedes-Benz,A 180,- W176 Benzina A 180 Sport my16,"€ 13,350.-","143,239 km",Manual,03/2018,Gasoline,90 kW (122 hp),Dealer,6,"1,595 cc",4,"1,295 kg",,5.5 l/100 km (comb.),127 g/km (comb.),Euro 6,,,https://www.autoscout24.com/offers/mercedes-benz-a-180-w176-benzina-a-180-sport-my16-gasoline-dc5bfd91-c859-4e67-b282-059d6dc0585a,2024-03-27,AutoScout24,No
