Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Tipo de cor,Aceita retoma,Número de Mudanças,Classe do veículo,Emissões CO2,2º Chave,Consumo Extra Urbano,Bateria,Autonomia Máxima,IUC,Sub-modelo,Garantia de Fábrica até,Inspecção válida até,Filtro de partículas,ou até,Consumo Combinado,Autonomia,Consumo
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Dezembro,2018,193 584 km,1 499 cm3,130 cv,Sim,Sim,Sim,Sim,Carrinha,Cinzento,Manual,5,5,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Usados,12 990        EUR,8088297141,26 Junho 2023,,,,,,,,,,,,,,,,,,,
Particular,Audi,A4 Avant,2.0 TDI Business Line S-line,Diesel,Abril,2013,327 000 km,1 968 cm3,150 cv,,,,,Carrinha,Branco,Manual,5,,,,,,,,Usados,13 500        EUR,8089903361,25 Junho 2023,"5,40 l/100km",,,,,,,,,,,,,,,,,,
Particular,Audi,A5 Cabrio,2.0 TDi Multitronic S-line,Diesel,Dezembro,2015,58 500 km,1 968 cm3,190 cv,,,,,Cabrio,Branco,Manual,2,4,,,,,,,Usados,28 900        EUR,8088912258,23 Junho 2023,,Pérola,,,,,,,,,,,,,,,,,
Profissional,Renault,Captur,0.9 TCE Exclusive,Gasolina,Setembro,2019,51 186 km,898 cm3,90 cv,,,Sim,Sim,SUV / TT,Cinzento,Manual,5,5,Tracção dianteira,36 Meses,,,,,Usados,15 500        EUR,8089621811,26 Junho 2023,"6,30 l/100km",Metalizado,Sim,5,Classe 1,146 g/km,Sim,"4,80 l/100km",,,,,,,,,,,
Profissional,Tesla,Model 3,Long-Range Dual Motor AWD,Eléctrico,Novembro,2021,4 014 km,,351 cv,,,Sim,Sim,Sedan,Cinzento,Automática,4,5,,36 Meses,,Importado,,,Usados,49 900        EUR,8086893712,26 Junho 2023,,,Sim,,,,,,Própria,,,,,,,,,,
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Julho,2017,34 200 km,1 199 cm3,68 cv,,,,Sim,Citadino,Branco,Manual,5,5,Tracção dianteira,18 Meses,1,Nacional,,Sim,Usados,12 500        EUR,8089859636,26 Junho 2023,"5,70 l/100km",Mate,Sim,5,,109 g/km,Sim,"4,10 l/100km",,,,,,,,,,,
Particular,Smart,ForTwo,1.0 Passion 71,Gasolina,Janeiro,2015,106 000 km,999 cm3,71 cv,,,,,Coupé,Cinzento,Manual,3,2,Tracção traseira,,,,,,Usados,8 500        EUR,8089628592,26 Junho 2023,"4,90 l/100km",Mate,,5,Classe 1,93 g/km,,"3,70 l/100km",,133 000 km,108 €,,,,,,,,
Profissional,VW,Golf,2.0 TSI GTI DSG Performance,Gasolina,Setembro,2019,63 000 km,1 984 cm3,245 cv,Sim,,,Sim,Utilitário,Vermelho,Automática,5,5,Tracção dianteira,18 Meses,1,,Sim,Sim,Usados,34 950        EUR,8089636155,26 Junho 2023,"8,20 l/100km",Metalizado,Sim,7,,144 g/km,Sim,"5,20 l/100km",,,,,,,,,,,
Profissional,Peugeot,208,1.5 BlueHDi Signature,Diesel,Abril,2019,107 000 km,1 499 cm3,102 cv,Sim,,,Sim,Citadino,Cinzento,Manual,5,5,,18 Meses,,Nacional,Sim,Sim,Usados,13 990        EUR,8089642380,26 Junho 2023,,,Sim,6,Classe 1,,Sim,,,,,,,,,,,,
Profissional,BMW,520,d Line Luxury Auto,Diesel,Março,2018,98 000 km,1 995 cm3,190 cv,Sim,,,Sim,Carrinha,Cinzento,Automática,5,5,,18 Meses,,Nacional,Sim,Sim,Usados,31 990        EUR,8089642378,26 Junho 2023,,,Sim,,Classe 1,,Sim,,,,,Série 5,,,,,,,
Profissional,BMW,420 Gran Coupé,d Pack M Auto,Diesel,Agosto,2021,32 300 km,1 995 cm3,190 cv,Sim,,,,Sedan,Cinzento,Automática,5,5,,36 Meses,1,Nacional,,,Usados,49 900        EUR,8089912691,26 Junho 2023,,,Sim,,,,,,,,,Série 4,01/01/0001,,,,,,
Profissional,Jeep,Renegade,1.3 T Limited DCT,Gasolina,Março,2019,68 400 km,1 332 cm3,150 cv,Sim,,,Sim,SUV / TT,Cinzento,Automática,5,5,,18 Meses,1,Nacional,,,Usados,24 950        EUR,8089912690,26 Junho 2023,,,Sim,,,,,,,,,,,,,,,,
