Anunciante;Marca;Modelo;Versão;Combustível;Mês de Registo;Ano;Quilómetros;Cilindrada;Potência;Valor Fixo;Aceita retoma;Possibilidade de financiamento;Segmento;Cor;Tipo de cor;Tipo de Caixa;Número de Mudanças;Nº de portas;Lotação;Classe do veículo;Inspecção válida até;Garantia de Stand (incl. no preço);Registo(s);Origem;Livro de Revisões completo;Não fumador;2º Chave;Consumo Urbano;Condição;Preco;ID Anuncio;Data Anuncio;Sub-modelo;Filtro de partículas;Tracção;IUC;IVA Discriminado;IVA dedutível;Emissões CO2;Consumo Extra Urbano;Autonomia;Capacidade da bateria;Garantia de Fábrica até;ou até;Bateria;Consumo;Autonomia Máxima;Site
Profissional;Smart;ForFour;1.0 Passion 71;Gasolina;Abril;2019;29 705 km;999 cm3;71 cv;Sim;Sim;Sim;Citadino;Preto;Metalizado;Manual;5;5;4;Classe 1;30/04/2023;18 Meses;1;Nacional;Sim;Sim;Sim;4,80 l/100km;Usados;15 490        EUR;8088113655;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;BMW;118;d;Diesel;Dezembro;2009;185 000 km;1 995 cm3;143 cv;Sim;Sim;Sim;Utilitário;Branco;;Manual;6;3;4;;;18 Meses;;Importado;;;Sim;5,40 l/100km;Usados;16 999        EUR;8087012806;27/jun/23;Série 1;Sim;;;;;;;;;;;;;;StandVirtual
Particular;BMW;216 Gran Tourer;d 7L Line Luxury Auto;Diesel;Janeiro;2019;30 000 km;1 496 cm3;116 cv;Sim;;;Monovolume;Preto;Metalizado;Automática;6;5;7;Classe 1;;;;Nacional;Sim;Sim;Sim;;Usados;27 900        EUR;8089028477;26/jun/23;Série 2;;Tracção traseira;154 €;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;GLE 250;d;Diesel;Fevereiro;2016;159 567 km;2 143 cm3;204 cv;Sim;;Sim;SUV / TT;Preto;;Automática;;5;5;;;18 Meses;1;Nacional;Sim;Sim;;;Usados;44 490        EUR;8088015023;27/jun/23;Classe GLE;;;;Sim;Sim;;;;;;;;;;StandVirtual
Particular;BMW;118;d Pack M;Diesel;Agosto;2008;192 230 km;1 995 cm3;143 cv;;;;Utilitário;Branco;Mate;Manual;6;3;5;Classe 1;19/08/2023;;;Importado;;;;5,40 l/100km;Usados;11 950        EUR;8089839455;27/jun/23;Série 1;Sim;Tracção traseira;;;;115 g/km;3,80 l/100km;;;;;;;;StandVirtual
Particular;Tesla;Model S;100 kWh Long Range AWD;Eléctrico;Dezembro;2017;96 900 km;;560 cv;;;;Sedan;Cinzento;Metalizado;Automática;;5;5;;;;;;Sim;Sim;Sim;;Usados;52 000        EUR;8089462731;27/jun/23;;;;;;;;;473 km;473 kWh;;;;;;StandVirtual
Profissional;Peugeot;5008;1.5 BlueHDi GT Line J19 EAT8;Diesel;Janeiro;2020;48 000 km;1 499 cm3;130 cv;;Sim;Sim;SUV / TT;Preto;Metalizado;Automática;8;5;7;;;18 Meses;1;Nacional;Sim;Sim;Sim;4,40 l/100km;Usados;33 900        EUR;8089852896;27/jun/23;;;Tracção dianteira;;;;105 g/km;3,90 l/100km;;;;;;;;StandVirtual
Profissional;VW;New Beetle;1.9 TDi;Diesel;Dezembro;2002;250 000 km;1 896 cm3;100 cv;;;;Utilitário;Azul;;Manual;;3;;;;36 Meses;;;;;;6,80 l/100km;Usados;3 999        EUR;8089916092;27/jun/23;;;;;;;;;;;;;;;;StandVirtual
Profissional;Mercedes-Benz;A 200;AMG Line Aut.;Gasolina;Julho;2019;99 000 km;1 332 cm3;163 cv;Sim;Sim;Sim;Citadino;Cinzento;Metalizado;Automática;;5;5;;;36 Meses;;;Sim;Sim;Sim;;Usados;33 990        EUR;8089638489;27/jun/23;Classe A;Sim;;;;;;;;;01/01/0001;;;;;StandVirtual
Profissional;Nissan;Qashqai;1.5 dCi N-Connecta 18;Diesel;Fevereiro;2018;183 000 km;1 461 cm3;110 cv;Sim;Sim;Sim;SUV / TT;Preto;Metalizado;Manual;6;5;5;Classe 1;;18 Meses;1;Nacional;Sim;;Sim;4,20 l/100km;Usados;19 750        EUR;8089759361;27/jun/23;;;Tracção dianteira;;Sim;;99 g/km;3,60 l/100km;;;;;;;;StandVirtual
Profissional;Peugeot;3008;1.5 BlueHDi GT Line J19 EAT8;Diesel;Novembro;2018;120 000 km;1 499 cm3;130 cv;;Sim;Sim;SUV / TT;Branco;;Automática;;5;5;;;36 Meses;;;Sim;Sim;Sim;;Usados;27 990        EUR;8089103697;27/jun/23;;Sim;;;;;;;;;01/01/0001;;;;;StandVirtual
