Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Filtro de partículas,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Valor Fixo,IVA Discriminado,Consumo Extra Urbano,Inspecção válida até,Consumo Combinado,IVA dedutível,Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Clássico,Site,Portugal
Profissional,MINI,Cooper,D,Diesel,Junho,2014,135 000 km,1 496 cm3,116 cv,Sim,Sim,Utilitário,Bege,Metalizado,Manual,6,3,4,Classe 1,Tracção dianteira,95 g/km,147 €,Sim,18 Meses,1,Nacional,Sim,Sim,Sim,"4,40 l/100km",Usados,13 950        EUR,8089444788,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,,Gasolina,Junho,2019,62 387 km,898 cm3,90 cv,,,Utilitário,Prateado,,Manual,5,5,5,,,132 g/km,,,18 Meses,,,,,,,Usados,13 750        EUR,8089780218,4 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Hyundai,i20,,Diesel,Junho,2018,60 000 km,1 120 cm3,75 cv,Sim,Sim,Utilitário,Branco,Metalizado,Manual,6,5,5,Classe 1,,,,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,14 900        EUR,8087511306,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.0 Hybrid Lounge,Gasolina,Abril,2020,58 000 km,999 cm3,70 cv,Sim,Sim,Citadino,Branco,Metalizado,Manual,,3,5,,,,,,18 Meses,,Nacional,Sim,Sim,Sim,,Usados,13 400        EUR,8089139476,5 Julho 2023,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Chevrolet,Aveo,1.3 VCDi LT,Diesel,Junho,2012,133 250 km,1 248 cm3,95 cv,Sim,Sim,Citadino,Azul,Metalizado,Manual,,5,5,,,,,,18 Meses,,Importado,,,Sim,,Usados,8 500        EUR,8087568724,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Suzuki,Swift,1.3 DDiS GLX,Diesel,Dezembro,2013,139 799 km,1 248 cm3,75 cv,Sim,Sim,Citadino,Branco,Metalizado,Manual,,5,5,,,109 g/km,,Sim,18 Meses,,Importado,,,Sim,,Usados,11 250        EUR,8084403679,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,208,1.6 BlueHDi Allure,Diesel,Maio,2015,106 000 km,1 560 cm3,100 cv,,,Utilitário,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,90 g/km,"154,12 €",,,,Nacional,,Sim,Sim,"3,80 l/100km",Usados,11 550        EUR,8089628626,5 Julho 2023,,,"3,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,1.6 BlueHDi Shine,Diesel,Setembro,2015,159 000 km,1 560 cm3,100 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,Classe 1,,,,,18 Meses,,Nacional,,Sim,Sim,,Usados,12 450        EUR,8089924339,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Scénic,1.5 dCi Luxe,Diesel,Abril,2013,246 231 km,1 461 cm3,110 cv,Sim,Sim,Monovolume,Branco,Metalizado,Manual,,5,5,,,,,,18 Meses,,,,Sim,,"5,80 l/100km",Usados,9 600        EUR,8089314507,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,1.3 CDTi Cosmo,Diesel,Janeiro,2012,178 430 km,1 248 cm3,95 cv,Sim,,Citadino,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,95 g/km,,,18 Meses,,,Sim,Sim,Sim,"4,60 l/100km",Usados,6 400        EUR,8089747987,5 Julho 2023,Sim,,"3,20 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Junho,2014,90 000 km,898 cm3,90 cv,Sim,Sim,SUV / TT,Vermelho,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,18 Meses,,,Sim,Sim,Sim,"4,60 l/100km",Usados,9 900        EUR,8086817994,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,MINI,One,D,Diesel,Fevereiro,2013,162 808 km,1 598 cm3,90 cv,Sim,Sim,Citadino,Castanho,Metalizado,Manual,6,3,4,Classe 1,,,,,18 Meses,,Importado,,,Sim,,Usados,12 500        EUR,8089036068,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Toyota,Yaris,1.5 HSD Comfort +P.Style+P.Techno,Híbrido (Gasolina),Dezembro,2014,101 838 km,1 497 cm3,101 cv,,,Utilitário,Cinzento,,Automática,,5,5,,Tracção dianteira,75 g/km,,,,,Nacional,,,,"3,10 l/100km",Usados,10 000        EUR,8089903721,5 Julho 2023,,,"3,30 l/100km",,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Volvo,V40,1.6 D2 R-Design,Diesel,Outubro,2013,149 232 km,1 560 cm3,115 cv,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,Sim,24 Meses,1,Importado,,Sim,Sim,,Usados,14 900        EUR,8089924233,5 Julho 2023,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Mitsubishi,Outlander,2.2 DI-D Intense,Diesel,Novembro,2010,269 000 km,2 268 cm3,177 cv,Sim,Sim,SUV / TT,Cinzento,Metalizado,Manual,6,5,7,Classe 1,,159 g/km,,,18 Meses,1,Nacional,Sim,Sim,Sim,"7,30 l/100km",Usados,9 750        EUR,8089286345,5 Julho 2023,,,,,,,,,,,,,,,,,StandVirtual,Yes
