Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Inspecção válida até,Registo(s),Origem,Não fumador,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Aceita retoma,Possibilidade de financiamento,Garantia de Stand (incl. no preço),Classe do veículo,Livro de Revisões completo,2º Chave,IVA Discriminado,IVA dedutível,Autonomia Máxima,Consumo Combinado,Autonomia,Capacidade da bateria,Bateria,IUC,Filtro de partículas,Clássico,Sub-modelo,Garantia de Fábrica até,ou até,Consumo,Valor sem ISV,Site,Portugal
Particular,Peugeot,108,1.0 VTi Allure,Gasolina,Agosto,2019,20 100 km,998 cm3,72 cv,Sim,Citadino,Azul,Metalizado,Manual,5,5,4,Tracção dianteira,86 g/km,23/08/2023,1,Importado,Sim,"4,90 l/100km","3,60 l/100km",Usados,11 500        EUR,8089776714,11 Julho 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500X,1.3 MJ Lounge S&S,Diesel,Novembro,2015,81 000 km,1 248 cm3,95 cv,Sim,SUV / TT,Castanho,Metalizado,Manual,5,5,5,Tracção dianteira,105 g/km,,,Nacional,,"4,50 l/100km","3,70 l/100km",Usados,14 950        EUR,8089859755,3 Julho 2023,Sim,Sim,18 Meses,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Dynamique,Diesel,Maio,2010,131 022 km,1 461 cm3,85 cv,,Citadino,Preto,Metalizado,Manual,5,5,5,Tracção dianteira,,31/05/2024,,Nacional,Sim,,,Usados,7 800        EUR,8089994647,7 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500C,1.2 Lounge,Gasolina,Julho,2018,31 441 km,1 242 cm3,69 cv,Sim,Cabrio,Branco,,Manual,,2,4,Tracção dianteira,,,1,Nacional,Sim,,,Usados,13 990        EUR,8087740789,13 Julho 2023,,Sim,18 Meses,,Sim,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,107,1.0 Active,Gasolina,Maio,2012,115 000 km,998 cm3,68 cv,,Citadino,Azul,Metalizado,Manual,5,3,4,Tracção dianteira,,,,Importado,Sim,"5,10 l/100km",,Usados,6 550        EUR,8089737308,13 Julho 2023,,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C1,1.0 SX Airdream,Gasolina,Fevereiro,2011,110 000 km,998 cm3,68 cv,,Citadino,Branco,Metalizado,Manual,5,3,4,Tracção dianteira,,,,Importado,Sim,"5,40 l/100km",,Usados,5 850        EUR,8089737470,13 Julho 2023,,Sim,18 Meses,Classe 1,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Mégane Sport Tourer,1.5 dCi GT Line EDC,Diesel,Março,2014,144 000 km,1 461 cm3,110 cv,Sim,Carrinha,Cinzento,,Automática,6,5,5,Tracção dianteira,95 g/km,19/03/2024,,Nacional,Sim,4 l/100km,"3,50 l/100km",Usados,12 000        EUR,8089948929,13 Julho 2023,,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,DS3,1.6 HDi Airdream So Chic,Diesel,Outubro,2010,216 000 km,1 560 cm3,92 cv,,Citadino,Branco,Metalizado,Manual,5,3,5,Tracção dianteira,104 g/km,,1,Nacional,Sim,5 l/100km,3 l/100km,Usados,7 790        EUR,8089661437,13 Julho 2023,Sim,Sim,18 Meses,Classe 1,Sim,Sim,,,1 250 km,4 l/100km,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Zen,Eléctrico,Novembro,2018,26 000 km,,88 cv,Sim,Citadino,Roxo,,Automática,,5,5,Tracção dianteira,,,,Importado,,,,Usados,12 990        EUR,8089989287,13 Julho 2023,Sim,Sim,18 Meses,,,Sim,,,,,300 km,40 kWh,Aluguer,,,,,,,,,StandVirtual,Yes
Particular,Opel,Corsa,1.3 CDTI Active,Diesel,Julho,2015,155 492 km,1 248 cm3,75 cv,,Utilitário,Branco,Metalizado,Manual,5,3,2,Tracção dianteira,100 g/km,,1,Nacional,,"4,40 l/100km","3,40 l/100km",Usados,8 500        EUR,8089947910,13 Julho 2023,,,,Classe 1,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes
