Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Autonomia,Capacidade da bateria,Bateria,Lotação,Origem,IVA Discriminado,IVA dedutível,Número de Mudanças,Emissões CO2,IUC,Inspecção válida até,Registo(s),Consumo Extra Urbano,Consumo Combinado,Autonomia Máxima,Filtro de partículas,Clássico,Sub-modelo,ou até,Garantia de Fábrica até,Consumo,Site,Portugal
Profissional,Smart,ForFour,1.0 Proxy 71,Gasolina,Setembro,2018,31 587 km,999 cm3,71 cv,Sim,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,Classe 1,Tracção traseira,18 Meses,Sim,Sim,Sim,"5,90 l/100km",Usados,12 900        EUR,8090192224,1 Agosto 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Zoe,Intens,Eléctrico,Dezembro,2018,53 000 km,,88 cv,Sim,Sim,Sim,Citadino,Roxo,,Automática,5,,Tracção dianteira,18 Meses,,,Sim,,Usados,12 990        EUR,8090046474,3 Agosto 2023,300 km,40 kWh,Aluguer,5,Importado,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.5 BlueHDi Active,Diesel,Novembro,2018,125 180 km,1 499 cm3,102 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,Classe 1,,18 Meses,Sim,Sim,Sim,"4,30 l/100km",Usados,13 990        EUR,8089342045,3 Agosto 2023,,,,5,Nacional,Sim,Sim,6,97 g/km,"154,12 €",21/11/2024,1,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,,Diesel,Janeiro,2015,147 000 km,1 461 cm3,90 cv,,Sim,Sim,Citadino,Vermelho,,Manual,5,Classe 1,,18 Meses,,Sim,Sim,,Usados,11 990        EUR,8090010123,3 Agosto 2023,,,,5,,,,5,,,01/01/2024,,,,,,,,,,,StandVirtual,Yes
Profissional,Kia,Rio,1.2 CVVT EX ISG,Gasolina,Dezembro,2018,62 064 km,1 248 cm3,85 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,5,,,36 Meses,,,,,Usados,14 890        EUR,8090087614,3 Agosto 2023,,,,5,Nacional,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.0 Reference,Gasolina,Junho,2017,66 280 km,999 cm3,75 cv,Sim,Sim,Sim,Utilitário,Cinzento,,Manual,5,,,36 Meses,,,,"5,80 l/100km",Usados,12 990        EUR,8090087621,3 Agosto 2023,,,,5,Nacional,,,,108 g/km,,,,"4,20 l/100km","4,80 l/100km",,,,,,,,StandVirtual,Yes
Profissional,Smart,ForFour,Electric drive,Eléctrico,Julho,2018,38 000 km,,82 cv,Sim,Sim,Sim,Citadino,Vermelho,Metalizado,Automática,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,,Usados,13 980        EUR,8088850284,3 Agosto 2023,140 km,,Própria,4,,Sim,Sim,,,,,,,,140 km,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,SC 1.6 TDi FR 30 Anos,Diesel,Dezembro,2014,145 000 km,1 598 cm3,90 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,3,,,18 Meses,,,Sim,,Usados,12 500        EUR,8089475649,3 Agosto 2023,,,,5,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 Proxy 71,Gasolina,Novembro,2014,144 000 km,999 cm3,71 cv,,Sim,Sim,Citadino,Branco,,Manual,3,,,18 Meses,,,,,Usados,9 950        EUR,8090093466,3 Agosto 2023,,,,2,Nacional,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,108,1.0 VTi Allure,Gasolina,Fevereiro,2015,110 000 km,998 cm3,69 cv,,Sim,Sim,Citadino,Branco,,Manual,5,,,18 Meses,Sim,Sim,Sim,,Usados,9 950        EUR,8090093407,3 Agosto 2023,,,,4,Nacional,,,,,,20/02/2024,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,1.5 dCi Limited EDition,Diesel,Julho,2018,115 000 km,1 461 cm3,90 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,,,18 Meses,Sim,Sim,Sim,,Usados,15 000        EUR,8088284056,3 Agosto 2023,,,,5,,,Sim,,,,15/07/2024,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.4 TDi Lounge,Diesel,Dezembro,2015,134 000 km,1 422 cm3,75 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,,,18 Meses,Sim,Sim,Sim,,Usados,12 950        EUR,8088082221,3 Agosto 2023,,,,5,,,Sim,,,,10/12/2024,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.5 BlueHDi Signature,Diesel,Janeiro,2020,162 000 km,1 499 cm3,102 cv,,Sim,Sim,Utilitário,Cinzento,,Manual,5,,,18 Meses,,,Sim,,Usados,14 980        EUR,8088574224,3 Agosto 2023,,,,5,Importado,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Scirocco,2.0 TDI DSG Edition,Diesel,Março,2012,198 000 km,1 968 cm3,140 cv,,,Sim,Citadino,Branco,Metalizado,Automática,3,,,36 Meses,Sim,Sim,Sim,"7,10 l/100km",Usados,14 450        EUR,8090150910,3 Agosto 2023,,,,4,,,,6,,,,,,,,Sim,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure,Diesel,Setembro,2015,206 000 km,1 560 cm3,120 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,5,Classe 1,,18 Meses,Sim,Sim,Sim,,Usados,12 750        EUR,8089039843,3 Agosto 2023,,,,5,,,,6,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,1.2 Enjoy,Gasolina,Agosto,2010,153 699 km,1 229 cm3,85 cv,,Sim,Sim,Citadino,Preto,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,8 590        EUR,8088327806,3 Agosto 2023,,,,5,Nacional,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 Passion 71,Gasolina,Janeiro,2015,61 565 km,999 cm3,71 cv,,Sim,Sim,Pequeno citadino,Branco,Metalizado,Manual,3,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,10 550        EUR,8088438225,3 Agosto 2023,,,,2,Nacional,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,B-Max,1.0 EcoBoost Titanium,Gasolina,Fevereiro,2017,84 200 km,998 cm3,100 cv,,Sim,Sim,Monovolume,Castanho,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,,,Sim,,Usados,14 290        EUR,8088429972,3 Agosto 2023,,,,5,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,SC 1.2 TSi Style,Gasolina,Novembro,2013,110 702 km,1 197 cm3,105 cv,,Sim,Sim,Citadino,Branco,,Manual,3,,,18 Meses,Sim,Sim,Sim,,Usados,10 390        EUR,8088772573,3 Agosto 2023,,,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,C4 Cactus,,Diesel,Novembro,2014,135 641 km,1 560 cm3,92 cv,,Sim,Sim,SUV / TT,Cinzento,Metalizado,Automática,5,Classe 1,Tracção dianteira,18 Meses,Sim,,Sim,,Usados,13 890        EUR,8088677555,3 Agosto 2023,,,,5,Nacional,,,6,92 g/km,,,,,,,Sim,,,,,,StandVirtual,Yes
Profissional,Smart,ForTwo,1.0 mhd Passion 71,Gasolina,Agosto,2013,91 206 km,999 cm3,71 cv,,Sim,Sim,Pequeno citadino,Branco,Metalizado,Automática,3,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,9 350        EUR,8089353497,3 Agosto 2023,,,,2,Nacional,,,,99 g/km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,KA,1.2 Titanium X,Gasolina,Julho,2015,121 749 km,1 242 cm3,69 cv,,Sim,Sim,Pequeno citadino,Vermelho,,Manual,3,Classe 1,Tracção dianteira,18 Meses,,,Sim,,Usados,8 690        EUR,8088772592,3 Agosto 2023,,,,4,,,,5,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Março,2016,138 456 km,1 199 cm3,110 cv,,Sim,Sim,Utilitário,Branco,Pérola,Manual,3,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,13 690        EUR,8087935615,3 Agosto 2023,,,,5,Nacional,,,5,99 g/km,"108,32 €",,,,,,,,,,,,StandVirtual,Yes
Profissional,SEAT,Ibiza,1.2 12V Style,Gasolina,Fevereiro,2014,110 648 km,1 198 cm3,70 cv,,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,Classe 1,Tracção dianteira,18 Meses,,Sim,Sim,,Usados,10 290        EUR,8088214403,3 Agosto 2023,,,,5,,,,5,125 g/km,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Polo,1.2 TSi Lounge,Gasolina,Maio,2015,125 842 km,1 197 cm3,90 cv,,Sim,Sim,Citadino,Preto,,Manual,5,,,18 Meses,,,Sim,,Usados,12 990        EUR,8088534452,3 Agosto 2023,,,,5,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Honda,Civic,1.8 ES,Gasolina,Fevereiro,2010,105 000 km,1 799 cm3,140 cv,Sim,Sim,Sim,Sedan,Azul,,Manual,4,Classe 1,Tracção dianteira,36 Meses,Sim,,,"8,70 l/100km",Usados,8 990        EUR,8090150862,3 Agosto 2023,,,,5,Nacional,,,6,,,,1,,,,,,,,,,StandVirtual,Yes
Particular,Renault,Mégane Sport Tourer,1.5 dCi Dynamique SS,Diesel,Abril,2014,199 500 km,1 461 cm3,110 cv,Sim,,,Carrinha,Preto,,Manual,5,,,,Sim,,Sim,,Usados,7 650        EUR,8090087612,3 Agosto 2023,,,,5,Importado,,,6,,,30/04/2024,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.0 EcoBoost Titanium,Gasolina,Julho,2017,69 472 km,998 cm3,100 cv,Sim,Sim,Sim,Utilitário,Branco,,Manual,5,,,18 Meses,,,,"5,40 l/100km",Usados,13 490        EUR,8090221567,3 Agosto 2023,,,,,Nacional,,,,97 g/km,,,,"3,60 l/100km","4,30 l/100km",,,,,,,,StandVirtual,Yes
Profissional,Citroën,C3,1.2 PureTech Feel,Gasolina,Janeiro,2018,145 000 km,1 199 cm3,82 cv,,,Sim,Citadino,Branco,Metalizado,Manual,5,,,18 Meses,Sim,,Sim,"5,80 l/100km",Usados,12 750        EUR,8090150771,3 Agosto 2023,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
