Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,IUC,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Inspecção válida até,Autonomia Máxima,Garantia de Fábrica até,ou até,IVA Discriminado,Filtro de partículas,Sub-modelo,Autonomia,Consumo,Bateria,Consumo Combinado,Gancho de Reboque,Clássico,Capacidade da bateria,Site,Portugal
Profissional,Citroën,C4 Cactus,1.2 PureTech Live,Gasolina,Dezembro,2015,124 636 km,1 199 cm3,82 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,107 g/km,108 €,18 Meses,1,Nacional,Sim,Sim,Sim,"5,60 l/100km",4 l/100km,Usados,12 550        EUR,8089791321,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Janeiro,2014,228 000 km,1 598 cm3,90 cv,Sim,Sim,Sim,Carrinha,Azul,,Manual,,5,5,,Tracção dianteira,,,18 Meses,,Nacional,,,Sim,,,Usados,10 950        EUR,8089440575,20 Agosto 2023,01/01/2024,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Jaguar,XF,2.7 D V6 Premium Luxury,Diesel,Março,2010,186 000 km,2 720 cm3,207 cv,,,,Sedan,Cinzento,,Automática,6,4,5,Classe 1,Tracção traseira,199 g/km,,,,Nacional,Sim,Sim,Sim,"10,40 l/100km","5,80 l/100km",Usados,12 590        EUR,8089998471,18 Agosto 2023,02/03/2024,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,1.4 TDCi Trend,Diesel,Março,2010,149 239 km,1 399 cm3,68 cv,Sim,Sim,Sim,Citadino,Azul,Metalizado,Manual,,5,5,,,,,18 Meses,,,,,,,,Usados,7 649        EUR,8090080938,19 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Audi,A3 Sportback,1.6 TDI Attraction,Diesel,Fevereiro,2011,227 500 km,1 598 cm3,105 cv,Sim,Sim,Sim,Utilitário,Preto,Metalizado,Manual,6,5,5,,Tracção dianteira,99 g/km,,36 Meses,,,,,,"4,60 l/100km","3,30 l/100km",Usados,13 400        EUR,8090309212,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,1.2 Lounge S&S,Gasolina,Junho,2019,58 600 km,1 242 cm3,69 cv,Sim,,Sim,Citadino,Branco,Metalizado,Manual,5,3,4,,Tracção dianteira,99 g/km,,36 Meses,,,,,,"6,20 l/100km","4,20 l/100km",Usados,13 900        EUR,8090309379,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Peugeot,2008,,Gasolina,Setembro,2015,89 300 km,1 199 cm3,82 cv,,,,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,114 g/km,,,,Importado,Sim,Sim,Sim,6 l/100km,"4,30 l/100km",Usados,10 750        EUR,8089814778,20 Agosto 2023,11/09/2023,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,3008,1.6 BlueHDi Allure,Diesel,Dezembro,2016,105 000 km,1 560 cm3,120 cv,,,,SUV / TT,Dourado,,Manual,6,5,,,Tracção dianteira,104 g/km,,18 Meses,,Importado,Sim,Sim,Sim,"4,70 l/100km","3,50 l/100km",Usados,13 950        EUR,8090229785,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Kia,Rio,1.0 T-GDI TX,Gasolina,Maio,2017,90 500 km,998 cm3,100 cv,,,,Utilitário,Branco,Mate,Manual,5,5,5,Classe 1,Tracção dianteira,138 g/km,105 €,,1,Nacional,Sim,,Sim,"5,90 l/100km","4,60 l/100km",Usados,12 500        EUR,8090152655,20 Agosto 2023,,740 km,30/05/2024,100 000 km,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Micra,1.0 IG-T N-Connecta,Gasolina,Maio,2019,151 000 km,999 cm3,100 cv,Sim,Sim,Sim,Citadino,Cinzento,,Manual,,5,5,Classe 1,,,,18 Meses,,Nacional,Sim,,Sim,,,Usados,13 990        EUR,8089948035,20 Agosto 2023,,,,,,,,,,,,,,,StandVirtual,Yes
