Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Versão,Possibilidade de financiamento,Tipo de cor,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Não fumador,2º Chave,Consumo Urbano,Registo(s),Consumo Extra Urbano,Valor Fixo,Aceita retoma,IUC,Livro de Revisões completo,Sub-modelo,IVA Discriminado,Autonomia Máxima,Garantia de Fábrica até,ou até,Autonomia,Consumo,Bateria,Consumo Combinado,Capacidade da bateria,Site,Portugal
Profissional,Kia,Picanto,Gasolina,Maio,2022,15 000 km,998 cm3,67 cv,Citadino,Preto,Manual,36 Meses,Usados,14 750        EUR,8089980671,11 Setembro 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Scénic,Diesel,Setembro,2017,153 200 km,1 461 cm3,106 cv,SUV / TT,Branco,Manual,18 Meses,Usados,14 000        EUR,8089277616,3 Setembro 2023,dCi 110 FAP Dynamique,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,100 g/km,Sim,01/09/2023,Importado,Sim,Sim,"6,10 l/100km",,,,,,,,,,,,,,,,,StandVirtual,Yes
Particular,Honda,Jazz,Gasolina,Setembro,2013,148 000 km,1 339 cm3,100 cv,Utilitário,Cinzento,Manual,,Usados,8 400        EUR,8090176460,10 Setembro 2023,1.4 i-VTEC Trend,,Mate,5,5,5,Classe 1,Tracção dianteira,126 g/km,,30/09/2023,Nacional,Sim,Sim,"6,60 l/100km",1,"4,80 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,Diesel,Setembro,2017,198 583 km,1 499 cm3,120 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,12 189        EUR,8090535971,11 Setembro 2023,1.5 TDCi Trend+,Sim,Metalizado,,5,5,,,,,,,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,Diesel,Agosto,2018,125 882 km,1 560 cm3,100 cv,Citadino,Preto,Manual,18 Meses,Usados,12 980        EUR,8088036330,11 Setembro 2023,1.6 BlueHDi Style,Sim,Metalizado,,5,5,Classe 1,Tracção dianteira,,Sim,,,Sim,Sim,,1,,Sim,Sim,"154,12 €",Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,508,Diesel,Janeiro,2013,218 000 km,1 560 cm3,115 cv,Carrinha,Preto,Automática,18 Meses,Usados,9 950        EUR,8090297344,11 Setembro 2023,1.6 HDi-e Allure 2-Tronic,Sim,Metalizado,,4,5,Classe 1,,,,,Importado,Sim,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Particular,BMW,120,Diesel,Fevereiro,2015,305 000 km,1 995 cm3,184 cv,Sedan,Preto,Manual,,Usados,14 990        EUR,8089075760,11 Setembro 2023,d Sport Line,,Metalizado,6,5,5,Classe 1,Tracção traseira,,,20/03/2024,Nacional,Sim,Sim,,2,,,,,,Série 1,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Golf Cabriolet,Diesel,Agosto,2011,113 000 km,1 598 cm3,105 cv,Cabrio,Preto,Manual,18 Meses,Usados,14 950        EUR,8087061396,11 Setembro 2023,1.6 TDi BlueMotion,Sim,,5,2,4,Classe 1,Tracção dianteira,,Sim,,Nacional,,,,,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Punto,Gasolina,Setembro,2017,124 000 km,1 242 cm3,69 cv,Citadino,Branco,Manual,36 Meses,Usados,8 750        EUR,8090584518,11 Setembro 2023,1.2 Lounge Start&Stop,Sim,,5,5,5,,Tracção dianteira,119 g/km,,,,,,"6,60 l/100km",,"4,30 l/100km",Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Nissan,Pulsar,Diesel,Junho,2016,95 800 km,1 461 cm3,110 cv,Utilitário,Branco,Manual,18 Meses,Usados,13 900        EUR,8090412380,11 Setembro 2023,1.5 dCi Acenta,Sim,Metalizado,,5,5,,,94 g/km,Sim,,Nacional,,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Aygo,Gasolina,Setembro,2017,75 727 km,998 cm3,69 cv,Pequeno citadino,Branco,Manual,18 Meses,Usados,11 370        EUR,8088035940,11 Setembro 2023,1.0 X-Play+AC+X-Touch,Sim,,5,3,4,Classe 1,,,,,Importado,,Sim,,1,,Sim,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,VW,Up!,Gasolina,Abril,2016,62 000 km,999 cm3,60 cv,Citadino,Branco,Automática,18 Meses,Usados,12 900        EUR,8090493787,11 Setembro 2023,1.0 BlueMotion Move Auto,,,5,3,4,Classe 1,Tracção dianteira,93 g/km,,30/04/2024,Nacional,Sim,Sim,"4,60 l/100km",1,"3,70 l/100km",,,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Citroën,DS3,Gasolina,Julho,2010,161 129 km,1 598 cm3,155 cv,Citadino,Branco,Manual,18 Meses,Usados,8 900        EUR,8089302258,11 Setembro 2023,,Sim,Metalizado,6,3,5,Classe 1,Tracção dianteira,,,,Importado,Sim,Sim,,,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Gasolina,Junho,2017,33 619 km,898 cm3,90 cv,Citadino,Cinzento,Manual,18 Meses,Usados,14 950        EUR,8089833582,11 Setembro 2023,0.9 TCe Limited Edition,Sim,Metalizado,5,5,5,Classe 1,Tracção dianteira,,,27/06/2025,Nacional,,Sim,,1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio,Diesel,Maio,2018,99 870 km,1 461 cm3,90 cv,Citadino,Cinzento,Manual,18 Meses,Usados,14 950        EUR,8089702340,11 Setembro 2023,1.5 dCi Limited,Sim,Metalizado,5,5,5,Classe 1,Tracção dianteira,,,23/05/2024,Nacional,,Sim,,1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Fiesta,Gasolina,Maio,2016,104 430 km,998 cm3,80 cv,Citadino,Preto,Manual,18 Meses,Usados,11 750        EUR,8089702347,11 Setembro 2023,1.0 Ti-VCT Titanium,Sim,Metalizado,5,5,5,Classe 1,Tracção dianteira,,,30/05/2024,Nacional,,Sim,,1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,206+,Gasolina,Fevereiro,2010,205 413 km,1 124 cm3,60 cv,Citadino,Cinzento,Manual,18 Meses,Usados,5 999        EUR,8089719700,11 Setembro 2023,1.1 Trendy,Sim,,5,5,5,,,,,,Nacional,,Sim,,1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Ford,Focus SW,Diesel,Dezembro,2010,232 440 km,1 560 cm3,109 cv,Carrinha,Preto,Manual,18 Meses,Usados,5 750        EUR,8088887240,11 Setembro 2023,1.6 TDCi Titanium,,,,5,5,,,,,,,,Sim,,,,Sim,,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Toyota,Aygo,Gasolina,Outubro,2020,64 900 km,998 cm3,72 cv,Citadino,Preto,Manual,18 Meses,Usados,12 500        EUR,8090584514,11 Setembro 2023,1.0 X-Play,Sim,Metalizado,5,5,4,Classe 1,Tracção dianteira,110 g/km,,,,Sim,Sim,,1,,Sim,Sim,,Sim,,,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,308 SW,Diesel,Abril,2018,152 214 km,1 560 cm3,100 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,13 490        EUR,8088242976,11 Setembro 2023,1.6 BlueHDi Access,Sim,,6,5,5,Classe 1,Tracção dianteira,,,,Nacional,Sim,,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Peugeot,208,Diesel,Março,2019,115 194 km,1 499 cm3,102 cv,Citadino,Azul,Manual,18 Meses,Usados,11 990        EUR,8087357478,11 Setembro 2023,1.5 BlueHDi Signature,Sim,,6,5,5,Classe 1,,119 g/km,,,Nacional,Sim,,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,Tipo,Diesel,Junho,2018,137 987 km,1 248 cm3,95 cv,Utilitário,Preto,Manual,18 Meses,Usados,12 990        EUR,8087962519,11 Setembro 2023,1.3 M-Jet Lounge,Sim,,,5,5,,Tracção dianteira,,,,Nacional,Sim,,,1,,Sim,,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Fiat,500,Gasolina,Fevereiro,2016,115 385 km,1 242 cm3,69 cv,Citadino,Cinzento,Manual,18 Meses,Usados,12 950        EUR,8089702335,11 Setembro 2023,1.2 Lounge,Sim,Metalizado,5,3,4,Classe 1,Tracção dianteira,,,18/02/2024,Nacional,,Sim,,1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Opel,Corsa,Diesel,Julho,2017,128 038 km,1 248 cm3,95 cv,Citadino,Branco,Manual,18 Meses,Usados,12 750        EUR,8089702327,11 Setembro 2023,1.3 CDTi Business Edition,Sim,Metalizado,5,5,5,Classe 1,Tracção dianteira,,,26/07/2023,Nacional,,Sim,,1,,,Sim,,,,,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Mégane Sport Tourer,Diesel,Agosto,2018,150 000 km,1 461 cm3,115 cv,Carrinha,Cinzento,Manual,18 Meses,Usados,13 999        EUR,8090493682,11 Setembro 2023,1.5 Blue dCi Limited,Sim,Metalizado,6,5,5,Classe 1,Tracção dianteira,,,,Nacional,Sim,,"4,60 l/100km",1,,,Sim,,Sim,,Sim,,,,,,,,,StandVirtual,Yes
Profissional,Renault,Clio Sport Tourer,Diesel,Setembro,2016,129 511 km,1 461 cm3,110 cv,Carrinha,Vermelho,Manual,18 Meses,Usados,13 500        EUR,8090298577,11 Setembro 2023,Energy dCi 110 Start & Stop INTENS,,,6,5,5,,Tracção dianteira,90 g/km,Sim,,,Sim,Sim,"3,60 l/100km",,"3,20 l/100km",,,,Sim,,,,,,,,,,,StandVirtual,Yes
