Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Consumo Urbano,Filtro de partículas,Sub-modelo,Consumo Extra Urbano,Consumo Combinado,Emissões CO2,IUC,Inspecção válida até,Garantia de Fábrica até,ou até,IVA Discriminado,Clássico,Autonomia Máxima,Autonomia,Bateria,Gancho de Reboque,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Innovation S/S,Diesel,Dezembro,2018,91 075 km,1 598 cm3,110 cv,Sim,Sim,Sim,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,14 990        EUR,8090302638,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-innovation-s-s-ID8Pv5ie.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Chevrolet,Cruze,1.4 LT,Gasolina,Março,2014,128 000 km,1 362 cm3,140 cv,,Sim,Sim,Utilitário,Branco,Metalizado,Manual,,5,,,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,8 480        EUR,8090480289,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/chevrolet-cruze-1-4-lt-ID8PvPwz.html,"7,50 l/100km",,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Mégane,1.2 TCE Dynamique SS,Gasolina,Março,2014,114 000 km,1 197 cm3,115 cv,,Sim,Sim,Utilitário,Cinzento,,Manual,6,5,5,,Tracção dianteira,24 Meses,1,,Sim,Sim,Sim,Usados,11 900        EUR,8089389964,11 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-2-tce-dynamique-ss-ID8PsfRG.html,"6,40 l/100km",Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,BMW,116,i Sport Line,Gasolina,Abril,2016,95 000 km,1 598 cm3,136 cv,Sim,,,Utilitário,Castanho,,Manual,,5,,,,,,,,,,Usados,13 950        EUR,8090255472,10 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-i-sport-line-ID8PwT1u.html,"7,30 l/100km",,Série 1,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Junho,2016,75 600 km,999 cm3,71 cv,Sim,Sim,Sim,Citadino,Cinzento,,Manual,5,3,2,Classe 1,,18 Meses,,Importado,,Sim,Sim,Usados,9 450        EUR,8090514340,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8PvYmM.html,5 l/100km,,,"3,60 l/100km","4,10 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Fiat,500L,1.3 MJ Lounge,Diesel,Dezembro,2014,162 191 km,1 248 cm3,85 cv,,,Sim,SUV / TT,Amarelo,,Manual,5,5,5,Classe 1,,18 Meses,,,,,,Usados,12 500        EUR,8090514279,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500l-1-3-mj-lounge-ID8PvYlN.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Março,2019,51 000 km,1 461 cm3,75 cv,,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,13 950        EUR,8090586737,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8Pxhct.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Opel,Astra,1.0 Edition S/S,Gasolina,Abril,2019,95 700 km,999 cm3,105 cv,Sim,Sim,Sim,Utilitário,Preto,,Manual,5,5,5,Classe 1,,18 Meses,,Nacional,,,Sim,Usados,14 900        EUR,8090448435,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-1-0-edition-s-s-ID8PvHdN.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Junho,2014,119 219 km,898 cm3,90 cv,,Sim,Sim,SUV / TT,Azul,,Manual,5,5,5,Classe 1,,18 Meses,1,,,Sim,,Usados,9 900        EUR,8090252825,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8PwSkN.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
Particular,Renault,Captur,1.5 dCi,Diesel,Setembro,2016,144 000 km,1 461 cm3,90 cv,,,,Citadino,Bege,,Manual,5,5,,,Tracção dianteira,,,,,,,Usados,14 750        EUR,8090449223,12 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-ID8PvHqw.html,4 l/100km,,,"3,40 l/100km",,95 g/km,,,,,,,,,,,,,StandVirtual,Yes,2023-09-12
