Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Classe do veículo,Tracção,Emissões CO2,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Inspecção válida até,Livro de Revisões completo,IVA Discriminado,Origem,Registo(s),Autonomia Máxima,Garantia de Fábrica até,Sub-modelo,IUC,Capacidade da bateria,Bateria,Autonomia,Consumo Combinado,Consumo,Clássico,ou até,Valor sem ISV,Site,Portugal,Data
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Março,2014,99 879 km,898 cm3,90 cv,Sim,Sim,Sim,Sedan,Preto,Metalizado,Manual,5,5,18 Meses,Usados,9 999        EUR,8090168368,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8PwvmA.html,,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Mazda,2,1.5 Sky.Evolve Navi,Diesel,Janeiro,2018,88 000 km,1 499 cm3,105 cv,,,,Utilitário,Azul,Metalizado,Manual,5,5,,Usados,14 250        EUR,8090193591,18 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mazda-2-1-5-sky-evolve-navi-ID8PwCWp.html,6,Classe 1,Tracção dianteira,89 g/km,Sim,Sim,"3,80 l/100km","3,20 l/100km",,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Particular,Peugeot,308 SW,BlueHDi 120 Stop & Start Allure,Diesel,Fevereiro,2015,200 000 km,1 560 cm3,120 cv,,,,Carrinha,Azul,Metalizado,Manual,5,5,,Usados,9 750        EUR,8090036676,17 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-bluehdi-120-stop-start-allure-ID8PuY6v.html,6,Classe 1,Tracção dianteira,,Sim,Sim,"4,70 l/100km",,Sim,22/02/2024,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Maio,2018,218 783 km,1 560 cm3,100 cv,Sim,,Sim,Carrinha,Cinzento,,Manual,5,5,18 Meses,Usados,11 490        EUR,8087543379,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8Pkwu3.html,6,Classe 1,Tracção dianteira,,Sim,,,,,,Sim,Sim,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,VW,Polo,1.0 Confortline,Gasolina,Agosto,2017,128 000 km,999 cm3,75 cv,,Sim,Sim,Citadino,Preto,,Manual,5,,18 Meses,Usados,12 500        EUR,8086291622,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-confortline-ID8PffQq.html,6,,,,Sim,Sim,"5,90 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Peugeot,108,1.0 VTi Active,Gasolina,Julho,2019,48 331 km,998 cm3,72 cv,Sim,Sim,Sim,Pequeno citadino,Branco,,Manual,3,4,18 Meses,Usados,11 790        EUR,8088516647,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-active-ID8PoAFW.html,,,,,Sim,,"4,90 l/100km",,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Fiat,Tipo,1.3 M-Jet Lounge,Diesel,Junho,2018,123 054 km,1 248 cm3,95 cv,Sim,,Sim,Utilitário,Preto,,Manual,5,5,18 Meses,Usados,13 190        EUR,8087701859,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PlaIb.html,,,Tracção dianteira,,Sim,,,,,,Sim,Sim,Nacional,1,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge J17,Diesel,Março,2018,116 227 km,1 248 cm3,95 cv,,Sim,,Sedan,Cinzento,,Manual,5,5,18 Meses,Usados,13 999        EUR,8087917926,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-j17-ID8Pm4W8.html,6,,,,,Sim,,,,,Sim,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Citroën,C1,1.0 VTi Feel,Gasolina,Setembro,2016,39 919 km,998 cm3,68 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,4,18 Meses,Usados,10 290        EUR,8090247563,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-ID8PwQXW.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
Profissional,Mitsubishi,Space Star,1.2 Intense,Gasolina,Março,2016,92 401 km,1 193 cm3,80 cv,Sim,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,5,5,18 Meses,Usados,10 490        EUR,8090018194,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-ID8PuTiq.html,5,Classe 1,,,,Sim,,,,,,,Nacional,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-19
