Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Registo(s),Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Aceita retoma,Tipo de cor,Inspecção válida até,Filtro de partículas,IUC,Sub-modelo,Autonomia Máxima,Clássico,Capacidade da bateria,Bateria,Autonomia,Consumo,Consumo Combinado,Garantia de Fábrica até,Gancho de Reboque,ou até,Site,Portugal,Data
Particular,Dacia,Duster,1.0 TCe ECO-G Comfort Bi-Fuel,GPL,Novembro,2020,97 000 km,999 cm3,101 cv,SUV / TT,Branco,Manual,5,5,5,Tracção dianteira,145 g/km,1,Sim,Sim,"8,60 l/100km","6,30 l/100km",Usados,15 000        EUR,8089996483,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-0-tce-eco-g-comfort-bi-fuel-ID8PuNEf.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Astra GTC,1.6 CDTi S/S,Diesel,Janeiro,2018,175 792 km,1 598 cm3,136 cv,Coupé,Preto,Manual,6,3,5,Tracção dianteira,,1,Sim,,,,Usados,14 990        EUR,8090085097,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-gtc-1-6-cdti-s-s-ID8PwaHw.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Peugeot,208,1.2 VTi Active,Gasolina,Novembro,2012,98 300 km,1 199 cm3,82 cv,Citadino,Castanho,Manual,,5,5,,,1,Sim,Sim,"5,60 l/100km",,Usados,9 450        EUR,8090293620,19 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-vti-active-ID8Pv2VM.html,,,Sim,Classe 1,18 Meses,Nacional,Sim,Sim,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Particular,Nissan,Qashqai +2,1.6 dCi Tekna Premium 18 360,Diesel,Junho,2013,193 000 km,1 598 cm3,130 cv,SUV / TT,Branco,Manual,6,5,,Integral,149 g/km,,,,"7,30 l/100km","4,80 l/100km",Usados,13 250        EUR,8090641036,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-2-1-6-dci-tekna-premium-18-360-ID8Pxwkg.html,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Citroën,Berlingo,,Diesel,Fevereiro,2018,178 000 km,1 560 cm3,75 cv,Carrinha,Branco,Manual,5,4,3,Tracção dianteira,,,Sim,Sim,,,Usados,12 700        EUR,8089993883,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-berlingo-ID8PuMYj.html,,,Sim,Classe 1,18 Meses,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Hyundai,i30 SW,1.6 CRDi Comfort,Diesel,Janeiro,2018,198 151 km,1 582 cm3,110 cv,Carrinha,Cinzento,Manual,,5,5,,,1,Sim,,,,Usados,13 490        EUR,8087925684,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i30-sw-1-6-crdi-comfort-ID8Pm6Vg.html,Sim,Sim,Sim,,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Renault,Clio Sport Tourer,0.9 TCe Zen,Gasolina,Julho,2018,138 000 km,898 cm3,90 cv,Carrinha,Cinzento,Manual,5,5,5,,,,Sim,Sim,,,Usados,10 990        EUR,8089367608,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-zen-ID8Psa36.html,,,Sim,Classe 1,36 Meses,,Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Peugeot,308 SW,1.6 BlueHDi Allure J17,Diesel,Setembro,2016,190 000 km,1 560 cm3,120 cv,Carrinha,Preto,Manual,,5,5,Tracção dianteira,,,Sim,Sim,,,Usados,13 900        EUR,8090584662,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-j17-ID8PxgF0.html,,,Sim,,18 Meses,,Sim,Sim,,01/09/2024,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Março,2018,157 716 km,1 499 cm3,120 cv,Carrinha,Branco,Manual,5,5,5,Tracção dianteira,,1,Sim,,,,Usados,13 490        EUR,8087576589,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8PkE7H.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Business Edition,Diesel,Abril,2018,234 693 km,1 598 cm3,110 cv,Carrinha,Branco,Manual,6,5,5,Tracção dianteira,,1,Sim,,,,Usados,13 290        EUR,8087501745,20 Setembro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-business-edition-ID8PkkEx.html,Sim,Sim,Sim,Classe 1,18 Meses,Nacional,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-20
