Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,Filtro de partículas,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Tipo de cor,Classe do veículo,Garantia de Stand (incl. no preço),IUC,Registo(s),Garantia de Fábrica até,IVA Discriminado,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Capacidade da bateria,Bateria,Site,Portugal,Data
Particular,Renault,Mégane Sport Tourer,1.5 dCi Confort,Diesel,Outubro,2014,190 000 km,1 461 cm3,95 cv,Carrinha,Branco,Manual,6,5,5,Tracção dianteira,93 g/km,Sim,01/04/2024,Importado,Sim,Sim,Sim,"3,90 l/100km","3,40 l/100km",Usados,8 250        EUR,8090770038,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-confort-ID8Py2SV.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,BMW,X1,18 d sDrive,Diesel,Março,2011,199 000 km,1 995 cm3,143 cv,SUV / TT,Branco,Manual,6,5,5,,,Sim,,Nacional,,Sim,Sim,,,Usados,14 950        EUR,8090596670,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-18-d-sdrive-ID8PxjMG.html,Série X,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Opel,Insignia Sports Tourer,,Diesel,Agosto,2013,387 000 km,1 956 cm3,195 cv,Carrinha,Branco,Manual,6,5,5,Tracção dianteira,134 g/km,,,Nacional,,,Sim,,,Usados,11 500        EUR,8090755999,4 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-ID8PxZew.html,,,,,Metalizado,Classe 1,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,508 SW,1.6 BlueHDi Active,Diesel,Abril,2017,171 600 km,1 560 cm3,120 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,104 g/km,Sim,25/04/2024,Nacional,Sim,Sim,Sim,"4,70 l/100km",,Usados,13 990        EUR,8090762282,5 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-active-ID8Py0RQ.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,147 €,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Peugeot,308 SW,1.6 HDi Executive CVM6,Diesel,Dezembro,2010,218 000 km,1 560 cm3,112 cv,Carrinha,Cinzento,Manual,6,5,5,,,,31/12/2023,Nacional,,Sim,Sim,,,Usados,6 900        EUR,8090133239,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-hdi-executive-cvm6-ID8PwndZ.html,,,,,Metalizado,,,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Junho,2014,179 715 km,1 461 cm3,90 cv,SUV / TT,Cinzento,Manual,5,5,5,Tracção dianteira,,,01/07/2024,,,Sim,Sim,"4,60 l/100km","3,90 l/100km",Usados,12 490        EUR,8090731827,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PxSVD.html,,,Sim,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Renault,Clio Break,1.5 dCi Dynamique S,Diesel,Dezembro,2010,286 000 km,1 461 cm3,89 cv,Carrinha,Preto,Manual,5,5,5,Tracção dianteira,105 g/km,,,,,,,"4,90 l/100km","3,50 l/100km",Usados,5 200        EUR,8090632689,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-break-1-5-dci-dynamique-s-ID8Pxt9D.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500,1.2 Lounge,Gasolina,Agosto,2019,20 000 km,1 242 cm3,69 cv,Citadino,Azul,Manual,,3,4,,,,,Nacional,Sim,Sim,Sim,,,Usados,14 990        EUR,8090583838,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PxgrI.html,,Sim,Sim,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,308,1.5 BlueHDi Style,Diesel,Outubro,2018,151 000 km,1 499 cm3,130 cv,Utilitário,Branco,Manual,6,5,5,,,,,Nacional,Sim,,Sim,,,Usados,14 990        EUR,8090447730,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-style-ID8PvH2q.html,,Sim,Sim,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Nissan,Micra,1.0 IG-T N-Connecta,Gasolina,Maio,2019,151 000 km,999 cm3,100 cv,Citadino,Cinzento,Manual,,5,5,,,,,Nacional,Sim,,Sim,,,Usados,13 990        EUR,8089948035,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-n-connecta-ID8PuB2P.html,,Sim,Sim,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,MINI,Countryman,One D,Diesel,Julho,2015,173 500 km,1 598 cm3,90 cv,SUV / TT,Azul,Manual,6,5,5,,,,,Importado,Sim,Sim,Sim,,,Usados,14 650        EUR,8088770063,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-one-d-ID8PpEBh.html,,,Sim,Sim,,,36 Meses,,,01/01/0001,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,MINI,Cooper,D,Diesel,Abril,2013,130 500 km,1 598 cm3,112 cv,Citadino,Preto,Manual,6,3,4,,,,,Importado,,Sim,Sim,,,Usados,12 950        EUR,8087056631,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-ID8PisRh.html,,,Sim,Sim,,Classe 1,36 Meses,,,01/01/0001,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500,1.2 8V Pop,Gasolina,Abril,2012,120 500 km,1 242 cm3,69 cv,Pequeno citadino,Branco,Manual,5,3,4,,,,,Importado,Sim,Sim,Sim,,,Usados,8 650        EUR,8090451280,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-8v-pop-ID8PvHXG.html,,,Sim,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Polo,1.6 TDI DSG MATCH,Diesel,Setembro,2012,160 000 km,1 598 cm3,90 cv,Citadino,Cinzento,Automática,7,5,,Tracção dianteira,112 g/km,Sim,,,,,,"5,20 l/100km","3,70 l/100km",Usados,9 500        EUR,8090680329,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-6-tdi-dsg-match-ID8PxFy1.html,,,,,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,Citroën,Berlingo,,Diesel,Novembro,2017,100 700 km,1 560 cm3,90 cv,Carrinha,Branco,Manual,,5,,,,,,,,,,,,Usados,13 500        EUR,8090610250,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-berlingo-ID8PxnjI.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Peugeot,208,1.5 BlueHDi Active,Diesel,Novembro,2018,125 180 km,1 499 cm3,102 cv,Utilitário,Cinzento,Manual,6,5,5,,97 g/km,,21/11/2024,Nacional,Sim,Sim,Sim,"4,30 l/100km",,Usados,13 990        EUR,8089342045,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-active-ID8Ps3oN.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,"154,12 €",1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Citroën,C5 Tourer,1.6 e-HDi Business Air.CMP6,Diesel,Outubro,2011,177 350 km,1 560 cm3,112 cv,Carrinha,Preto,Automática,,5,5,,,,,Nacional,,,Sim,,,Usados,10 900        EUR,8090191037,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c5-tourer-1-6-e-hdi-business-air-cmp6-ID8PwCgd.html,,Sim,,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Alfa Romeo,MiTo,1.3 JTDM Super,Diesel,Dezembro,2017,118 000 km,1 248 cm3,95 cv,Citadino,Vermelho,Manual,,3,5,,,,,Nacional,,,Sim,,,Usados,14 800        EUR,8090476839,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-super-ID8PvOBW.html,,,,Sim,,Classe 1,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Jetta,2.0 TDI Trendline,Diesel,Agosto,2017,230 000 km,1 968 cm3,110 cv,Sedan,Cinzento,Manual,6,4,5,,,,,Nacional,Sim,Sim,Sim,5 l/100km,,Usados,10 980        EUR,8090626015,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-jetta-2-0-tdi-trendline-ID8PxrpZ.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,Sim,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForFour,1.0 71,Gasolina,Março,2019,100 617 km,999 cm3,71 cv,Citadino,Vermelho,Manual,,5,,,,,,Nacional,,,,,,Usados,13 990        EUR,8090592427,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-71-ID8PxiGf.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500X,1.3 MJ Lounge S&S,Diesel,Setembro,2015,82 000 km,1 248 cm3,95 cv,SUV / TT,Prateado,Manual,5,5,5,Tracção dianteira,105 g/km,,20/09/2024,Nacional,Sim,Sim,Sim,"4,50 l/100km","3,70 l/100km",Usados,14 980        EUR,8090741360,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-lounge-s-s-ID8PxWqo.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,144 €,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Setembro,2017,86 000 km,898 cm3,90 cv,Utilitário,Preto,Manual,5,5,5,Tracção dianteira,132 g/km,,29/09/2025,Nacional,Sim,Sim,Sim,"6,30 l/100km","4,20 l/100km",Usados,12 490        EUR,8090349291,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PvhqH.html,,Sim,Sim,Sim,,Classe 1,18 Meses,108 €,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Dacia,Logan MCV,1.5 dCi Comfort,Diesel,Setembro,2016,71 000 km,1 461 cm3,90 cv,Carrinha,Prateado,Manual,5,5,5,Tracção dianteira,90 g/km,,15/09/2025,Nacional,Sim,,Sim,"3,70 l/100km","3,40 l/100km",Usados,12 480        EUR,8090604693,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-1-5-dci-comfort-ID8PxlS5.html,,,,,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,VW,Polo,1.4 TDi Trendline,Diesel,Março,2016,155 747 km,1 422 cm3,90 cv,Citadino,Prateado,Manual,5,5,5,Tracção dianteira,,,,Importado,Sim,,Sim,,,Usados,12 900        EUR,8090049208,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-polo-1-4-tdi-trendline-ID8Pw1mE.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,MINI,Cooper,SD,Diesel,Novembro,2011,164 734 km,1 995 cm3,143 cv,Citadino,Cinzento,Manual,6,3,4,Tracção dianteira,,,,Importado,Sim,,Sim,,,Usados,14 900        EUR,8090049204,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-cooper-sd-ID8Pw1mA.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Julho,2017,128 038 km,1 248 cm3,95 cv,Citadino,Branco,Manual,5,5,5,Tracção dianteira,,,26/07/2023,Nacional,,,Sim,,,Usados,12 750        EUR,8089702327,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8Ptz7N.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2016,115 385 km,1 242 cm3,69 cv,Citadino,Cinzento,Manual,5,3,4,Tracção dianteira,,,18/02/2024,Nacional,,,Sim,,,Usados,12 950        EUR,8089702335,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Ptz7W.html,,,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Ford,Focus SW,1.6 TDCi Titanium Best Econetic,Diesel,Setembro,2014,182 155 km,1 560 cm3,105 cv,Carrinha,Cinzento,Manual,6,5,5,,,,,Nacional,,,Sim,,,Usados,11 950        EUR,8090767579,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-6-tdci-titanium-best-econetic-ID8Py2fh.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForTwo Coupé,1.0 Passion 71,Gasolina,Abril,2016,64 586 km,999 cm3,71 cv,Coupé,Preto,Manual,,3,,,,,,Nacional,,,,,,Usados,12 990        EUR,8090592080,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-ID8PxiAE.html,,Sim,,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Opel,Insignia Sports Tourer,1.6 CDTi Executive S/S J18,Diesel,Agosto,2016,187 000 km,1 598 cm3,136 cv,Carrinha,Cinzento,Manual,6,5,5,Tracção dianteira,114 g/km,,,,Sim,Sim,Sim,"4,80 l/100km","3,70 l/100km",Usados,14 150        EUR,8087703942,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-1-6-cdti-executive-s-s-j18-ID8PlbfM.html,,Sim,Sim,Sim,Metalizado,Classe 1,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Profissional,Smart,ForFour,1.0 Passion 71,Gasolina,Agosto,2017,59 000 km,999 cm3,71 cv,Citadino,Branco,Manual,,5,,,,,,,,,,"4,80 l/100km",,Usados,11 490        EUR,8090731479,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/smart-forfour-1-0-passion-71-ID8PxSR1.html,,Sim,Sim,Sim,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
Particular,BMW,320,,Diesel,Julho,2010,320 000 km,1 995 cm3,177 cv,Utilitário,Preto,Manual,,5,,,,,,,,,,,,Usados,11 500        EUR,8090762978,8 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-ID8Py134.html,Série 3,Sim,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-08
