Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,IUC,Filtro de partículas,Registo(s),Origem,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Aceita retoma,Possibilidade de financiamento,Inspecção válida até,Garantia de Stand (incl. no preço),Livro de Revisões completo,Consumo Urbano,Consumo Extra Urbano,Garantia de Fábrica até,Gancho de Reboque,Consumo Combinado,Autonomia,Bateria,Consumo,Capacidade da bateria,Clássico,ou até,Site,Portugal,Data
Particular,BMW,116,Série 1,d EfficientDynamics Edition Sport Line,Diesel,Março,2014,166 000 km,1 598 cm3,116 cv,Citadino,Castanho,Metalizado,Manual,6,5,5,Classe 1,Tracção traseira,1 000 km,99 g/km,150 €,Sim,1,Importado,Sim,Sim,Usados,13 400        EUR,8090742191,9 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-edition-sport-line-ID8PxWDN.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Opel,Insignia Sports Tourer,,,Diesel,Agosto,2013,387 000 km,1 956 cm3,195 cv,Carrinha,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,134 g/km,,,,Nacional,,Sim,Usados,11 500        EUR,8090755999,4 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-insignia-sports-tourer-ID8PxZew.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,Focus,,1.5 TDCi Titanium,Diesel,Julho,2015,115 400 km,1 499 cm3,120 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,99 g/km,,,1,Nacional,,Sim,Usados,14 950        EUR,8090653892,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-1-5-tdci-titanium-ID8PxyFC.html,Sim,Sim,Sim,Sim,20/07/2024,18 Meses,Sim,"4,30 l/100km","3,40 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Peugeot,508 SW,,1.6 BlueHDi Active,Diesel,Abril,2017,171 600 km,1 560 cm3,120 cv,Carrinha,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,104 g/km,147 €,Sim,1,Nacional,Sim,Sim,Usados,13 990        EUR,8090762282,5 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-bluehdi-active-ID8Py0RQ.html,Sim,,Sim,Sim,25/04/2024,18 Meses,Sim,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,BMW,114,Série 1,i,Gasolina,Fevereiro,2013,129 km,1 598 cm3,102 cv,Utilitário,Cinzento,Metalizado,Manual,6,3,5,,,,,,,,Importado,,Sim,Usados,15 000        EUR,8090228608,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/bmw-114-i-ID8PwM2c.html,,,,,18/02/2024,,Sim,"7,10 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Mégane,,1.5 dCi Zen ECO,Diesel,Agosto,2018,115 000 km,1 461 cm3,110 cv,Utilitário,Branco,,Manual,6,5,5,Classe 1,,,,,,1,Importado,Sim,Sim,Usados,14 980        EUR,8090635903,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-zen-eco-ID8PxtZt.html,,,Sim,Sim,22/08/2024,36 Meses,,"3,60 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,Tipo,,1.3 M-Jet Lounge J17,Diesel,Julho,2018,80 000 km,1 248 cm3,95 cv,Utilitário,Preto,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,,,,,1,Nacional,Sim,Sim,Usados,13 900        EUR,8090693101,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8PxIS1.html,,,,Sim,09/07/2025,18 Meses,Sim,"5,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Citroën,C4,,1.6 HDi VTR Pack Airdream,Diesel,Julho,2010,210 000 km,1 560 cm3,92 cv,Sedan,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,125 g/km,,Sim,,,Sim,Sim,Usados,6 200        EUR,8090690001,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c4-1-6-hdi-vtr-pack-airdream-ID8PxI41.html,,,,,04/07/2024,,,"5,80 l/100km","3,80 l/100km",,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,500C,,1.2 8V Lounge,Gasolina,Dezembro,2010,102 000 km,1 242 cm3,69 cv,Citadino,Cinzento,Metalizado,Manual,,2,,,,,,,,,,,,Usados,8 750        EUR,8090790476,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-8v-lounge-ID8Py8cA.html,,,,Sim,,36 Meses,,"6,20 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,Tipo,,1.3 M-Jet Lounge Tech,Diesel,Abril,2019,84 000 km,1 248 cm3,95 cv,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,,,,,,,,,Usados,13 480        EUR,8090726056,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-tech-ID8PxRry.html,,,Sim,Sim,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Captur,,(ENERGY) TCe 90 INTENS,Gasolina,Dezembro,2017,45 000 km,898 cm3,90 cv,SUV / TT,Laranja,Metalizado,Manual,,5,,,,,,,,,,,,Usados,14 900        EUR,8090790441,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-energy-tce-90-intens-ID8Py8c1.html,,,,Sim,,18 Meses,,"6,40 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,MINI,Countryman,,Cooper D,Diesel,Junho,2013,144 000 km,1 598 cm3,112 cv,Utilitário,Branco,Metalizado,Manual,,5,5,Classe 1,,,,,Sim,2,Nacional,,,Usados,13 900        EUR,8090789707,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mini-countryman-cooper-d-ID8Py80b.html,,,,,,,,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Renault,Clio Sport Tourer,,1.5 dCi Limited,Diesel,Março,2018,116 000 km,1 461 cm3,90 cv,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,120 km,,,,1,,Sim,Sim,Usados,12 850        EUR,8089155750,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PrgV2.html,,,,,29/03/2024,36 Meses,Sim,"3,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,Tipo Station Wagon,,1.3 M-Jet Lounge,Diesel,Abril,2018,160 000 km,1 248 cm3,95 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,,,,1,Nacional,Sim,Sim,Usados,12 480        EUR,8090691261,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PxIol.html,,,Sim,Sim,,18 Meses,Sim,"5,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Nissan,Juke,,1.5 dCi Tekna Sport,Diesel,Julho,2014,135 000 km,1 461 cm3,110 cv,SUV / TT,Vermelho,Metalizado,Manual,6,5,5,Classe 1,,,,,,,,Sim,Sim,Usados,13 990        EUR,8090696998,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-sport-ID8PxJSS.html,Sim,,Sim,Sim,,18 Meses,Sim,"6,30 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Fiat,500X,,1.3 MJ Pop Star S&S,Diesel,Outubro,2015,168 000 km,1 248 cm3,95 cv,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Classe 1,,,,,,1,Nacional,Sim,Sim,Usados,12 980        EUR,8090635173,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-pop-star-s-s-ID8PxtNH.html,,,Sim,Sim,30/10/2024,36 Meses,,"4,60 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Ford,Focus,,1.0 SCTi Titanium,Gasolina,Fevereiro,2017,109 000 km,998 cm3,125 cv,Utilitário,Cinzento,Metalizado,Manual,6,5,5,Classe 1,,,,,,1,Nacional,Sim,Sim,Usados,13 980        EUR,8090635525,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/ford-focus-1-0-scti-titanium-ID8PxtTn.html,,,Sim,Sim,22/02/2024,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,Citroën,Berlingo,,,Diesel,Maio,2015,315 000 km,1 560 cm3,75 cv,Carrinha,Branco,,Manual,,4,,,,,,,,,,,,Usados,9 990        EUR,8090790401,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-berlingo-ID8Py8bn.html,,,Sim,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2023-10-10
Particular,Peugeot,508 SW,,1.6 e-HDi Active 2-Tronic,Diesel,Março,2013,130 000 km,1 560 cm3,115 cv,Carrinha,Branco,Pérola,Automática,6,5,5,,,,,,Sim,,Importado,Sim,Sim,Usados,14 900        EUR,8090701791,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-508-sw-1-6-e-hdi-active-2-tronic-ID8PxL8b.html,,,,,,,Sim,"4,60 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
Profissional,VW,Golf Variant,,1.6 TDi Confortline,Diesel,Março,2019,200 000 km,1 598 cm3,115 cv,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,,,1,Nacional,Sim,Sim,Usados,13 650        EUR,8090696790,10 Outubro 2023,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PxJPv.html,,Sim,Sim,Sim,,18 Meses,Sim,"4,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2023-10-10
