Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Sub-modelo,Gancho de Reboque,IUC,Inspecção válida até,Livro de Revisões completo,Clássico,IVA Discriminado,Filtro de partículas,Garantia de Fábrica até,Consumo Combinado,ou até,Autonomia Máxima,Valor sem ISV,Autonomia,Consumo,Bateria,Site,Portugal,Data
Profissional,Fiat,500C,1.2 Lounge,Gasolina,Março,2011,114 000 km,1 242 cm3,69 cv,Sim,Sim,Sim,Cabrio,Cinzento,Metalizado,Manual,5,2,4,Classe 1,Tracção dianteira,131 g/km,18 Meses,1,Nacional,Sim,Sim,"5,90 l/100km","4,40 l/100km",Usados,9 500        EUR,8090156725,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-ID8PwtkN.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Opel,Corsa,1.2 120 Anos,Gasolina,Julho,2019,61 870 km,1 229 cm3,70 cv,,Sim,Sim,Utilitário,Preto,,Manual,,5,5,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,,,Usados,11 950        EUR,8088720715,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-2-120-anos-ID8PprLl.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Mercedes-Benz,C 200,CDi Elegance BlueEfficiency,Diesel,Julho,2012,178 000 km,2 143 cm3,136 cv,Sim,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,18 Meses,1,,,Sim,,,Usados,14 650        EUR,8090413408,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-cdi-elegance-blueefficiency-ID8Pvy6Q.html,Classe C,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Renault,Captur,1.5 dCi Sport,Diesel,Janeiro,2018,184 727 km,1 461 cm3,90 cv,,Sim,Sim,SUV / TT,Azul,,Manual,,5,5,Classe 1,Tracção dianteira,95 g/km,18 Meses,,,Sim,Sim,,,Usados,14 900        EUR,8089508002,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-sport-ID8PsKzv.html,,1,155 €,01/01/2024,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Particular,Nissan,Qashqai,1.5 dCi Acenta,Diesel,Novembro,2016,80 200 km,1 461 cm3,110 cv,Sim,,,SUV / TT,Vermelho,,Manual,6,5,5,,Tracção dianteira,99 g/km,,1,,Sim,Sim,"4,20 l/100km","3,60 l/100km",Usados,15 000        EUR,8090764631,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-5-dci-acenta-ID8Py1tJ.html,,,,28/10/2024,,Sim,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Opel,Astra Sports Tourer,1.7 CDTi Cosmo,Diesel,Janeiro,2012,210 000 km,1 686 cm3,125 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,,5,5,Classe 1,,,18 Meses,1,,Sim,Sim,,,Usados,9 990        EUR,8090834959,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-7-cdti-cosmo-ID8PyjM3.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,SEAT,Leon ST,1.6 TDI Style Ecomotive,Diesel,Junho,2016,151 000 km,1 598 cm3,110 cv,,Sim,Sim,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,,Sim,,,Usados,13 950        EUR,8090640398,18 Outubro 2023,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-ecomotive-ID8Pxw9Y.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Renault,Clio,0.9 TCe Zen,Gasolina,Abril,2018,84 000 km,898 cm3,90 cv,,Sim,Sim,Citadino,Cinzento,,Manual,5,5,5,Classe 1,,,18 Meses,,,Sim,Sim,,,Usados,13 990        EUR,8089812964,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-zen-ID8Pu1Ug.html,,,,01/04/2024,,,Sim,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Citroën,C3,1.2 PureTech Collection,Gasolina,Abril,2015,110 500 km,1 199 cm3,82 cv,,Sim,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,Sim,Sim,,,Usados,10 950        EUR,8089490635,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-collection-ID8PsG3p.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Abril,2018,160 000 km,1 248 cm3,95 cv,,Sim,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,"5,30 l/100km",,Usados,12 480        EUR,8090691261,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PxIol.html,,,,,Sim,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
Profissional,Fiat,Tipo,1.3 M-Jet Lounge Tech,Diesel,Abril,2019,84 000 km,1 248 cm3,95 cv,,Sim,Sim,Utilitário,Cinzento,Metalizado,Manual,,5,5,,,,18 Meses,,,,,,,Usados,13 480        EUR,8090726056,24 Outubro 2023,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-tech-ID8PxRry.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-10-24
