Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Número de Mudanças,Emissões CO2,Registo(s),Tipo de cor,Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,Sub-modelo,Consumo Combinado,IUC,Autonomia,Consumo,Capacidade da bateria,Bateria,ou até,Autonomia Máxima,Site,Portugal,Data
Profissional,Fiat,500,1.2 Lounge,Gasolina,Março,2019,72 035 km,1 242 cm3,69 cv,Sim,Sim,Pequeno citadino,Preto,Manual,3,4,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,Sim,Usados,13 990,8091607718,21 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PByNU.html,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,VW,Passat Variant,1.6 TDI Confortline,Diesel,Dezembro,2017,247 911 km,1 598 cm3,120 cv,Sim,Sim,Carrinha,Azul,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,Sim,Sim,,Usados,11 990,8091774786,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-6-tdi-confortline-ID8PCggy.html,Sim,6,107 g/km,1,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Ford,Focus SW,1.5 TDCi Titanium,Diesel,Janeiro,2016,238 000 km,1 499 cm3,120 cv,,,Carrinha,Preto,Manual,5,5,Classe 1,Tracção dianteira,,Nacional,,,Sim,Usados,8 000,8090059080,25 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-5-tdci-titanium-ID8Pw3WS.html,,6,99 g/km,,Metalizado,"4,30 l/100km","3,40 l/100km",Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Particular,Fiat,Tipo,1.3 M-Jet Easy,Diesel,Janeiro,2017,95 km,1 248 cm3,95 cv,,,Citadino,Branco,Manual,5,5,Classe 1,Tracção dianteira,,Importado,,Sim,Sim,Usados,9 550,8091866669,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-easy-ID8PCEax.html,,5,,,Metalizado,"5,30 l/100km",,,1 Janeiro 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Audi,A3 Sportback,1.6 TDI S-line,Diesel,Agosto,2014,198 000 km,1 598 cm3,110 cv,,Sim,Utilitário,Cinzento,Manual,5,,,,18 Meses,,Sim,Sim,Sim,Usados,12 990,8091877315,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-s-line-ID8PCGVf.html,,,,1,Metalizado,"4,90 l/100km",,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Kia,e-Soul,EV,Eléctrico,Dezembro,2016,115 171 km,,110 cv,Sim,Sim,Citadino,Branco,Automática,5,5,,,36 Meses,Nacional,,,,Usados,14 990,8089852005,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-e-soul-ev-ID8Puc3X.html,,,,,,,,Mostrar VIN,,27 Fevereiro 2027,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Maio,2019,53 094 km,999 cm3,80 cv,,Sim,Citadino,Branco,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,Sim,Sim,Usados,13 990,8091773220,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8PCfRi.html,,5,122 g/km,1,,"6,10 l/100km","4,30 l/100km",Mostrar VIN,30 Maio 2025,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Ford,Fiesta,,GPL,Janeiro,2018,102 845 km,1 084 cm3,85 cv,,Sim,Citadino,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,14 950,8091104102,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-ID8PzrN4.html,,5,,,Metalizado,,,Mostrar VIN,31 Janeiro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Ford,Focus SW,1.6 TDCi Titanium Best Econetic,Diesel,Setembro,2014,182 155 km,1 560 cm3,105 cv,,Sim,Carrinha,Cinzento,Manual,5,5,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,11 950,8090767579,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-6-tdci-titanium-best-econetic-ID8Py2fh.html,,6,,,Metalizado,,,Mostrar VIN,10 Setembro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2016,115 385 km,1 242 cm3,69 cv,,Sim,Citadino,Cinzento,Manual,3,4,Classe 1,Tracção dianteira,18 Meses,Nacional,,,Sim,Usados,12 950,8089702335,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Ptz7W.html,,5,,,Metalizado,,,Mostrar VIN,18 Fevereiro 2024,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Julho,2019,83 000 km,1 461 cm3,75 cv,Sim,Sim,Utilitário,Branco,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,13 600,8091833944,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PCwEI.html,,5,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Dezembro,2019,135 000 km,1 461 cm3,75 cv,Sim,Sim,Utilitário,Preto,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,11 750,8091833942,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PCwEG.html,,5,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
Profissional,SEAT,Leon ST,1.6 TDI Reference Ecomotive,Diesel,Julho,2016,179 000 km,1 598 cm3,110 cv,Sim,Sim,Carrinha,Preto,Manual,5,5,Classe 1,,18 Meses,Nacional,,Sim,Sim,Usados,11 500,8091833941,27 de fevereiro de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-reference-ecomotive-ID8PCwEF.html,,6,,,Metalizado,,,,,,,,,,,,,,,StandVirtual,Yes,2024-02-27
