Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Tracção,Emissões CO2,IUC,Inspecção válida até,Origem,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Sub-modelo,Garantia de Fábrica até,ou até,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo Combinado,Consumo,Site,Portugal,Data
Particular,Fiat,500,1.2 Lounge,Gasolina,Março,2018,40 000 km,1 242 cm3,69 cv,Citadino,Vermelho,Metalizado,Manual,5,3,4,Tracção dianteira,129 g/km,"108,32 €",10 Março 2024,Nacional,Sim,Sim,Sim,"5,90 l/100km","4,40 l/100km",Usados,Mostrar VIN,12 149,8090841175,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Pyloj.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Agosto,2018,222 620 km,1 499 cm3,130 cv,Carrinha,Preto,,Manual,6,5,5,Tracção dianteira,,,,Nacional,Sim,Sim,,,,Usados,,10 990,8091841163,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8PCxx9.html,Sim,Sim,Sim,Classe 1,18 Meses,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Nissan,Qashqai,,Diesel,Dezembro,2014,193 000 km,1 461 cm3,115 cv,SUV / TT,Preto,,Manual,,5,,,,,,Importado,,Sim,Sim,"4,20 l/100km",,Usados,,12 000,8091238310,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-ID8PA0HI.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Peugeot,308 SW,1.6 BlueHDi Active,Diesel,Março,2017,158 000 km,1 560 cm3,100 cv,Carrinha,Cinzento,,Manual,,5,,,,,,,,,,"4,30 l/100km",,Usados,,10 950,8091937830,5 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-active-ID8PCVGi.html,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Nissan,Micra,,Gasolina,Fevereiro,2019,90 111 km,999 cm3,101 cv,Utilitário,Vermelho,Metalizado,Manual,5,5,5,,,,1 Fevereiro 2025,,Sim,Sim,Sim,,,Usados,Mostrar VIN,12 990,8090901704,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-ID8PyB8A.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Particular,Opel,Astra Sports Tourer,1.6 CDTi Cosmo S/S,Diesel,Outubro,2014,113 000 km,1 598 cm3,136 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Tracção dianteira,104 g/km,,31 Outubro 2024,Nacional,Sim,Sim,Sim,"4,60 l/100km","3,60 l/100km",Usados,,13 500,8091002053,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-cosmo-s-s-ID8Pz1f7.html,,,,Classe 1,,1,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Clio Sport Tourer,Energy dCi 110 Bose Edition,Diesel,Junho,2018,156 500 km,1 461 cm3,110 cv,Carrinha,Preto,Metalizado,Manual,,5,,,,,,,Sim,,Sim,"3,80 l/100km",,Usados,,14 900,8090961698,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-energy-dci-110-bose-edition-ID8PyQKe.html,Sim,,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Captur,1.5 dCi Sport,Diesel,Junho,2014,110 632 km,1 461 cm3,90 cv,Utilitário,Cinzento,Metalizado,Manual,5,5,5,,,,,Nacional,,Sim,Sim,,,Usados,,12 950,8091894334,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-sport-ID8PCLmK.html,,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Fiat,Tipo Cross,1.0 GSE T3,Gasolina,Maio,2021,85 303 km,999 cm3,101 cv,Carrinha,Cinzento,Metalizado,Manual,5,5,5,,,,1 Maio 2025,Importado,Sim,Sim,Sim,,,Usados,Mostrar VIN,14 990,8091407459,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-cross-1-0-gse-t3-ID8PAIHW.html,Sim,Sim,Sim,,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
Profissional,Renault,Kadjar,1.5 dCi Exclusive,Diesel,Março,2017,154 206 km,1 461 cm3,110 cv,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,,99 g/km,,1 Março 2025,,Sim,Sim,Sim,,,Usados,Mostrar VIN,14 990,8089765071,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-kadjar-1-5-dci-exclusive-ID8PtPrN.html,Sim,,Sim,Classe 1,18 Meses,,,,,,,,,,,StandVirtual,Yes,2024-03-07
