Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Inspecção válida até,Origem,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Garantia de Stand (incl. no preço),Livro de Revisões completo,Registo(s),Consumo Combinado,Autonomia Máxima,IUC,Sub-modelo,Garantia de Fábrica até,Autonomia,Bateria,Capacidade da bateria,ou até,Consumo,Site,Portugal,Data
Particular,Audi,A4,2.0 TDI Business Line,Diesel,Novembro,2014,319 000 km,1 968 cm3,136 cv,Sedan,Preto,Metalizado,Manual,6,4,5,Classe 1,Tracção dianteira,112 g/km,11 Novembro 2025,Nacional,Sim,Sim,"5,20 l/100km","3,70 l/100km",Usados,Mostrar VIN,12 500,8091736511,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a4-2-0-tdi-business-line-ID8PC6jd.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,SEAT,Leon ST,1.6 TDI Ecomotive Style,Diesel,Abril,2014,240 000 km,1 598 cm3,110 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,89 g/km,,Importado,Sim,Sim,"3,90 l/100km","3,20 l/100km",Usados,,9 800,8091920180,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-ecomotive-style-ID8PCS5C.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited EDition,Diesel,Outubro,2018,131 414 km,1 461 cm3,90 cv,Carrinha,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,,Nacional,Sim,Sim,,,Usados,,10 900,8091832870,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-edition-ID8PCwno.html,Sim,Sim,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Dacia,Sandero,1.0 SCe Comfort,Gasolina,Agosto,2019,144 200 km,999 cm3,75 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,130 g/km,,Importado,Sim,Sim,6 l/100km,"4,80 l/100km",Usados,Mostrar VIN,9 500,8091968992,7 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-0-sce-comfort-ID8PD4MU.html,Sim,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Nissan,Juke,1.2 DIG-T Acenta,Gasolina,Novembro,2016,143 000 km,1 197 cm3,115 cv,SUV / TT,Vermelho,,Manual,6,5,5,,Tracção dianteira,128 g/km,,,Sim,Sim,"7,10 l/100km","4,90 l/100km",Usados,Mostrar VIN,11 900,8091957894,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-2-dig-t-acenta-ID8PD1TU.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Jaguar,XE,2.0 D Prestige Aut.,Diesel,Janeiro,2017,299 000 km,1 999 cm3,180 cv,Sedan,Cinzento,Metalizado,Automática,8,4,5,Classe 1,,,30 Janeiro 2024,Nacional,Sim,Sim,,,Usados,,14 990,8091455817,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/jaguar-xe-2-0-d-prestige-aut-ID8PAWhT.html,,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Captur,,Gasolina,Março,2017,34 000 km,898 cm3,90 cv,SUV / TT,Bege,,Manual,5,5,5,Classe 1,Tracção dianteira,,20 Março 2025,Nacional,Sim,Sim,"6,40 l/100km",,Usados,,14 990,8091395607,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-ID8PAFCL.html,,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Clio Sport Tourer,1.5 dCi Limited,Diesel,Agosto,2018,82 030 km,1 461 cm3,90 cv,Carrinha,Preto,,Manual,,5,5,,,,,Nacional,Sim,Sim,,,Usados,,13 950,8091620902,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-1-5-dci-limited-ID8PBCey.html,Sim,,,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,208,1.2 PureTech Allure,Gasolina,Maio,2016,110 374 km,1 199 cm3,110 cv,Citadino,Branco,,Manual,5,5,,,Tracção dianteira,132 g/km,,,,,"5,80 l/100km","3,90 l/100km",Usados,,13 990,8091021337,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8Pz6g9.html,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Opel,Adam,1.2 Glam,Gasolina,Março,2016,105 000 km,1 229 cm3,70 cv,Citadino,Amarelo,Metalizado,Manual,,3,,,,,,,,,"7,40 l/100km",,Usados,,9 000,8091875167,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-adam-1-2-glam-ID8PCGnB.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Janeiro,2019,240 000 km,1 598 cm3,115 cv,Carrinha,Cinzento,,Manual,6,5,5,Classe 1,Tracção dianteira,,19 Dezembro 2024,Nacional,Sim,Sim,,,Usados,Mostrar VIN,11 980,8091410391,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PAJtd.html,,,Sim,18 Meses,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Opel,Zafira,1.6 CDTi Dynamic S/S,Diesel,Abril,2018,122 000 km,1 598 cm3,134 cv,SUV / TT,Azul,Metalizado,Manual,6,5,7,,,,,Nacional,,Sim,,,Usados,,14 990,8091920634,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-zafira-1-6-cdti-dynamic-s-s-ID8PCScV.html,Sim,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,VW,Polo,1.0 TSI Confortline,Gasolina,Dezembro,2018,197 510 km,999 cm3,95 cv,Citadino,Branco,,Manual,5,5,,,Tracção dianteira,121 g/km,,Nacional,Sim,,"5,30 l/100km","4,10 l/100km",Usados,,9 750,8092003334,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-tsi-confortline-ID8PDdIO.html,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Mitsubishi,Space Star,1.2 Clear Tec Edition+,Gasolina,Março,2020,43 000 km,1 193 cm3,80 cv,Citadino,Azul,Metalizado,Manual,,5,,,,,,Importado,Sim,Sim,"5,50 l/100km",,Usados,,10 990,8091866864,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-clear-tec-edition-ID8PCEdG.html,,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Particular,Opel,Astra Sports Tourer,1.6 CDTi Cosmo S/S,Diesel,Outubro,2014,113 000 km,1 598 cm3,136 cv,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,104 g/km,31 Outubro 2024,Nacional,Sim,Sim,"4,60 l/100km","3,60 l/100km",Usados,,13 500,8091002053,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-cosmo-s-s-ID8Pz1f7.html,,,,,Sim,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Citroën,C4 Cactus,1.2 PureTech Shine Pack,Gasolina,Outubro,2020,86 000 km,1 199 cm3,110 cv,SUV / TT,Cinzento,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,,,Importado,Sim,Sim,,,Usados,Mostrar VIN,14 450,8091233550,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-shine-pack-ID8PzZsV.html,,,Sim,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Fiat,500X,1.3 MJ Pop Star J17 S&S,Diesel,Fevereiro,2016,128 372 km,1 248 cm3,95 cv,SUV / TT,Preto,Metalizado,Manual,,5,5,Classe 1,Tracção dianteira,,23 Fevereiro 2025,Nacional,Sim,Sim,,,Usados,Mostrar VIN,13 500,8091572345,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-3-mj-pop-star-j17-s-s-ID8PBpBn.html,,,Sim,18 Meses,,1,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,108,1.0 e-VTi Allure,Gasolina,Dezembro,2014,130 000 km,998 cm3,69 cv,Citadino,Cinzento,,Manual,5,5,4,,Tracção dianteira,88 g/km,,Nacional,,,"4,50 l/100km","3,40 l/100km",Usados,Mostrar VIN,9 950,8091921012,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-e-vti-allure-ID8PCSj2.html,,,,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,208,PureTech 68 Like,Gasolina,Maio,2018,124 000 km,1 199 cm3,68 cv,Citadino,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,108 g/km,,,Sim,Sim,"5,50 l/100km","3,90 l/100km",Usados,Mostrar VIN,10 950,8091821108,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-puretech-68-like-ID8PCsjG.html,Sim,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Pop,Diesel,Setembro,2019,71 000 km,1 248 cm3,95 cv,Carrinha,Cinzento,,Manual,,5,5,Classe 1,,,,Nacional,Sim,Sim,,,Usados,Mostrar VIN,13 990,8091875212,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-pop-ID8PCGok.html,Sim,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Micra,1.0 IG-T N-Connecta,Gasolina,Dezembro,2019,31 000 km,999 cm3,100 cv,Utilitário,Cinzento,,Manual,,5,5,Classe 1,,,,Nacional,,Sim,,,Usados,Mostrar VIN,14 990,8091875209,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-0-ig-t-n-connecta-ID8PCGoh.html,Sim,,Sim,18 Meses,Sim,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Fiat,500,1.0 Hybrid Dolcevita,Gasolina,Fevereiro,2022,16 066 km,999 cm3,70 cv,Citadino,Cinzento,,Manual,6,3,4,Classe 1,Tracção dianteira,,2 Fevereiro 2026,,,Sim,,,Usados,,14 250,8091875354,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PCGqC.html,Sim,,Sim,18 Meses,Sim,1,4 l/100km,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Peugeot,208,1.5 BlueHDi Signature,Diesel,Novembro,2019,86 900 km,1 499 cm3,102 cv,Citadino,Preto,Metalizado,Manual,,5,,,,,,,,,"4,30 l/100km",,Usados,,14 750,8091762258,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-5-bluehdi-signature-ID8PCd0u.html,,,Sim,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Junho,2014,129 000 km,1 199 cm3,83 cv,Citadino,Cinzento,,Manual,5,5,,,Tracção dianteira,123 g/km,,,,,,,Usados,,9 500,8091038291,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-shine-ID8PzaFB.html,,,,36 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Nissan,Juke,1.2 DIG-T Black Edition,Gasolina,Janeiro,2016,67 000 km,1 197 cm3,115 cv,SUV / TT,Cinzento,,Manual,5,5,5,Classe 1,Tracção dianteira,,1 Janeiro 2025,Nacional,,Sim,,,Usados,,14 600,8089405161,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-2-dig-t-black-edition-ID8PsjON.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
Profissional,Renault,Clio,0.9 TCe Limited,Gasolina,Março,2019,36 000 km,898 cm3,90 cv,Citadino,Vermelho,Metalizado,Manual,5,5,5,,Tracção dianteira,,,Importado,,Sim,"6,30 l/100km",,Usados,,12 750,8091628517,10 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8PBEdn.html,,,Sim,18 Meses,,,,,,,,,,,,,StandVirtual,Yes,2024-03-10
