Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Número de Mudanças,Lotação,Classe do veículo,Tracção,Autonomia Máxima,Emissões CO2,Garantia de Fábrica até,ou até,Origem,VIN,Valor Fixo,IVA Discriminado,Inspecção válida até,IUC,Bateria,Sub-modelo,Autonomia,Consumo,Capacidade da bateria,Site,Portugal,Data
Profissional,Peugeot,308,PureTech 130 Stop & Start GT-Line Edition,Gasolina,Fevereiro,2016,80 000 km,1 199 cm3,130 cv,Sim,Citadino,Preto,Manual,5,18 Meses,1,Sim,Sim,Sim,5 l/100km,4 l/100km,4 l/100km,Usados,14 500,8089289539,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-puretech-130-stop-start-gt-line-edition-ID8PrPJW.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,SEAT,Ibiza,1.6 TDI CR FR,Diesel,Abril,2015,147 500 km,1 598 cm3,105 cv,Sim,Citadino,Branco,Manual,5,18 Meses,,,Sim,Sim,"5,10 l/100km",,,Usados,13 900,8091471933,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-6-tdi-cr-fr-ID8PAZtP.html,Pérola,5,5,Classe 1,Tracção dianteira,950 km,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Fiat,500,0.9 8V TwinAir Lounge Dualogic,Gasolina,Dezembro,2016,99 000 km,875 cm3,85 cv,Sim,Pequeno citadino,Branco,Automática,3,18 Meses,,,Sim,Sim,"5,50 l/100km",,,Usados,12 900,8088133186,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-0-9-8v-twinair-lounge-dualogic-ID8PmYW4.html,Pérola,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Grand Scénic,ENERGY dCi 110 S&S Paris,Diesel,Outubro,2014,258 000 km,1 461 cm3,110 cv,Sim,Monovolume,Castanho,Manual,5,18 Meses,,,Sim,Sim,"4,50 l/100km",,,Usados,11 900,8090248506,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-energy-dci-110-s-s-paris-ID8PwRd8.html,Metalizado,6,7,Classe 1,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Peugeot,2008,1.6 BlueHDi Style,Diesel,Fevereiro,2016,99 700 km,1 560 cm3,100 cv,Sim,SUV / TT,Branco,Manual,5,18 Meses,,Sim,Sim,Sim,"3,90 l/100km",,,Usados,13 900,8091130517,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-6-bluehdi-style-ID8PzyF7.html,Metalizado,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Mitsubishi,Space Star,1.2 Intense Connect Edition,Gasolina,Março,2023,19 000 km,1 193 cm3,71 cv,,Utilitário,Branco,Manual,5,36 Meses,,Sim,,Sim,"5,30 l/100km","4,40 l/100km",,Usados,14 250,8091601721,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-connect-edition-ID8PBxfb.html,Metalizado,5,5,,Tracção dianteira,,116 g/km,15 Março 2028,100 000 km,Nacional,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Kia,Stonic,1.2 CVVT LX,Gasolina,Agosto,2018,21 000 km,1 248 cm3,84 cv,Sim,Citadino,Cinzento,Manual,5,18 Meses,1,Sim,Sim,Sim,"6,40 l/100km",,,Usados,14 900,8091875515,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-stonic-1-2-cvvt-lx-ID8PCGtd.html,Metalizado,5,5,Classe 1,Tracção dianteira,,,,,Nacional,,,,,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Smart,ForTwo Coupé,1.0 Passion 71 Aut.,Gasolina,Maio,2019,90 000 km,999 cm3,71 cv,Sim,Citadino,Branco,Automática,3,18 Meses,1,,,,,,,Usados,10 990,8090776278,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-passion-71-aut-ID8Py4wA.html,,6,2,,Tracção dianteira,,,,,Nacional,,Sim,Sim,5 Maio 2025,,,,,,,StandVirtual,Yes,2024-03-12
Profissional,Renault,Clio Sport Tourer,0.9 TCe GT Line,Gasolina,Novembro,2016,83 000 km,898 cm3,90 cv,Sim,Carrinha,Outra,Manual,5,18 Meses,,,Sim,Sim,"6,30 l/100km",,,Usados,12 490,8091969548,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-gt-line-ID8PD4WS.html,Metalizado,5,5,Classe 1,Tracção dianteira,,,,,Nacional,,Sim,,,120 €,,,,,,StandVirtual,Yes,2024-03-12
Profissional,SEAT,Ibiza,SC 1.2 TSi FR,Gasolina,Fevereiro,2014,230 000 km,1 197 cm3,85 cv,Sim,Citadino,Branco,Manual,3,18 Meses,1,Sim,Sim,Sim,"6,50 l/100km",,,Usados,8 999,8090747370,12 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-2-tsi-fr-ID8PxVZk.html,Metalizado,5,,Classe 1,Tracção dianteira,,,,,Nacional,,Sim,,28 Fevereiro 2024,,,,,,,StandVirtual,Yes,2024-03-12
