Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Valor Fixo,Possibilidade de financiamento,Origem,Emissões CO2,Consumo Urbano,Consumo Extra Urbano,VIN,IVA Discriminado,Registo(s),Sub-modelo,Inspecção válida até,IUC,Garantia de Fábrica até,Consumo Combinado,Bateria,Autonomia Máxima,Capacidade da bateria,Autonomia,Consumo,ou até,Site,Portugal,Data
Profissional,Peugeot,308,Diesel,Março,2016,66 000 km,1 560 cm3,109 cv,Utilitário,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,18 Meses,Sim,Sim,Sim,Usados,13 450,8092065450,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-ID8PDtSG.html,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Alfa Romeo,MiTo,Diesel,Março,2018,113 954 km,1 248 cm3,95 cv,Utilitário,Preto,,Manual,,3,5,,,18 Meses,Sim,,Sim,Usados,13 490,8091621438,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-urban-ID8PBCnc.html,1.3 JTDM Urban,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,SEAT,Ibiza,Gasolina,Maio,2015,83 000 km,1 198 cm3,70 cv,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,36 Meses,,,,Usados,10 990,8091621759,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-2-12v-style-ID8PBCsn.html,1.2 12V Style,Sim,Sim,,125 g/km,"7,10 l/100km","4,40 l/100km",Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Ford,Fiesta,Diesel,Outubro,2017,91 249 km,1 499 cm3,85 cv,Utilitário,Cinzento,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,14 490,8091279440,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-5-tdci-titanium-ID8PAbp6.html,1.5 TDCi Titanium,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Peugeot,208,Gasolina,Setembro,2015,114 904 km,1 199 cm3,110 cv,Citadino,Preto,,Manual,,5,5,,,18 Meses,,Sim,Sim,Usados,13 450,8091554567,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-gt-line-ID8PBkYD.html,1.2 PureTech GT Line,,Sim,,,,,Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Hyundai,i20,Diesel,Setembro,2017,173 000 km,1 120 cm3,75 cv,Citadino,Branco,,Manual,6,5,5,,Tracção dianteira,18 Meses,,,Sim,Usados,10 950,8090611959,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/hyundai-i20-1-1-crdi-comfort-ID8PxnLh.html,1.1 CRDi Comfort,Sim,Sim,Nacional,103 g/km,"4,90 l/100km","3,40 l/100km",Mostrar VIN,Sim,1,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,VW,Golf Variant,Diesel,Novembro,2017,235 605 km,1 598 cm3,115 cv,Carrinha,Cinzento,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,12 480,8091401854,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PAHfv.html,1.6 TDi Confortline,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Renault,Mégane Sport Tourer,Diesel,Dezembro,2018,222 875 km,1 461 cm3,110 cv,Carrinha,Azul,,Manual,,5,5,,,18 Meses,Sim,,Sim,Usados,13 990,8091736263,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-gt-line-ID8PC6fd.html,1.5 dCi GT Line,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Fiat,500,Gasolina,Maio,2017,112 400 km,1 242 cm3,69 cv,Utilitário,Branco,Metalizado,Manual,5,3,4,Classe 1,,18 Meses,,,,Usados,10 850,8092000659,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PDd1F.html,1.2 Lounge,,Sim,,,,,,,1,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
Profissional,Fiat,500C,Gasolina,Dezembro,2019,82 800 km,1 242 cm3,69 cv,Cabrio,Branco,,Manual,5,2,4,Classe 1,,18 Meses,,,Sim,Usados,13 750,8091901009,16 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500c-1-2-lounge-s-s-ID8PCN6p.html,1.2 Lounge S&S,Sim,Sim,Nacional,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-16
