Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Garantia de Stand (incl. no preço),Consumo Urbano,Condição,Preco,ID Anuncio,Data Anuncio,Link,Número de Mudanças,Lotação,Classe do veículo,Tracção,Inspecção válida até,Registo(s),Livro de Revisões completo,Não fumador,2º Chave,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,Origem,IVA Discriminado,IUC,Consumo Combinado,Garantia de Fábrica até,Sub-modelo,Autonomia Máxima,Autonomia,Capacidade da bateria,Bateria,Consumo,ou até,Site,Portugal,Data
Profissional,SEAT,Ibiza,SC 1.0 MPI Reference,Gasolina,Junho,2016,61 000 km,999 cm3,75 cv,Sim,Citadino,Azul,Mate,Manual,3,36 Meses,"6,50 l/100km",Usados,10 990,8091820835,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-sc-1-0-mpi-reference-ID8PCsfh.html,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,Partner,1.6 BlueHDi Outdoor,Diesel,Março,2017,199 000 km,1 560 cm3,100 cv,Sim,Carrinha,Branco,Mate,Manual,5,36 Meses,"4,30 l/100km",Usados,11 990,8091920737,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-partner-1-6-bluehdi-outdoor-ID8PCSeB.html,,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,MINI,Cooper,D Seven,Diesel,Maio,2015,125 000 km,1 496 cm3,116 cv,Sim,Citadino,Verde,Metalizado,Manual,3,18 Meses,"4,30 l/100km",Usados,14 950,8091631467,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mini-cooper-d-seven-ID8PBEYX.html,6,4,Classe 1,Tracção dianteira,8 Maio 2024,1,Sim,Sim,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Opel,Astra Sports Tourer,1.0 Business Edition S/S,Gasolina,Outubro,2016,125 000 km,999 cm3,105 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,5,18 Meses,"5,40 l/100km",Usados,9 900,8092085164,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-0-business-edition-s-s-ID8PDz0E.html,,5,Classe 1,Tracção dianteira,1 Outubro 2024,1,Sim,Sim,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Particular,Nissan,Juke,1.2 DIG-T Acenta,Gasolina,Novembro,2016,143 000 km,1 197 cm3,115 cv,,SUV / TT,Vermelho,,Manual,5,,"7,10 l/100km",Usados,10 900,8091957894,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-2-dig-t-acenta-ID8PD1TU.html,6,5,,Tracção dianteira,,,,Sim,Sim,128 g/km,"4,90 l/100km",Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Nissan,Micra,1.5 DCi Visia S/S,Diesel,Julho,2018,120 487 km,1 461 cm3,90 cv,,Citadino,Branco,,Manual,5,18 Meses,,Usados,13 990,8089397772,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-micra-1-5-dci-visia-s-s-ID8PshTC.html,,5,Classe 1,,,1,,,,,,,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Dacia,Sandero,1.5 dCi Stepway,Diesel,Maio,2018,57 781 km,1 461 cm3,90 cv,Sim,Citadino,Branco,,Manual,5,18 Meses,"3,80 l/100km",Usados,14 750,8092126113,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-1-5-dci-stepway-ID8PDJF7.html,5,5,Classe 1,Tracção dianteira,,1,Sim,Sim,Sim,98 g/km,"3,80 l/100km",,Sim,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Toyota,Aygo,1.0 Power Pack+AC,Gasolina,Março,2014,90 000 km,998 cm3,68 cv,Sim,Citadino,Branco,Metalizado,Manual,3,18 Meses,"5,30 l/100km",Usados,8 150,8088120623,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/toyota-aygo-1-0-power-pack-ac-ID8PmWEr.html,,4,Classe 1,,,,,Sim,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Honda,Civic Tourer,1.6 i-DTEC Sport,Diesel,Março,2015,210 000 km,1 597 cm3,120 cv,Sim,Carrinha,Verde,,Manual,5,18 Meses,"4,30 l/100km",Usados,11 750,8092073113,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/honda-civic-tourer-1-6-i-dtec-sport-ID8PDwSh.html,6,5,,Tracção dianteira,,1,Sim,Sim,Sim,103 g/km,"3,70 l/100km",Mostrar VIN,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,Novembro,2015,128 000 km,1 461 cm3,110 cv,Sim,SUV / TT,Preto,Metalizado,Manual,5,18 Meses,"4,40 l/100km",Usados,14 200,8090959849,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-juke-1-5-dci-tekna-premium-ID8PyQgp.html,6,5,Classe 1,Tracção dianteira,,,,Sim,Sim,104 g/km,"3,80 l/100km",,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,308,1.2 VTi Active,Gasolina,Março,2014,102 000 km,1 199 cm3,82 cv,Sim,Utilitário,Preto,Metalizado,Manual,5,18 Meses,"6,30 l/100km",Usados,12 750,8088120682,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-2-vti-active-ID8PmWFo.html,5,5,Classe 1,,,,,Sim,Sim,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Smart,ForTwo Coupé,1.0 Proxy 71,Gasolina,Novembro,2014,144 000 km,999 cm3,71 cv,Sim,Citadino,Branco,,Manual,3,18 Meses,,Usados,9 500,8090093466,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-proxy-71-ID8PwcSu.html,,2,,Tracção dianteira,3 Novembro 2024,,,,,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Peugeot,108,1.0 VTi Allure,Gasolina,Fevereiro,2015,110 000 km,998 cm3,69 cv,Sim,Citadino,Branco,,Manual,5,18 Meses,,Usados,9 500,8090093407,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-108-1-0-vti-allure-ID8PwcRx.html,,4,,Tracção dianteira,10 Fevereiro 2025,,Sim,Sim,Sim,,,,,Nacional,,,,,,,,,,,,StandVirtual,Yes,2024-03-27
Profissional,Renault,Clio,1.5 dCi Limited EDition,Diesel,Julho,2018,115 000 km,1 461 cm3,90 cv,Sim,Citadino,Preto,Metalizado,Manual,5,18 Meses,,Usados,14 250,8088284056,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-limited-edition-ID8PnCas.html,,5,,Tracção dianteira,24 Julho 2024,,Sim,Sim,Sim,,,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-03-27
