Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,IUC,Não fumador,2º Chave,Consumo Urbano,Inspecção válida até,Consumo Extra Urbano,VIN,Garantia de Fábrica até,Consumo Combinado,Sub-modelo,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,ou até,Consumo,Site,Portugal,Data
Profissional,Renault,Clio,1.5 Blue dCi RS Line,Diesel,Dezembro,2019,92 629 km,1 461 cm3,85 cv,Sim,Sim,Sim,Utilitário,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,111 g/km,18 Meses,1,Nacional,Sim,Usados,14 790,8091901250,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-blue-dci-rs-line-ID8PCNai.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,VW,Golf Variant,1.6 TDi Confortline,Diesel,Janeiro,2020,184 101 km,1 598 cm3,115 cv,Sim,Sim,Sim,Carrinha,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,130 g/km,18 Meses,1,Nacional,Sim,Usados,14 490,8091900603,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-confortline-ID8PCMZR.html,Metalizado,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,308 SW,1.5 BlueHDi Style,Diesel,Julho,2019,106 596 km,1 499 cm3,130 cv,Sim,Sim,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Usados,14 900,8090477361,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-ID8PvOKl.html,Metalizado,149 €,Sim,Sim,"4,40 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,308 SW,BlueHDi 100 Stop & Start Business-Line,Diesel,Junho,2016,182 000 km,1 560 cm3,99 cv,,,,Carrinha,Azul,Manual,5,5,5,Classe 1,Tracção dianteira,94 g/km,18 Meses,,Importado,,Usados,11 500,8090225337,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-bluehdi-100-stop-start-business-line-ID8PwLbr.html,Metalizado,,Sim,Sim,"4,30 l/100km",1 Julho 2024,"3,20 l/100km",Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Fiat,500,1.0 Hybrid Lounge,Gasolina,Dezembro,2020,61 138 km,999 cm3,70 cv,,,,Citadino,Cinzento,Manual,5,3,,,Tracção dianteira,129 g/km,36 Meses,,,,Usados,12 000,8091151555,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-0-hybrid-lounge-ID8PzE8r.html,,,,,"5,90 l/100km",,"4,40 l/100km",Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Peugeot,208,1.2 VTi Active,Gasolina,Março,2014,100 000 km,1 199 cm3,82 cv,,,Sim,Citadino,Branco,Manual,5,5,5,Classe 1,,,18 Meses,,Nacional,,Usados,9 990,8091490713,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-vti-active-ID8PB4mJ.html,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Mazda,3,SKYACTIV-D 150 Sports-Line,Diesel,Abril,2015,205 000 km,2 184 cm3,150 cv,Sim,,Sim,Utilitário,Azul,Manual,6,5,,,,,18 Meses,,,,Usados,12 300,8092097495,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mazda-3-skyactiv-d-150-sports-line-ID8PDCdx.html,Pérola,,Sim,Sim,"4,90 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Mitsubishi,Space Star,1.2 Intense Connect Edition,Gasolina,Abril,2023,11 058 km,1 193 cm3,71 cv,,,Sim,Pequeno citadino,Vermelho,Manual,,5,5,Classe 1,Tracção dianteira,116 g/km,18 Meses,1,Nacional,Sim,Usados,14 499,8091521681,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/mitsubishi-space-star-1-2-intense-connect-edition-ID8PBcqd.html,Metalizado,,Sim,Sim,"5,30 l/100km",,"4,40 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Citroën,C1 Airscape,1.0 VTi Shine,Gasolina,Julho,2021,41 395 km,998 cm3,72 cv,,Sim,Sim,Cabrio,Branco,Manual,5,5,4,Classe 1,Tracção dianteira,,18 Meses,,Importado,Sim,Usados,13 480,8090151740,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-airscape-1-0-vti-shine-ID8Pws2o.html,Metalizado,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-03-29
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Innovation S/S,Diesel,Março,2018,130 377 km,1 598 cm3,136 cv,Sim,Sim,Sim,Carrinha,Preto,Manual,6,5,5,Classe 1,Tracção dianteira,101 g/km,18 Meses,1,Nacional,Sim,Usados,12 990,8092072234,29 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-innovation-s-s-ID8PDwE6.html,,,,Sim,,,,Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-03-29
