Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Emissões CO2,Garantia de Stand (incl. no preço),Origem,Consumo Urbano,Consumo Extra Urbano,Consumo Combinado,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,IVA Discriminado,Possibilidade de financiamento,Tipo de cor,Número de Mudanças,Classe do veículo,Tracção,Registo(s),2º Chave,Inspecção válida até,Não fumador,Livro de Revisões completo,Sub-modelo,Autonomia,Consumo,Capacidade da bateria,Bateria,Autonomia Máxima,IUC,Garantia de Fábrica até,ou até,Site,Portugal,Data
Profissional,Renault,Captur,1.5 dCi Zen,Diesel,Junho,2017,48 735 km,1 461 cm3,90 cv,Sim,Utilitário,Cinzento,Manual,5,5,95 g/km,18 Meses,Nacional,4 l/100km,"3,40 l/100km","3,60 l/100km",Usados,Mostrar VIN,14 990,8092092193,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-zen-ID8PDAQ1.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,Tipo Station Wagon,1.3 M-Jet Lounge,Diesel,Fevereiro,2020,91 926 km,1 248 cm3,95 cv,Sim,Carrinha,Cinzento,Manual,5,5,,18 Meses,Nacional,,,"4,60 l/100km",Usados,Mostrar VIN,13 890,8092088207,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-station-wagon-1-3-m-jet-lounge-ID8PDzNJ.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Skoda,Fabia,1.0 MPI Ambition,Gasolina,Agosto,2022,57 781 km,999 cm3,80 cv,Sim,Utilitário,Branco,Manual,5,5,,18 Meses,Nacional,,,"5,10 l/100km",Usados,Mostrar VIN,14 390,8092100121,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/skoda-fabia-1-0-mpi-ambition-ID8PDCTT.html,Sim,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Opel,Astra Sports Tourer,1.6 CDTI Dynamic Sport,Diesel,Abril,2018,77 121 km,1 598 cm3,110 cv,Sim,Carrinha,Preto,Manual,5,5,95 g/km,18 Meses,Nacional,4 l/100km,"3,30 l/100km","3,60 l/100km",Usados,Mostrar VIN,14 390,8092100122,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-astra-sports-tourer-1-6-cdti-dynamic-sport-ID8PDCTU.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,500,1.3 16V MJ Lounge S&S,Diesel,Agosto,2016,93 000 km,1 248 cm3,95 cv,,Citadino,Bege,Manual,3,4,95 g/km,18 Meses,Nacional,"4,70 l/100km","3,10 l/100km",,Usados,Mostrar VIN,12 500,8092022122,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-3-16v-mj-lounge-s-s-ID8PDiBQ.html,,Sim,Pérola,5,Classe 1,Tracção dianteira,1,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,SEAT,Ibiza,1.0 Style,Gasolina,Março,2018,119 001 km,999 cm3,80 cv,Sim,Utilitário,Cinzento,Manual,5,,,18 Meses,Nacional,,,,Usados,Mostrar VIN,11 900,8091920683,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-1-0-style-ID8PCSdJ.html,,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Citroën,C3,1.5 BlueHDi Shine,Diesel,Maio,2019,85 775 km,1 499 cm3,102 cv,Sim,Utilitário,Branco,Manual,5,5,97 g/km,18 Meses,,"4,30 l/100km","3,30 l/100km","3,80 l/100km",Usados,Mostrar VIN,14 490,8091920679,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-5-bluehdi-shine-ID8PCSdF.html,,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Peugeot,208,1.2 PureTech Style,Gasolina,Março,2017,62 722 km,1 199 cm3,82 cv,Sim,Utilitário,Branco,Manual,5,5,104 g/km,18 Meses,,"5,50 l/100km","3,90 l/100km","4,50 l/100km",Usados,Mostrar VIN,12 900,8091920682,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-style-ID8PCSdI.html,,Sim,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Clio,,Gasolina,Dezembro,2020,55 106 km,898 cm3,76 cv,Sim,Carrinha,Cinzento,Manual,5,5,,18 Meses,Nacional,,,"5,20 l/100km",Usados,Mostrar VIN,13 740,8092112213,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-ID8PDG2W.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Dacia,Logan MCV,0.9 TCe SL Adventure,Gasolina,Dezembro,2020,38 726 km,898 cm3,90 cv,Sim,Carrinha,Preto,Manual,5,7,,18 Meses,Nacional,,,"6,40 l/100km",Usados,Mostrar VIN,14 490,8092112211,31 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-sl-adventure-ID8PDG2T.html,Sim,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
