Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Condição,Preco,ID Anuncio,Data Anuncio,Link,Inspecção válida até,2º Chave,Consumo Urbano,Consumo Extra Urbano,VIN,Não fumador,Consumo Combinado,IUC,Bateria,Sub-modelo,Garantia de Fábrica até,Autonomia Máxima,Autonomia,Consumo,Capacidade da bateria,ou até,Site,Portugal,Data
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Intens,Diesel,Outubro,2018,230 308 km,1 461 cm3,110 cv,Sim,Sim,Sim,Carrinha,Branco,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,123 g/km,18 Meses,1,Nacional,Sim,Usados,11 990,8091673585,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-intens-ID8PBPVh.html,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Limited,Diesel,Fevereiro,2016,280 000 km,1 461 cm3,110 cv,Sim,,Sim,Carrinha,Preto,Metalizado,Manual,6,5,5,Classe 1,Tracção dianteira,95 g/km,18 Meses,1,Nacional,,Usados,6 850,8092158077,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-ID8PDRYF.html,28 Fevereiro 2025,Sim,"4,20 l/100km","3,40 l/100km",Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Ford,Fiesta,,GPL,Janeiro,2018,102 845 km,1 084 cm3,85 cv,,,Sim,Citadino,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,,Usados,13 950,8091104102,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-ID8PzrN4.html,31 Janeiro 2024,Sim,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,500,1.2 Lounge,Gasolina,Fevereiro,2016,115 385 km,1 242 cm3,69 cv,,,Sim,Citadino,Cinzento,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,,Usados,11 750,8089702335,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8Ptz7W.html,18 Fevereiro 2024,Sim,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,VW,Golf,1.2 TSi BlueMotion Lounge,Gasolina,Dezembro,2016,129 000 km,1 197 cm3,110 cv,,,Sim,Utilitário,Branco,,Manual,6,5,5,Classe 1,Tracção dianteira,114 g/km,36 Meses,,,,Usados,14 990,8091568962,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-1-2-tsi-bluemotion-lounge-ID8PBoIO.html,,,"6,10 l/100km","4,20 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Dezembro,2014,129 000 km,1 461 cm3,90 cv,,,,SUV / TT,Cinzento,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,139 g/km,18 Meses,,,Sim,Usados,12 500,8091791776,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PCkGA.html,,Sim,"4,60 l/100km","3,90 l/100km",,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,500,1.2 Lounge,Gasolina,Novembro,2016,119 000 km,1 242 cm3,69 cv,,,Sim,Pequeno citadino,Branco,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,,18 Meses,,,,Usados,10 990,8088496477,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PowqB.html,,Sim,"5,90 l/100km",,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Citroën,C3,1.2 PureTech Shine,Gasolina,Dezembro,2017,89 000 km,1 199 cm3,110 cv,,,,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,121 g/km,18 Meses,1,,Sim,Usados,12 500,8092065996,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c3-1-2-puretech-shine-ID8PDu1u.html,,Sim,,,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,500,1.3 16V Multijet S&S Lounge,Diesel,Dezembro,2017,107 000 km,1 248 cm3,95 cv,,,Sim,Citadino,Preto,Metalizado,Manual,5,3,4,Classe 1,Tracção dianteira,99 g/km,18 Meses,2,Nacional,,Usados,10 790,8091768159,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-3-16v-multijet-s-s-lounge-ID8PCexF.html,6 Dezembro 2025,Sim,"4,10 l/100km",,,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Dacia,Sandero,0.9 TCe Stepway,Gasolina,Outubro,2015,78 334 km,898 cm3,90 cv,Sim,,Sim,SUV / TT,Preto,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,,18 Meses,1,,Sim,Usados,11 900,8092016258,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-sandero-0-9-tce-stepway-ID8PDh5g.html,1 Outubro 2024,Sim,,,,Sim,5 l/100km,,,,,,,,,,StandVirtual,Yes,2024-04-01
Particular,Audi,A1 Sportback,1.6 TDI Sport,Diesel,Janeiro,2014,165 172 km,1 598 cm3,90 cv,,,,Citadino,Cinzento,Metalizado,Manual,5,5,5,,Tracção dianteira,99 g/km,,,,Sim,Usados,14 500,8092105149,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a1-sportback-1-6-tdi-sport-ID8PDEcZ.html,,Sim,"4,40 l/100km","3,40 l/100km",Mostrar VIN,Sim,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Fiat,500,1.2 Lounge,Gasolina,Setembro,2016,94 810 km,1 242 cm3,69 cv,,,Sim,Citadino,Preto,,Manual,,3,4,,,,18 Meses,,,,Usados,9 890,8091680686,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-2-lounge-ID8PBRMO.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Citroën,C4 Cactus,1.2 PureTech Feel,Gasolina,Abril,2018,98 785 km,1 199 cm3,82 cv,,,Sim,Sedan,Preto,,Manual,,5,5,Classe 1,,,18 Meses,,,,Usados,11 990,8091472106,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c4-cactus-1-2-puretech-feel-ID8PAZvC.html,,Sim,"5,60 l/100km",4 l/100km,,,"4,60 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Opel,Corsa,,Gasolina,Janeiro,2017,87 080 km,1 398 cm3,90 cv,,,Sim,Citadino,Cinzento,,Automática,,5,5,Classe 1,,,18 Meses,,,,Usados,11 990,8091680670,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-ID8PBRMy.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,SEAT,Ibiza,,Gasolina,Maio,2021,65 795 km,998 cm3,110 cv,,,Sim,Citadino,Preto,,Manual,,5,5,,,,18 Meses,,,,Usados,14 980,8091394908,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/seat-ibiza-ID8PAFru.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Peugeot,2008,,Gasolina,Abril,2019,65 200 km,1 198 cm3,82 cv,,,Sim,SUV / TT,Cinzento,,Manual,,5,5,,,,18 Meses,,,,Usados,13 999,8091589040,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-ID8PBtVE.html,,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Renault,Clio,1.0 TCe Intens,Gasolina,Julho,2019,116 000 km,999 cm3,100 cv,,,Sim,Citadino,Branco,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,118 g/km,18 Meses,1,,Sim,Usados,12 890,8090611319,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-0-tce-intens-ID8PxnAX.html,1 Julho 2025,Sim,,,Mostrar VIN,Sim,,"108,32 €",,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Dacia,Logan MCV,0.9 TCe Stepway,Gasolina,Novembro,2017,100 000 km,898 cm3,90 cv,,,Sim,Carrinha,Prateado,Metalizado,Manual,5,5,5,Classe 1,Tracção dianteira,115 g/km,18 Meses,1,,Sim,Usados,10 980,8090799260,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-logan-mcv-0-9-tce-stepway-ID8Pyaug.html,20 Novembro 2024,Sim,"6,60 l/100km",,Mostrar VIN,Sim,,"108,32 €",,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Smart,ForFour,EQ passion edition nightsky,Eléctrico,Novembro,2018,62 800 km,,56 cv,,,,Citadino,Preto,,Automática,1,5,,Classe 1,Tracção traseira,,36 Meses,,,,Usados,11 950,8091912157,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-eq-passion-edition-nightsky-ID8PCQ0d.html,,,,,,,,,Própria,,,,,,,,StandVirtual,Yes,2024-04-01
Particular,Dacia,Lodgy,1.5 dCi Confort 7L,Diesel,Novembro,2015,240 000 km,1 461 cm3,90 cv,,,,Monovolume,Cinzento,Metalizado,Manual,6,5,7,,Tracção dianteira,105 g/km,,,Importado,,Usados,8 750,8092127208,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-lodgy-1-5-dci-confort-7l-ID8PDJVM.html,30 Novembro 2024,,"4,30 l/100km","3,80 l/100km",Mostrar VIN,Sim,,150 €,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Kia,Rio,,Diesel,Junho,2014,237 000 km,1 120 cm3,75 cv,,,Sim,Utilitário,Branco,,Manual,6,3,2,Classe 1,,94 g/km,36 Meses,1,Nacional,,Usados,5 900,8092105144,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/kia-rio-ID8PDEcU.html,10 Junho 2024,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
Profissional,Citroën,C1,1.0 VTi Feel ETG,Gasolina,Março,2019,77 300 km,998 cm3,72 cv,Sim,,Sim,Citadino,Cinzento,Metalizado,Automática,5,5,4,Classe 1,Tracção dianteira,115 g/km,18 Meses,,Nacional,,Usados,11 900,8092033753,1 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c1-1-0-vti-feel-etg-ID8PDlDr.html,,Sim,"4,90 l/100km","3,80 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2024-04-01
