Anunciante,Marca,Modelo,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Bateria,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Nº de portas,Lotação,Emissões CO2,Garantia de Stand (incl. no preço),Condição,Preco,ID Anuncio,Data Anuncio,Link,Versão,Número de Mudanças,Origem,Tipo de cor,Classe do veículo,Tracção,IUC,Não fumador,2º Chave,Livro de Revisões completo,IVA Discriminado,Registo(s),Consumo Urbano,Consumo Extra Urbano,VIN,Inspecção válida até,Garantia de Fábrica até,ou até,Capacidade da bateria,Autonomia Máxima,Sub-modelo,Autonomia,Consumo Combinado,Consumo,Site,Portugal,Data
Profissional,Renault,Captur,Gasolina,Junho,2014,94 612 km,1 197 cm3,120 cv,Própria,Sim,Sim,SUV / TT,Branco,Automática,5,5,125 g/km,18 Meses,Usados,11 900,8092126960,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-ID8PDJSM.html,,,,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Fiat,500,Diesel,Maio,2018,98 640 km,1 248 cm3,95 cv,Própria,Sim,Sim,Citadino,Preto,Manual,3,4,89 g/km,18 Meses,Usados,13 750,8092126958,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500-1-3-mj-lounge-s-s-ID8PDJSK.html,1.3 MJ Lounge S&S,6,Nacional,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,208,Gasolina,Março,2016,138 456 km,1 199 cm3,110 cv,,,Sim,Utilitário,Branco,Manual,3,5,99 g/km,18 Meses,Usados,13 490,8087935615,27 de março de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-ID8Pm9vr.html,1.2 PureTech Allure,5,Nacional,Pérola,Classe 1,Tracção dianteira,"108,32 €",Sim,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,208,Gasolina,Janeiro,2016,110 389 km,1 199 cm3,110 cv,,,Sim,Coupé,Vermelho,Manual,3,5,,18 Meses,Usados,13 890,8090803648,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-gt-line-ID8PybD2.html,1.2 PureTech GT Line,,,,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,308 SW,Diesel,Setembro,2017,120 000 km,1 560 cm3,120 cv,,Sim,Sim,Carrinha,Preto,Manual,5,5,96 g/km,18 Meses,Usados,10 999,8090878058,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-6-bluehdi-allure-ID8PyuZc.html,1.6 BlueHDi Allure,6,Nacional,,Classe 1,Tracção dianteira,,Sim,Sim,Sim,Sim,1,"4,40 l/100km","3,20 l/100km",Mostrar VIN,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Peugeot,208,Gasolina,Novembro,2016,89 526 km,999 cm3,68 cv,,,,Citadino,Cinzento,Manual,5,5,99 g/km,18 Meses,Usados,11 999,8090822258,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-0-vti-active-ID8Pygtc.html,1.0 VTi Active,5,,,,Tracção dianteira,,Sim,Sim,Sim,,,"5,20 l/100km","3,70 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-04-03
Particular,Renault,Mégane Sport Tourer,Diesel,Outubro,2014,185 000 km,1 598 cm3,130 cv,,Sim,,Carrinha,Preto,Manual,5,5,104 g/km,,Usados,8 490,8091867183,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-6-dci-bose-edition-ss-ID8PCEiP.html,1.6 dCi Bose Edition SS,6,Nacional,Metalizado,Classe 1,Tracção dianteira,,Sim,Sim,Sim,,2,"4,80 l/100km","3,70 l/100km",Mostrar VIN,23 Outubro 2025,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Alfa Romeo,MiTo,Diesel,Agosto,2018,35 000 km,1 248 cm3,95 cv,,Sim,Sim,Utilitário,Vermelho,Manual,3,5,,18 Meses,Usados,13 999,8088308687,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/alfa-romeo-mito-1-3-jtdm-urban-ID8PnIzJ.html,1.3 JTDM Urban,5,Nacional,,Classe 1,Tracção dianteira,,,Sim,,Sim,1,"4,30 l/100km",,,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Dacia,Duster,Diesel,Novembro,2016,139 872 km,1 461 cm3,90 cv,,,,SUV / TT,Branco,Manual,5,5,123 g/km,18 Meses,Usados,14 899,8089914786,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/dacia-duster-1-5-dci-tour-ID8Pusoy.html,1.5 dCi Tour,6,,Metalizado,,Tracção dianteira,,Sim,Sim,Sim,,,"5,20 l/100km","4,50 l/100km",,,,,,,,,,,StandVirtual,Yes,2024-04-03
Profissional,Ford,Fiesta,Gasolina,Abril,2021,51 000 km,998 cm3,95 cv,,Sim,Sim,Citadino,Cinzento,Manual,5,5,115 g/km,36 Meses,Usados,14 480,8092100386,3 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-fiesta-1-0-ecoboost-connected-ID8PDCYa.html,1.0 EcoBoost Connected,6,Nacional,,,Tracção dianteira,,Sim,Sim,Sim,,1,5 l/100km,"3,60 l/100km",Mostrar VIN,,20 Abril 2027,150 000 km,,,,,,,StandVirtual,Yes,2024-04-03
