Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Nº de portas,Lotação,Classe do veículo,Garantia de Stand (incl. no preço),Registo(s),Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,Link,Origem,Consumo Urbano,Tracção,Inspecção válida até,Número de Mudanças,Emissões CO2,Consumo Extra Urbano,VIN,Valor Fixo,IVA Discriminado,Livro de Revisões completo,Consumo Combinado,Garantia de Fábrica até,Autonomia,Capacidade da bateria,Bateria,Autonomia Máxima,ou até,IUC,Sub-modelo,Consumo,Site,Portugal,Data
Profissional,Ford,Focus SW,1.0 EcoBoost Business,Gasolina,Fevereiro,2018,169 536 km,998 cm3,100 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,1,Sim,Sim,Usados,9 990,8092127221,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-focus-sw-1-0-ecoboost-business-ID8PDJVZ.html,,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Mégane Sport Tourer,1.5 Blue dCi Limited,Diesel,Março,2019,108 173 km,1 461 cm3,115 cv,Sim,Carrinha,Preto,,Manual,5,5,Classe 1,18 Meses,1,Sim,Sim,Usados,13 750,8092127220,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-blue-dci-limited-ID8PDJVY.html,Nacional,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Peugeot,308,1.6 BlueHDi Allure J17,Diesel,Dezembro,2015,184 000 km,1 560 cm3,120 cv,,Carrinha,Preto,Metalizado,Manual,5,,,,,,,Usados,10 700,8091852746,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-6-bluehdi-allure-j17-ID8PCAxY.html,,"3,60 l/100km",,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,5008,1.6 BlueHDi Style EAT6,Diesel,Abril,2016,110 850 km,1 560 cm3,120 cv,Sim,Monovolume,Cinzento,,Automática,5,7,,18 Meses,,,,Usados,14 990,8091468296,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-6-bluehdi-style-eat6-ID8PAYxa.html,,,Tracção dianteira,1 Abril 2024,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Particular,Renault,Grand Scénic,1.5 dCi Bose Edition SS,Diesel,Outubro,2015,248 000 km,1 461 cm3,110 cv,,Monovolume,Cinzento,,Manual,5,7,,,,,,Usados,9 750,8091868300,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-grand-scnic-1-5-dci-bose-edition-ss-ID8PCEAQ.html,,"4,50 l/100km",Tracção dianteira,,6,105 g/km,"3,90 l/100km",Mostrar VIN,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,308,1.5 BlueHDi Style,Diesel,Abril,2020,96 000 km,1 499 cm3,102 cv,Sim,Utilitário,Preto,Metalizado,Manual,5,5,,18 Meses,,Sim,Sim,Usados,14 990,8091835756,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-1-5-bluehdi-style-ID8PCv7V.html,Nacional,,,,6,,,Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Twingo,,Gasolina,Junho,2017,63 600 km,999 cm3,70 cv,Sim,Citadino,Branco,,Manual,5,4,,36 Meses,,,,Usados,10 900,8090545165,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-twingo-ID8Px6nX.html,,,,,,95 g/km,,Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Peugeot,308 SW,1.5 BlueHDi Style J17,Diesel,Novembro,2018,192 013 km,1 499 cm3,130 cv,Sim,Carrinha,Cinzento,Metalizado,Manual,5,5,Classe 1,18 Meses,,Sim,Sim,Usados,12 750,8089898516,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-308-sw-1-5-bluehdi-style-j17-ID8Puoa8.html,,"4,30 l/100km",Tracção dianteira,,6,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,Fevereiro,2019,134 000 km,1 461 cm3,90 cv,Sim,Citadino,Vermelho,Metalizado,Manual,5,5,,18 Meses,,Sim,Sim,Usados,14 890,8091922258,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-captur-1-5-dci-exclusive-ID8PCSD8.html,Nacional,"4,60 l/100km",Tracção dianteira,,5,139 g/km,"3,90 l/100km",,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
Profissional,Ford,EcoSport,1.0 EcoBoost Titanium,Gasolina,Maio,2016,90 000 km,998 cm3,125 cv,Sim,SUV / TT,Branco,Metalizado,Manual,5,5,,18 Meses,,Sim,Sim,Usados,11 990,8089943904,7 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/ford-ecosport-1-0-ecoboost-titanium-ID8PuzYc.html,Nacional,"6,60 l/100km",Tracção dianteira,,5,125 g/km,"4,70 l/100km",Mostrar VIN,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-07
