Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Inspecção válida até,Garantia de Stand (incl. no preço),Registo(s),Origem,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Emissões CO2,Livro de Revisões completo,Não fumador,2º Chave,Consumo Urbano,VIN,IUC,Consumo Extra Urbano,Autonomia Máxima,IVA Discriminado,Consumo Combinado,Autonomia,Bateria,Garantia de Fábrica até,Capacidade da bateria,Consumo,ou até,Site,Portugal,Data
Profissional,BMW,216 Active Tourer,Série 2,d Advantage,Diesel,Novembro,2015,195 430 km,1 496 cm3,116 cv,Sim,Sim,Monovolume,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,25 Novembro 2024,18 Meses,2,Importado,Usados,13 950,8092037922,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/bmw-216-active-tourer-d-advantage-ID8PDmIG.html,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Opel,Karl,,1.0 Rocks,Gasolina,Fevereiro,2019,18 750 km,999 cm3,73 cv,,,Citadino,Cinzento,Manual,5,5,5,Classe 1,Tracção dianteira,28 Fevereiro 2025,18 Meses,1,Nacional,Usados,12 500,8088903555,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-karl-1-0-rocks-ID8Pqdkn.html,Metalizado,118 g/km,Sim,Sim,Sim,6 l/100km,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Fiat,Tipo,,1.3 M-Jet Lounge,Diesel,Julho,2016,78 496 km,1 248 cm3,95 cv,Sim,Sim,Sedan,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,26 Julho 2024,18 Meses,1,Nacional,Usados,11 490,8091933249,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-ID8PCWup.html,Metalizado,120 g/km,,Sim,Sim,"5,30 l/100km",Mostrar VIN,"158,29 €","3,60 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Smart,ForTwo Coupé,,1.0 71,Gasolina,Dezembro,2019,26 901 km,999 cm3,71 cv,Sim,Sim,Pequeno citadino,Preto,Manual,,3,2,,,,18 Meses,,Nacional,Usados,11 990,8092087804,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-fortwo-coup-1-0-71-ID8PDzHe.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Smart,ForFour,,0.9 Passion 90,Gasolina,Outubro,2017,79 751 km,898 cm3,90 cv,Sim,,Citadino,Vermelho,Manual,,5,4,,,,18 Meses,,Nacional,Usados,10 990,8092224526,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/smart-forfour-0-9-passion-90-ID8PE9gq.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Renault,Mégane Sport Tourer,,1.5 dCi Limited EDC,Diesel,Outubro,2017,119 000 km,1 461 cm3,110 cv,Sim,Sim,Carrinha,Cinzento,Automática,,5,5,,,,18 Meses,,Importado,Usados,14 990,8091855008,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-sport-tourer-1-5-dci-limited-edc-ID8PCB8s.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Renault,Mégane,,1.5 dCi Zen,Diesel,Agosto,2018,69 742 km,1 461 cm3,90 cv,Sim,Sim,Citadino,Cinzento,Manual,,5,5,,,,18 Meses,,Nacional,Usados,13 990,8091817753,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-5-dci-zen-ID8PCrrz.html,,,,,,,Mostrar VIN,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Citroën,C-Elysée,,1.5 BlueHDi Shine,Diesel,Novembro,2019,217 000 km,1 499 cm3,102 cv,Sim,Sim,Sedan,Cinzento,Manual,6,4,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,Usados,10 990,8092092143,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/citron-c-elyse-1-5-bluehdi-shine-ID8PDAPd.html,Metalizado,116 g/km,,Sim,Sim,"4,80 l/100km",,147 €,"3,40 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Renault,Clio,,1.5 dCi Zen,Diesel,Julho,2017,92 417 km,1 461 cm3,90 cv,,Sim,Citadino,Cinzento,Manual,5,5,5,,Tracção dianteira,,18 Meses,,Nacional,Usados,14 750,8091607742,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PByOi.html,Metalizado,82 g/km,Sim,Sim,Sim,"5,80 l/100km",Mostrar VIN,,"3,80 l/100km",,,,,,,,,,StandVirtual,Yes,2024-04-10
Profissional,Peugeot,2008,,1.2 VTi Active,Gasolina,Novembro,2015,135 776 km,1 199 cm3,82 cv,,Sim,SUV / TT,Branco,Manual,,5,5,Classe 1,,,18 Meses,1,,Usados,10 999,8091405425,10 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-2-vti-active-ID8PAIb7.html,,,,Sim,Sim,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-10
