Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Registo(s),Origem,Livro de Revisões completo,2º Chave,Consumo Urbano,Consumo Extra Urbano,Condição,VIN,Preco,ID Anuncio,Data Anuncio,Link,Valor Fixo,Garantia de Stand (incl. no preço),Possibilidade de financiamento,Tipo de cor,Não fumador,Inspecção válida até,Autonomia,Consumo,Capacidade da bateria,Bateria,IVA Discriminado,IUC,Autonomia Máxima,Sub-modelo,Consumo Combinado,Garantia de Fábrica até,ou até,Site,Portugal,Data
Particular,VW,Golf Variant,1.6 TDi R-Line,Diesel,Maio,2016,220 746 km,1 598 cm3,110 cv,Carrinha,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,104 g/km,2,Nacional,Sim,Sim,"4,70 l/100km","3,60 l/100km",Usados,Mostrar VIN,9 950,8092186647,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/vw-golf-variant-1-6-tdi-r-line-ID8PDZpt.html,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Mégane,ENERGY TCe 130 BOSE EDITION,Gasolina,Março,2014,116 439 km,1 197 cm3,132 cv,Utilitário,Castanho,Manual,6,5,5,Classe 1,,124 g/km,1,Importado,,,,,Usados,Mostrar VIN,10 900,8092030738,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-mgane-energy-tce-130-bose-edition-ID8PDkQO.html,Sim,18 Meses,,,,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,500X,1.6 MJ Cross S&S,Diesel,Abril,2015,245 000 km,1 598 cm3,120 cv,Citadino,Cinzento,Manual,,5,5,Classe 1,,,2,Nacional,,Sim,,,Usados,,9 990,8089462593,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-500x-1-6-mj-cross-s-s-ID8PsyL7.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Audi,A3 Sportback,1.6 TDI Attraction,Diesel,Novembro,2015,235 250 km,1 598 cm3,110 cv,Citadino,Preto,Manual,,5,5,Classe 1,,,2,Nacional,,Sim,,,Usados,,13 500,8089863758,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-1-6-tdi-attraction-ID8Puf7v.html,Sim,18 Meses,Sim,,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Audi,A1,1.6 TDI Sport,Diesel,Junho,2015,153 150 km,1 598 cm3,116 cv,Citadino,Preto,Manual,,3,4,Classe 1,,,2,,,Sim,,,Usados,,13 500,8090967790,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/audi-a1-1-6-tdi-sport-ID8PySku.html,Sim,18 Meses,Sim,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Renault,Clio,1.5 dCi Zen,Diesel,Julho,2019,80 605 km,1 461 cm3,75 cv,Citadino,Preto,Manual,5,5,5,Classe 1,Tracção dianteira,128 g/km,,Nacional,Sim,Sim,"4,40 l/100km","3,60 l/100km",Usados,,13 600,8091848843,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/renault-clio-1-5-dci-zen-ID8PCzx1.html,Sim,18 Meses,Sim,Metalizado,Sim,2 Julho 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Fiat,Tipo,1.3 M-Jet Lounge J17,Diesel,Junho,2018,109 655 km,1 248 cm3,95 cv,Utilitário,Cinzento,Manual,6,5,5,Classe 1,Tracção dianteira,,1,Nacional,Sim,Sim,,,Usados,,13 200,8092091356,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/fiat-tipo-1-3-m-jet-lounge-j17-ID8PDACv.html,,18 Meses,Sim,Metalizado,Sim,8 Junho 2024,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Particular,Peugeot,Partner,,Diesel,Outubro,2014,121 000 km,1 560 cm3,92 cv,Carrinha,Branco,Manual,6,5,3,Classe 1,Tracção dianteira,133 g/km,,Nacional,,Sim,,,Usados,Mostrar VIN,13 900,8089711549,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/peugeot-partner-ID8PtBvx.html,,,,Metalizado,Sim,,,,,,,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Nissan,Leaf,Tekna Two Tone+ProPilot Park,Eléctrico,Novembro,2018,109 500 km,,150 cv,Utilitário,Preto,Automática,1,5,5,Classe 1,Tracção dianteira,,1,Nacional,Sim,Sim,,,Usados,,15 000,8091573290,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/nissan-leaf-tekna-two-tone-propilot-park-ID8PBpQC.html,Sim,18 Meses,Sim,Metalizado,Sim,15 Novembro 2024,270 km,"20,60 kWh/100km",40 kWh,Própria,Sim,,,,,,,StandVirtual,Yes,2024-04-14
Profissional,Opel,Corsa,1.3 CDTi Business Edition,Diesel,Dezembro,2018,117 950 km,1 248 cm3,95 cv,Citadino,Prateado,Manual,5,5,5,Classe 1,Tracção dianteira,,1,Nacional,Sim,Sim,,,Usados,,10 800,8092190792,14 de abril de 2024 ,https://www.standvirtual.com/carros/anuncio/opel-corsa-1-3-cdti-business-edition-ID8PE0uk.html,Sim,18 Meses,Sim,Metalizado,Sim,3 Dezembro 2024,,,,,Sim,,,,,,,StandVirtual,Yes,2024-04-14
