Anunciante,Marca,Modelo,Sub-modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,IVA dedutível,Aceita retoma,Possibilidade de financiamento,Segmento,Cor,Tipo de cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,2º Chave,Condição,Preco,ID Anuncio,Data Anuncio,IUC,Filtro de partículas,Garantia de Fábrica até,Emissões CO2,Autonomia Máxima,ou até,Inspecção válida até,Consumo Combinado,Consumo Urbano,Consumo Extra Urbano,Clássico,Autonomia
Profissional,BMW,330,Série 3,e Line Luxury Auto,Híbrido (Gasolina),Junho,2020,75 482 km,1 998 cm3,293 cv,Sim,Sim,Sim,Sim,Sim,Sedan,Preto,Metalizado,Automática,8,4,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,36 800        EUR,8089407343,1 Junho 2023,,,,,,,,,,,,
Profissional,Toyota,Auris,,1.8 HSD Comfort+P.Sport,Híbrido (Gasolina),Abril,2016,81 187 km,1 798 cm3,136 cv,Sim,,,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,5,5,Classe 1,Tracção dianteira,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,19 990        EUR,8089471029,1 Junho 2023,,,,,,,,,,,,
Profissional,Mercedes-Benz,C 300,Classe C,de AMG Line,Híbrido (Diesel),Novembro,2020,68 000 km,1 950 cm3,306 cv,Sim,Sim,Sim,Sim,Sim,Carrinha,Branco,Metalizado,Automática,9,5,5,Classe 1,Tracção traseira,36 Meses,,,,,,Usados,43 750        EUR,8089150218,1 Junho 2023,220 €,Sim,,,,,,,,,,
Profissional,Kia,Niro,,,Híbrido (Gasolina),Julho,2018,21 344 km,1 600 cm3,141 cv,Sim,,,Sim,Sim,Utilitário,Azul,,Automática,,5,5,Classe 1,,36 Meses,,Nacional,,,Sim,Usados,26 000        EUR,8089642072,31 Maio 2023,,,01/01/0001,,,,,,,,,
Profissional,DS,DS4,,E-Tense Performance Line EAT8,Híbrido (Gasolina),Março,2022,13 084 km,1 598 cm3,225 cv,Sim,,,,Sim,Sedan,Preto,,Automática,,5,5,,,36 Meses,,,,,,Usados,39 250        EUR,8089334200,1 Junho 2023,,,,,,,,,,,,
Profissional,Cupra,Leon,,1.4 e-Hybrid VZ DSG,Híbrido (Gasolina),Dezembro,2020,37 000 km,1 395 cm3,245 cv,Sim,,,Sim,Sim,Utilitário,Cinzento,Metalizado,Automática,,5,5,Classe 1,,18 Meses,1,,Sim,Sim,Sim,Usados,37 950        EUR,8089277225,1 Junho 2023,,,,,,,,,,,,
Profissional,BMW,330,Série 3,e iPerformance,Híbrido (Gasolina),Novembro,2017,61 100 km,1 998 cm3,252 cv,Sim,,Sim,Sim,Sim,Sedan,Preto,Metalizado,Automática,,4,5,,,18 Meses,1,Nacional,Sim,Sim,Sim,Usados,29 500        EUR,8089016367,1 Junho 2023,,,,,,,,,,,,
Profissional,BMW,330,Série 3,e Line Sport Auto,Híbrido (Gasolina),Agosto,2019,21 700 km,1 998 cm3,293 cv,Sim,,Sim,Sim,Sim,Sedan,Cinzento,Metalizado,Automática,,4,5,Classe 1,Integral,36 Meses,1,Nacional,,Sim,Sim,Usados,41 450        EUR,8087702169,1 Junho 2023,,,,,,,,,,,,
Profissional,Mercedes-Benz,A 250 Limousine,Classe A,e AMG Line,Híbrido (Gasolina),Março,2021,79 000 km,1 332 cm3,218 cv,Sim,,Sim,Sim,Sim,Sedan,Outra,Mate,Automática,8,4,5,Classe 1,Tracção dianteira,36 Meses,,,,,,Usados,40 000        EUR,8089609331,1 Junho 2023,130 €,Sim,,28 g/km,,,,,,,,
Profissional,Mercedes-Benz,GLC 350,Classe GLC,e AMG Line 4-Matic,Híbrido (Gasolina),Setembro,2018,100 000 km,1 991 cm3,320 cv,Sim,,,Sim,Sim,SUV / TT,Preto,Metalizado,Automática,9,5,5,Classe 1,Integral,18 Meses,1,Importado,Sim,Sim,Sim,Usados,43 999        EUR,8089102334,1 Junho 2023,230 €,Sim,,71 g/km,1 000 km,,,,,,,
