ID Anuncio,Marca,Modelo,Versao,Preco,Quilometros,Tipo de Caixa,Combustivel,Anunciante,Numero de Mudancas,Numero de Cilindros,Outros tipos de Combustivel,Classe Emissoes,Site,Portugal,Data,Link,Autonomia Electrica [km],Consumo [kWh/100km],Mes de Registo,Ano,Potencia [kw],Potencia [cv],Cilindrada [cm3],Peso [kg],Consumo Combinado,Consumo Urbano,Consumo Extra Urbano,Emissoes CO2 [g/km]
75ed5e62c05b4693a652ea77a9dcd0d1,Mitsubishi,Eclipse Cross,"PHEV 2,4 4WD Intense+ Navi 21",39100,7.0,Automática,Híbrido (Gasolina),Profissional,,,Electricity,Euro 6d,AutoScout24,No,,,,,,,138.0,188.0,2360.0,1929.0,6.39599882198616,7.5865129500947575,5.205484693877561,142.64864611223805
f524807e0cc54e459dd0f075b937e313,Nissan,X-Trail,e-Power 2WD 5 posti N-Connecta,38750,1.0,Automática,Híbrido (Gasolina),Profissional,1.0,3.0,Electricity,Euro 6d-TEMP,AutoScout24,No,,,,,,,116.0,158.0,1497.0,1851.0,5.2,7.5865129500947575,5.205484693877561,118.0
4f06d979ecae49058e044b4cb8236f9c,Volvo,XC40,T4 Aut. Recharge Inscription Trekhaak Parkeercamer,35450,110701.0,Automática,Híbrido (Gasolina),Profissional,7.0,3.0,Electricity,,AutoScout24,No,,,,,12.0,2020.0,155.0,211.0,1477.0,1712.0,2.1,7.5865129500947575,5.205484693877561,47.0
6450af1ff35a48fdb8d2ab552dd625c5,Hyundai,i30,1.6 CRDi 136 CV iMT 48V 5 porte Prime,24400,1.0,Manual,Híbrido (Diesel),Profissional,6.0,4.0,Electricity,Euro 6,AutoScout24,No,,,,,3.0,2021.0,100.0,136.0,1598.0,1343.0,3.9,7.5865129500947575,5.205484693877561,142.64864611223805
6e1e1d42320543dab08e4f2ab44373d1,Toyota,Camry,2.5 Hybrid Business Edition 218PK BV16065,29699,16691.0,Automática,Híbrido (Gasolina),Profissional,1.0,4.0,Electricity,Euro 6d-TEMP,AutoScout24,No,,,,,12.0,2021.0,160.0,218.0,2487.0,1595.0,4.4,7.5865129500947575,5.205484693877561,125.0
ab9fc54b50204b9daec346ce67db8421,Kia,Niro,1.6 gdi phev Style dct my20,24950,34963.0,Automática,Híbrido (Gasolina),Profissional,6.0,4.0,Electricity,Euro 6,AutoScout24,No,,,,,6.0,2020.0,104.0,141.0,1580.0,1519.0,1.3,7.5865129500947575,5.205484693877561,29.0
8c8665fc909e4afca527d9845eeb487e,Audi,A6,Avant 45 3.0 tdi mhev Bus Sport quattro tiptronic,26900,163000.0,Automática,Híbrido (Diesel),Profissional,8.0,6.0,Electricity,Euro 6d-TEMP,AutoScout24,No,,,,,3.0,2019.0,170.0,231.0,2967.0,1965.0,6.39599882198616,7.5865129500947575,5.205484693877561,142.64864611223805
e70d3f5abc3b4f319a4ec16770811dd9,Audi,A3,Sportback 30 1.0 tfsi mhev s-tronic  HYBRID,31500,1.0,Automática,Híbrido (Gasolina),Profissional,7.0,3.0,Electricity,Euro 6d-TEMP,AutoScout24,No,,,,,2.0,2023.0,81.0,110.0,999.0,1355.0,6.39599882198616,7.5865129500947575,5.205484693877561,142.64864611223805
f43a7fe3622c41ada595759eab56c5f0,Alfa Romeo,Tonale,1.5 160 CV MHEV TCT7 Ti Rif. Lorenzo PRONTA CONSE,40800,1.0,Semi-automatic,Híbrido (Gasolina),Profissional,7.0,4.0,Electricity,Euro 6,AutoScout24,No,,,,,,,118.0,160.0,1469.0,1525.0,5.7,7.5865129500947575,5.205484693877561,133.0
69230ef389444d2898ea0be0ae0f4807,Jeep,Renegade,1.3 T4 190CV PHEV 4xe AT6 Business Plus,24950,13000.0,Automática,Híbrido (Gasolina),Profissional,6.0,4.0,Electricity,Euro 6d-TEMP,AutoScout24,No,,,,,6.0,2021.0,96.0,131.0,1332.0,1845.0,1.9,7.5865129500947575,5.205484693877561,44.0
ddcafcde21c94c77b2dac9f7c2bac2d1,Land Rover,Discovery Sport,2.0d i4 mhev S awd 150cv auto,37900,12000.0,Automática,Híbrido (Diesel),Profissional,9.0,4.0,Electricity,Euro 6d-TEMP,AutoScout24,No,,,,,12.0,2020.0,110.0,150.0,1999.0,1948.0,6.39599882198616,7.5865129500947575,5.205484693877561,142.64864611223805
ac0a034755564920bcf1c1966da0beb5,MINI,Cooper SE Countryman,Mini Countryman 1.5 Cooper S E Hype all4 auto,24000,24998.0,Automática,Híbrido (Gasolina),Profissional,6.0,3.0,Electricity,Euro 6,AutoScout24,No,,,,,6.0,2017.0,100.0,136.0,1499.0,1660.0,1.9,7.5865129500947575,5.205484693877561,55.0
3b982045e77d45a9adcf7d93d9240b6e,Alfa Romeo,Tonale,"Edizione Speciale 160PS 1,5 T4 Hybrid",43950,289.0,Automática,Híbrido (Gasolina),Profissional,6.0,,Electricity,,AutoScout24,No,,,,,2.0,2023.0,118.0,160.0,1469.0,1525.0,0.0,7.5865129500947575,5.205484693877561,142.64864611223805
