Anunciante,Marca,Modelo,Versao,Combustivel,Mes de Registo,Ano,Quilometros,Cilindrada [cm3],Potencia [cv],Segmento,Cor,Tipo de Caixa,Numero de Portas,Garantia de stand - incluida no preco [meses],Origem,Condicao,Preco,ID Anuncio,Data Anuncio,Consumo Urbano,Numero de Mudancas,Emissoes CO2 [g/km],Consumo Extra Urbano,Bateria,Autonomia Maxima,IUC,Sub-modelo,Consumo Combinado,Autonomia Electrica [km],Consumo [kWh/100km],Capacidade da Bateria [kWh],Classico,Site,Portugal,Valor Sem ISV,Link,Data
Profissional,MINI,One,Sport Edition,Gasolina,1,2020.0,68000.0,1499,102,Utilitário,Cinzento,Manual,3.0,18,Nacional,Usados,25900,8089064131.0,3 Julho 2023,,6.0,,,,,180.34,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,114,d Line Sport Shadow,Diesel,2,2018.0,198500.0,1496,95,Citadino,Azul,Manual,5.0,18,,Usados,14990,8089330023.0,3 Julho 2023,,6.0,,,,,,Série 1,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Mégane Sport Tourer,1.5 dCi Zen,Diesel,7,2018.0,136000.0,1461,90,Carrinha,Azul,Manual,5.0,18,,Usados,14999,8089839337.0,2 Julho 2023,4.3,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,iX3,M Sport Impressive,Eléctrico,5,2022.0,5800.0,0,286,SUV / TT,Preto,Automática,5.0,24,,Usados,73890,8089364171.0,3 Julho 2023,,,,,Própria,,,Série X,,453.0,18.8,,Nao,StandVirtual,Yes,,,
Profissional,Nissan,Juke,1.5 dCi Tekna Premium,Diesel,1,2015.0,117500.0,1461,110,SUV / TT,Cinzento,Manual,5.0,18,,Usados,13900,8087116954.0,3 Julho 2023,,6.0,,,,900.0,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Hyundai,Tucson,1.6 T-GDi Premium,Gasolina,11,2022.0,6500.0,1598,150,SUV / TT,Cinzento,Manual,5.0,36,Importado,Usados,29750,8089913221.0,3 Julho 2023,7.5,6.0,153.0,5.5,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Captur,1.5 dCi Sport,Diesel,1,2014.0,134500.0,1461,90,Citadino,Branco,Manual,5.0,36,,Usados,12500,8089510801.0,3 Julho 2023,4.0,5.0,,4.0,,950.0,,,4.0,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,308,1.6 BlueHDi Allure J17,Diesel,5,2014.0,140500.0,1560,120,Citadino,Cinzento,Manual,5.0,18,,Usados,14500,8088829760.0,3 Julho 2023,4.0,6.0,,,,950.0,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Nissan,Qashqai,1.5 dCi Tekna Premium Pele,Diesel,9,2016.0,137550.0,1461,110,SUV / TT,Preto,Manual,5.0,18,,Usados,16900,8082175813.0,3 Julho 2023,4.0,6.0,,5.0,,800.0,,,5.0,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Captur,1.5 dCi Exclusive,Diesel,3,2017.0,103000.0,1461,90,SUV / TT,Preto,Manual,5.0,36,,Usados,15750,8089344006.0,3 Julho 2023,,5.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Volvo,XC 60,2.0 D4 R-Design Geartronic,Diesel,7,2018.0,85000.0,1969,190,SUV / TT,Preto,Automática,5.0,18,Nacional,Usados,41500,8089314949.0,3 Julho 2023,,8.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Renault,Mégane,1.5 dCi GT Line EDC,Diesel,6,2018.0,45781.0,1461,110,Utilitário,Branco,Automática,5.0,36,,Usados,20900,8088831116.0,3 Julho 2023,4.0,,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Citroën,DS3,,Diesel,1,2012.0,127500.0,1560,112,Citadino,Cinzento,Manual,3.0,18,,Usados,10900,8088913345.0,3 Julho 2023,5.0,6.0,,4.0,,950.0,,,4.0,,,,Nao,StandVirtual,Yes,,,
Profissional,Porsche,Panamera Sport Turismo,4 E-Hybrid,Híbrido (Gasolina),12,2018.0,80000.0,2894,462,Carrinha,Preto,Automática,5.0,36,Nacional,Usados,92500,8089936693.0,3 Julho 2023,,8.0,,,,,,,,54.0,,,Nao,StandVirtual,Yes,,,
Particular,BMW,320,,Diesel,1,2008.0,131300.0,1995,177,Coupé,Castanho,Manual,2.0,0,,Usados,12600,8087503436.0,3 Julho 2023,6.1,6.0,128.0,,,,,Série 3,,,,,Nao,StandVirtual,Yes,,,
Profissional,Peugeot,3008,1.6 BlueHDi GT Line EAT6,Diesel,4,2018.0,120500.0,1560,120,SUV / TT,Cinzento,Automática,5.0,18,,Usados,25500,8087612574.0,3 Julho 2023,,7.0,,,,950.0,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,Kia,Ceed,1.6 CRDi GT Line,Diesel,2,2017.0,79000.0,1582,136,Utilitário,Vermelho,Manual,5.0,18,Nacional,Usados,18900,8089580149.0,3 Julho 2023,,6.0,,,,,,,,,,,Nao,StandVirtual,Yes,,,
Profissional,BMW,520,d Auto,Diesel,3,2018.0,112000.0,1995,190,Carrinha,Preto,Automática,5.0,18,Nacional,Usados,31000,8087974623.0,3 Julho 2023,,8.0,,,,,,Série 5,,,,,Nao,StandVirtual,Yes,,,
Profissional,Kia,Stonic,1.0 T-GDI Drive,Gasolina,8,2022.0,21772.0,998,100,SUV / TT,Vermelho,Manual,5.0,18,,Usados,21990,8089949354.0,3 Julho 2023,,,,,,,,,5.8,,,,Nao,StandVirtual,Yes,,,
